sums length,extraction,value
1,1,-2.46556
2,1,-2.07873
10,1,-0.27644
100,1,-0.581571
1,2,-0.827565
2,2,2.06073
10,2,-0.684161
100,2,-47.9344
1,3,0.126821
2,3,-0.142677
10,3,-6.0119
100,3,-2.77979
1,4,-0.707276
2,4,-0.206484
10,4,13.5495
100,4,2.43859
1,5,-1.06232
2,5,0.0881244
10,5,0.843153
100,5,2.36484
1,6,-0.675346
2,6,-0.544629
10,6,-0.185818
100,6,-6.97573
1,7,-1.15194
2,7,18.7403
10,7,3.21356
100,7,-1.24367
1,8,0.372892
2,8,-10.6397
10,8,-2.14439
100,8,0.0301344
1,9,0.605931
2,9,0.26063
10,9,1.6655
100,9,0.830037
1,10,0.00727205
2,10,1.35147
10,10,0.0140416
100,10,1.90804
1,11,0.613438
2,11,0.658143
10,11,-2.08959
100,11,-9.61511
1,12,0.832051
2,12,-1.1624
10,12,-1.25023
100,12,0.117371
1,13,-1.21012
2,13,-0.778813
10,13,0.740197
100,13,-1.04014
1,14,-2.05482
2,14,-0.893446
10,14,-1.35041
100,14,-0.452519
1,15,0.788797
2,15,0.376324
10,15,-0.288929
100,15,-0.138596
1,16,-0.499511
2,16,0.139413
10,16,0.785509
100,16,2.86413
1,17,0.645927
2,17,-0.304843
10,17,-0.523351
100,17,0.0140443
1,18,8.53302
2,18,4.12395
10,18,1.41379
100,18,-12.6405
1,19,1.93595
2,19,1.0886
10,19,-3.28084
100,19,5.30802
1,20,-6.49345
2,20,-1.75544
10,20,-2.40652
100,20,1.88276
1,21,0.34339
2,21,-0.468912
10,21,-0.736162
100,21,0.159414
1,22,1.13473
2,22,0.446525
10,22,0.234727
100,22,-0.782506
1,23,-1.44409
2,23,-1.69739
10,23,-4.45173
100,23,0.8442
1,24,-0.210359
2,24,-0.134433
10,24,-0.184926
100,24,-0.926811
1,25,-0.726663
2,25,0.338783
10,25,-0.582202
100,25,0.943817
1,26,0.381223
2,26,-2.84592
10,26,-0.300363
100,26,-0.84017
1,27,0.698017
2,27,0.98601
10,27,-0.243939
100,27,2.25441
1,28,0.729779
2,28,0.189791
10,28,1.61337
100,28,-0.95064
1,29,0.255541
2,29,3.93089
10,29,0.0600792
100,29,0.913951
1,30,-1.09387
2,30,1.65849
10,30,0.136079
100,30,-0.66693
1,31,1.90494
2,31,-0.608756
10,31,0.795404
100,31,-0.626667
1,32,1.8299
2,32,0.932411
10,32,-0.30936
100,32,-2.20429
1,33,-2.75716
2,33,-1.53762
10,33,-2.77056
100,33,0.792434
1,34,-3.95616
2,34,-2.2612
10,34,-3.11287
100,34,-0.714271
1,35,0.12255
2,35,0.998787
10,35,0.329013
100,35,-0.230258
1,36,0.587075
2,36,0.0173801
10,36,-1.87219
100,36,-0.110333
1,37,1.36898
2,37,-2.25715
10,37,-0.659316
100,37,2.04633
1,38,0.770441
2,38,1.09187
10,38,0.201399
100,38,-0.100281
1,39,-1.30084
2,39,-1.42439
10,39,-1.53937
100,39,1.06026
1,40,-1.65473
2,40,-1.17458
10,40,-0.62237
100,40,-1.42739
1,41,-2.44133
2,41,-1.01098
10,41,-0.634048
100,41,-1.05565
1,42,2.22305
2,42,3.81644
10,42,0.744107
100,42,-1.61728
1,43,7.53392
2,43,3.19027
10,43,1.64903
100,43,-15.5659
1,44,-1.11718
2,44,-21.237
10,44,-4.28555
100,44,0.959774
1,45,1.70896
2,45,1.61689
10,45,-0.107606
100,45,-0.0330317
1,46,11.994
2,46,1.84434
10,46,0.219878
100,46,-0.161909
1,47,1.42722
2,47,0.871121
10,47,-0.362385
100,47,15.4555
1,48,-1.04429
2,48,-1.30586
10,48,-1.58057
