sums length,extraction,value
1,1,0.130849
2,1,0.15854
10,1,0.826093
100,1,0.892522
1,2,0.328427
2,2,1.54286
10,2,1.64721
100,2,1.18208
1,3,0.776863
2,3,0.623877
10,3,0.358508
100,3,0.718719
1,4,0.362479
2,4,0.628392
10,4,1.49593
100,4,1.23764
1,5,0.274943
2,5,0.903236
10,5,1.16833
100,5,1.0076
1,6,0.372409
2,6,0.421272
10,6,0.698593
100,6,0.86706
1,7,0.258204
2,7,2.52862
10,7,0.963471
100,7,0.97285
1,8,0.950912
2,8,0.482856
10,8,0.848016
100,8,0.967218
1,9,1.11904
2,9,0.879902
10,9,1.44811
100,9,1.11909
1,10,0.697787
2,10,1.43876
10,10,0.863823
100,10,1.13997
1,11,1.12438
2,11,1.15593
10,11,0.648674
100,11,0.973905
1,12,1.27619
2,12,0.68947
10,12,0.601601
100,12,1.09699
1,13,0.248242
2,13,0.374179
10,13,1.14194
100,13,1.02104
1,14,0.155682
2,14,0.515569
10,14,0.699776
100,14,1.00031
1,15,1.24685
2,15,0.958626
10,15,0.871914
100,15,0.940419
1,16,0.4347
2,16,0.837198
10,16,1.19608
100,16,1.24922
1,17,1.14744
2,17,0.694173
10,17,0.58338
100,17,0.970465
1,18,3.29322
2,18,1.91178
10,18,1.27806
100,18,0.993656
1,19,1.8854
2,19,1.37095
10,19,0.557256
100,19,1.02172
1,20,0.0498607
2,20,1.16157
10,20,0.894993
100,20,0.952183
1,21,0.9296
2,21,0.583268
10,21,0.567931
100,21,0.93179
1,22,1.46995
2,22,1.01125
10,22,0.911768
100,22,0.945021
1,23,0.214168
2,23,0.188806
10,23,0.761487
100,23,1.00044
1,24,0.569166
2,24,0.612892
10,24,0.914987
100,24,1.04544
1,25,0.356639
2,25,0.990652
10,25,1.14411
100,25,1.12043
1,26,0.956939
2,26,0.505142
10,26,0.863567
100,26,0.961045
1,27,1.18409
2,27,1.36803
10,27,0.916669
100,27,1.15018
1,28,1.20622
2,28,0.85254
10,28,1.27392
100,28,0.976956
1,29,0.866637
2,29,2.02303
10,29,0.959889
100,29,1.05091
1,30,0.268847
2,30,1.4572
10,30,1.24262
100,30,1.0436
1,31,1.87162
2,31,0.987746
10,31,1.15811
100,31,0.938708
1,32,1.83761
2,32,1.27661
10,32,0.853607
100,32,0.934426
1,33,0.117379
2,33,0.315747
10,33,0.541188
100,33,1.13876
1,34,0.0820874
2,34,0.245777
10,34,0.673032
100,34,0.870626
1,35,0.773957
2,35,1.31607
10,35,1.2051
100,35,0.910451
1,36,1.10557
2,36,0.76007
10,36,0.655109
100,36,0.972338
1,37,1.60536
2,37,0.830222
10,37,0.939937
100,37,1.13407
1,38,1.23428
2,38,1.43194
10,38,0.973061
100,38,0.979932
1,39,0.23397
2,39,0.217783
10,39,0.404351
100,39,1.00567
1,40,0.189989
2,40,0.278207
10,40,0.599889
100,40,0.929979
1,41,0.132101
2,41,0.558338
10,41,0.752556
100,41,0.931329
1,42,2.00579
2,42,2.42498
10,42,1.37323
100,42,0.979042
1,43,3.16997
2,43,1.71396
10,43,1.45206
100,43,0.949491
1,44,0.264487
2,44,0.136106
10,44,0.608138
