sums length,extraction,value
1,1,0.122649
2,1,0.146284
10,1,0.475487
100,1,0.456646
1,2,0.279945
2,2,0.608241
10,2,0.675026
100,2,0.549323
1,3,0.540154
2,3,0.457854
10,3,0.263847
100,3,0.422115
1,4,0.304051
2,4,0.44758
10,4,0.572441
100,4,0.555964
1,5,0.240384
2,5,0.51209
10,5,0.540889
100,5,0.494492
1,6,0.310928
2,6,0.343005
10,6,0.463006
100,6,0.479229
1,7,0.227562
2,7,0.609662
10,7,0.43779
100,7,0.510679
1,8,0.613612
2,8,0.314151
10,8,0.448449
100,8,0.490414
1,9,0.673405
2,9,0.573259
10,9,0.684082
100,9,0.557589
1,10,0.502315
2,10,0.694621
10,10,0.488013
100,10,0.547491
1,11,0.675147
2,11,0.685077
10,11,0.4232
100,11,0.48501
1,12,0.720901
2,12,0.409275
10,12,0.339753
100,12,0.534923
1,13,0.219829
2,13,0.306684
10,13,0.550758
100,13,0.503797
1,14,0.144169
2,14,0.363748
10,14,0.39603
100,14,0.51278
1,15,0.71259
2,15,0.600545
10,15,0.512445
100,15,0.481731
1,16,0.352541
2,16,0.531534
10,16,0.634868
100,16,0.555651
1,17,0.682553
2,17,0.448317
10,17,0.411713
100,17,0.514478
1,18,0.962866
2,18,0.687228
10,18,0.6096
100,18,0.484501
1,19,0.848232
2,19,0.711793
10,19,0.365705
100,19,0.509257
1,20,0.0486381
2,20,0.472832
10,20,0.375029
100,20,0.462306
1,21,0.605289
2,21,0.408123
10,21,0.411165
100,21,0.484008
1,22,0.770063
2,22,0.59729
10,22,0.499103
100,22,0.486928
1,23,0.192787
2,23,0.171787
10,23,0.400332
100,23,0.484959
1,24,0.434003
2,24,0.4577
10,24,0.534874
100,24,0.512356
1,25,0.299975
2,25,0.551499
10,25,0.440126
100,25,0.530694
1,26,0.615933
2,26,0.33394
10,26,0.528313
100,26,0.512104
1,27,0.693976
2,27,0.741073
10,27,0.516196
100,27,0.53094
1,28,0.700673
2,28,0.546725
10,28,0.613325
100,28,0.5162
1,29,0.579637
2,29,0.769014
10,29,0.506692
100,29,0.523487
1,30,0.23574
2,30,0.582387
10,30,0.59608
100,30,0.505871
1,31,0.846126
2,31,0.472392
10,31,0.528895
100,31,0.482777
1,32,0.840802
2,32,0.675956
10,32,0.456564
100,32,0.47766
1,33,0.110752
2,33,0.256361
10,33,0.375137
100,33,0.548863
1,34,0.0788086
2,34,0.207402
10,34,0.396051
100,34,0.451411
1,35,0.538815
2,35,0.691429
10,35,0.582698
100,35,0.485628
1,36,0.668978
2,36,0.504177
10,36,0.434947
100,36,0.49416
1,37,0.799183
2,37,0.426388
10,37,0.44568
100,37,0.542239
1,38,0.708956
2,38,0.756473
10,38,0.516265
100,38,0.494671
1,39,0.208615
2,39,0.195595
10,39,0.315105
100,39,0.502061
1,40,0.173032
2,40,0.239912
10,40,0.395758
100,40,0.470992
1,41,0.123748
2,41,0.375075
10,41,0.4468
100,41,0.508311
1,42,0.865446
2,42,0.903632
10,42,0.600524
100,42,0.506052
1,43,0.957995
2,43,0.592681
10,43,0.644885
100,43,0.505988
1,44,0.2324
2,44,0.120048
10,44,0.413669
100,44,0.474018
1,45,0.831477
2,45,0.823356
10,45,0.511973
100,45,0.49468
1,46,0.973522
2,46,0.505832
10,46,0.493411
100,46,0.492725
1,47,0.805458
2,47,0.7013
10,47,0.45548
100,47,0.487078
1,48,0.243105
2,48,0.211934
10,48,0.360774
100,48,0.495203
1,49,0.908635
2,49,0.456637
10,49,0.512709
100,49,0.513143
1,50,0.3936
2,50,0.443753
10,50,0.490812
100,50,0.485962
1,51,0.730956
2,51,0.434957
10,51,0.445651
100,51,0.510024
1,52,0.68841
2,52,0.710853
10,52,0.51808
100,52,0.475333
1,53,0.241553
2,53,0.583891
10,53,0.519766
100,53,0.523029
1,54,0.198159
2,54,0.418895
10,54,0.417846
100,54,0.467855
1,55,0.680663
2,55,0.591643
10,55,0.419221
100,55,0.483036
1,56,0.194223
2,56,0.404722
10,56,0.450334
100,56,0.488321
1,57,0.881353
2,57,0.538217
10,57,0.564411
100,57,0.530949
1,58,0.76541
2,58,0.878856
10,58,0.456051
100,58,0.471785
1,59,0.195155
2,59,0.47082
10,59,0.38582
100,59,0.479938
1,60,0.108292
2,60,0.477902
10,60,0.566046
100,60,0.511448
1,61,0.326608
2,61,0.240726
10,61,0.471598
100,61,0.441333
1,62,0.978799
2,62,0.742656
10,62,0.54172
100,62,0.551037
1,63,0.825073
2,63,0.739674
10,63,0.444477
100,63,0.500251
1,64,0.142283
2,64,0.326008
10,64,0.484599
