blocks,extractions,integral,error
1,10000,1.01526,0
2,20000,1.00003,0.0152265
3,30000,0.995981,0.00967893
4,40000,0.992778,0.00755643
5,50000,0.988601,0.00719052
6,60000,0.985917,0.0064553
7,70000,0.985674,0.00546117
8,80000,0.987509,0.00507323
9,90000,0.988772,0.00464901
10,100000,0.990527,0.00451341
11,110000,0.990182,0.0040971
12,120000,0.991233,0.00388504
13,130000,0.994669,0.00495753
14,140000,0.99555,0.00467349
15,150000,0.996656,0.00448914
16,160000,0.996557,0.00420035
17,170000,0.996956,0.00396564
18,180000,0.998291,0.00396985
19,190000,0.996155,0.00431985
20,200000,0.998043,0.00451215
21,210000,0.997061,0.00440293
22,220000,0.997289,0.00420426
23,230000,0.99843,0.00417618
24,240000,0.998761,0.00401207
25,250000,0.99747,0.00405918
26,260000,0.996219,0.00409565
27,270000,0.99551,0.00400434
28,280000,0.994273,0.00405194
29,290000,0.995661,0.00414887
30,300000,0.995946,0.0040183
31,310000,0.995797,0.00388937
32,320000,0.995725,0.00376656
33,330000,0.995667,0.00365111
34,340000,0.996436,0.00362479
35,350000,0.997424,0.00365566
36,360000,0.997782,0.00357062
37,370000,1.00143,0.00503778
38,380000,1.00057,0.00497862
39,390000,1.00109,0.00487668
40,400000,1.00171,0.00479353
41,410000,1.00118,0.00470501
42,420000,1.00046,0.0046467
43,430000,1.00151,0.00465556
44,440000,1.0015,0.00454853
45,450000,1.00011,0.00465613
46,460000,1.00029,0.00455736
47,470000,1.00011,0.00446325
48,480000,1.00065,0.00440241
49,490000,1.00034,0.00432254
50,500000,0.999683,0.00428586
51,510000,0.999727,0.00420121
52,520000,1.00002,0.00413015
53,530000,0.999776,0.0040589
54,540000,0.999992,0.00398889
55,550000,1.0001,0.00391716
56,560000,1.00076,0.00390309
57,570000,1.00042,0.00384892
58,580000,1.00023,0.00378671
59,590000,1.00027,0.00372213
60,600000,1.00037,0.00366092
61,610000,1.00106,0.00366665
62,620000,1.00146,0.00362861
63,630000,1.00189,0.00359713
64,640000,1.00187,0.00354053
65,650000,1.00191,0.00348586
66,660000,1.00142,0.00346836
67,670000,1.00114,0.00342775
68,680000,1.00152,0.00339848
69,690000,1.00183,0.00336299
70,700000,1.00141,0.0033407
71,710000,1.00186,0.00332376
72,720000,1.00162,0.0032861
73,730000,1.00093,0.00331355
74,740000,1.00053,0.00329237
75,750000,1.0004,0.0032506
76,760000,1.00067,0.00321837
77,770000,1.00071,0.00317655
78,780000,1.00033,0.00315797
79,790000,1.00083,0.00315758
80,800000,1.0007,0.00312084
81,810000,1.00031,0.00310612
82,820000,1.0003,0.00306802
83,830000,1.00076,0.00306486
84,840000,1.00074,0.00302819
85,850000,1.00116,0.0030216
86,860000,1.00186,0.0030665
87,870000,1.00157,0.00304469
88,880000,1.00234,0.00310693
89,890000,1.0025,0.00307593
90,900000,1.00232,0.00304702
91,910000,1.00231,0.00301335
92,920000,1.00206,0.00299113
93,930000,1.00192,0.00296216
94,940000,1.00153,0.00295582
95,950000,1.00115,0.00294943
96,960000,1.001,0.00292242
97,970000,1.00109,0.00289363
98,980000,1.00098,0.00286636
99,990000,1.00102,0.00283759
100,1000000,1.00076,0.00282079
