step,distance,error
1,1.00005,4.97524e-07
2,1.41425,0.000346767
3,1.73213,0.000521006
4,2.00009,0.000662242
5,2.2363,0.00072112
6,2.44985,0.000932851
7,2.647,0.00107456
8,2.82974,0.00112251
9,3.00107,0.00106859
10,3.16388,0.00118914
11,3.31769,0.00127647
12,3.4652,0.00127933
13,3.6066,0.00128407
14,3.74282,0.00127138
15,3.87499,0.00126259
16,4.00223,0.00138739
17,4.12391,0.00155047
18,4.24361,0.00160828
19,4.36056,0.00171921
20,4.47362,0.00170672
21,4.58281,0.00173834
22,4.69047,0.00182731
23,4.79642,0.00180029
24,4.89999,0.00177636
25,5.00001,0.00174743
26,5.09888,0.00180621
27,5.19527,0.00173523
28,5.29056,0.00178547
29,5.38354,0.00181679
30,5.47567,0.00199809
31,5.56604,0.00197019
32,5.65474,0.00207575
33,5.74301,0.00204715
34,5.82936,0.00200212
35,5.91475,0.00203827
36,5.99882,0.00211706
37,6.08137,0.00218323
38,6.16366,0.00222398
39,6.24438,0.00221757
40,6.32392,0.00226281
41,6.40176,0.00236413
42,6.47955,0.00248001
43,6.55708,0.00245712
44,6.63227,0.00256264
45,6.70759,0.00261969
46,6.78241,0.00264521
47,6.85571,0.00267612
48,6.92819,0.00274952
49,7.0002,0.00269154
50,7.07165,0.00270054
51,7.14179,0.00275089
52,7.21219,0.00276898
53,7.28147,0.00278941
54,7.34937,0.00276008
55,7.41677,0.00277009
56,7.48262,0.00278918
57,7.55002,0.00292676
58,7.61705,0.00294598
59,7.68302,0.00303123
60,7.74756,0.00313962
61,7.81163,0.00309686
62,7.87603,0.00324246
63,7.93913,0.00326875
64,8.00147,0.00328809
65,8.0645,0.00331424
66,8.1259,0.00337626
67,8.18715,0.00337676
68,8.24713,0.00341404
69,8.30798,0.00346318
70,8.36619,0.00340065
71,8.4254,0.0034235
72,8.48475,0.00348118
73,8.54321,0.00351582
74,8.60137,0.00348649
75,8.65922,0.00350456
76,8.71699,0.00354038
77,8.77486,0.00362472
78,8.83203,0.0036878
79,8.88876,0.00357551
80,8.9456,0.00357647
81,9.0009,0.00358698
82,9.05601,0.00353943
83,9.11066,0.00356099
84,9.16519,0.00363111
85,9.21833,0.00364366
86,9.27271,0.00364297
87,9.32597,0.00356031
88,9.37902,0.00357289
89,9.43354,0.00366716
90,9.48684,0.00366461
91,9.54047,0.00361503
92,9.59341,0.00363534
93,9.64589,0.0036745
94,9.69725,0.00371351
95,9.74905,0.00378696
96,9.7995,0.00379788
97,9.84973,0.00382263
98,9.90011,0.00389127
99,9.95013,0.00379278
100,9.99987,0.00384482
101,10.0502,0.00387986
102,10.1003,0.00393562
103,10.1501,0.00394655
104,10.1994,0.00396274
105,10.2485,0.00395756
106,10.2984,0.00398844
107,10.347,0.0039214
108,10.3959,0.00401967
109,10.4437,0.00411595
110,10.4911,0.00405706
111,10.5388,0.00408124
112,10.5871,0.00410731
113,10.6345,0.00413309
114,10.682,0.00408607
115,10.7284,0.00412841
116,10.775,0.003997
117,10.8212,0.0041203
118,10.8676,0.00416803
119,10.9143,0.00419222
120,10.9602,0.00417932
121,11.0059,0.00419901
122,11.0506,0.00416011
123,11.0963,0.00399157
124,11.1413,0.00396717
125,11.1853,0.00398255
126,11.2299,0.00401822
127,11.2744,0.00406453
128,11.3185,0.00405555
129,11.3642,0.0041182
130,11.4084,0.00406711
131,11.4519,0.00413474
132,11.496,0.00413215
133,11.5396,0.00415174
134,11.5838,0.00421946
135,11.6264,0.00422761
136,11.6694,0.00424151
137,11.7119,0.00421487
138,11.7543,0.00416261
139,11.7967,0.00412256
140,11.8393,0.00414231
141,11.882,0.00421452
