step,x,y,z
1,-0.0957818,-0.744989,0.660164
2,-0.676363,0.0413459,0.448972
3,-1.23367,-0.637846,0.926582
4,-1.1983,-0.136761,0.0619069
5,-2.00512,0.448146,0.145041
6,-1.25804,1.09605,-0.00356036
7,-2.16816,0.739337,0.207234
8,-1.35608,0.159118,0.14504
9,-1.98377,0.52822,-0.540352
10,-1.24319,0.313323,-1.17703
11,-1.23802,-0.669334,-1.36239
12,-2.1771,-0.956289,-1.55156
13,-1.50478,-0.615011,-2.20846
14,-0.989518,-1.24905,-2.78509
15,-1.0792,-1.14411,-1.79466
16,-1.89856,-0.98353,-1.24433
17,-2.1373,-0.184179,-0.69293
18,-2.64024,0.525472,-0.199525
19,-2.00393,0.543798,0.571692
20,-2.37413,1.09574,-0.175509
21,-2.64091,1.85656,0.416087
22,-2.20558,2.71436,0.689362
23,-2.94109,3.023,0.086227
24,-2.08046,2.55063,0.276479
25,-2.46234,3.4375,0.536537
26,-1.55761,3.47766,0.112438
27,-1.59568,4.45889,0.301448
28,-1.79883,3.75949,0.98669
29,-1.69076,4.53052,0.359136
30,-0.950082,5.17122,0.561367
31,-1.65583,4.75585,-0.0125538
32,-1.75178,4.61847,0.973307
33,-2.03556,5.33368,1.61201
34,-1.49195,5.5292,2.42826
35,-1.45279,4.5541,2.64655
36,-0.859046,3.76185,2.78729
37,-0.195062,3.17386,2.32535
38,-0.586057,3.59189,3.14533
39,0.337338,3.62246,3.52796
40,0.564475,4.58814,3.40201
41,1.53916,4.6992,3.59605
42,1.46961,5.67025,3.82454
43,2.01477,6.44597,4.14244
44,2.51472,7.17947,4.60292
45,2.68709,7.8174,3.85237
46,2.48397,8.68435,3.39724
47,2.35393,9.1418,4.27691
48,2.14115,9.91276,4.87719
49,3.01347,10.3277,4.61858
50,3.9117,10.5729,4.25382
51,3.2461,10.6221,3.50913
52,3.73922,11.1307,2.80336
53,3.95261,11.169,3.77958
54,4.50916,10.4388,3.38338
55,3.99938,10.6292,4.22234
56,3.88074,9.67696,3.94098
57,4.79501,9.65713,4.3456
58,4.07329,9.83948,5.01334
59,4.20154,10.27,4.1199
60,3.80404,10.4507,3.22027
61,4.58044,10.8298,2.71682
62,4.31081,9.86739,2.74912
63,4.77568,9.14306,2.23995
64,3.97131,9.09048,2.83175
65,4.13968,9.99844,2.448
66,4.24028,10.6336,3.21378
67,4.67866,11.1383,2.47006
68,5.05052,10.7748,1.61593
69,6.01911,10.5483,1.51316
70,6.67689,11.2276,1.18765
71,6.5686,12,0.561875
72,6.64129,11.2102,-0.0471088
73,7.07258,11.397,-0.929769
74,6.86673,10.8663,-1.75198
75,5.95525,10.7614,-1.35425
76,5.2033,11.1982,-1.84799
77,5.36421,12.0883,-2.27433
78,5.91755,12.2509,-3.09126
79,6.73876,11.7902,-2.7546
80,6.79453,11.366,-3.65846
81,6.78969,11.0779,-2.70087
82,6.96773,10.8652,-1.7401
83,7.80724,10.7582,-1.2074
