step,distance,error
1,1.00005,4.97524e-07
2,1.41471,0.000369721
3,1.73271,0.000578395
4,2.0002,0.000754757
5,2.236,0.000915294
6,2.44895,0.00100171
7,2.64446,0.000984823
8,2.82807,0.00104292
9,2.99987,0.00107553
10,3.16214,0.00120391
11,3.31593,0.0012074
12,3.46362,0.00128394
13,3.60534,0.00131017
14,3.74125,0.00141598
15,3.87288,0.00141966
16,4.00038,0.00153344
17,4.12293,0.00151408
18,4.24327,0.00153379
19,4.35924,0.00170189
20,4.47291,0.00179066
21,4.58333,0.0018937
22,4.69049,0.00192023
23,4.79577,0.00186575
24,4.89892,0.00185937
25,4.99823,0.00190205
26,5.0974,0.00190073
27,5.19463,0.00204572
28,5.28995,0.00204529
29,5.38331,0.00213109
30,5.47543,0.00205447
31,5.56473,0.00200009
32,5.65376,0.00199459
33,5.74118,0.0020671
34,5.82647,0.00204548
35,5.91028,0.00212895
36,5.99308,0.00217062
37,6.07571,0.00215843
38,6.15762,0.00223133
39,6.23854,0.00233966
40,6.3184,0.00233189
41,6.39757,0.00234184
42,6.47476,0.00231891
43,6.55205,0.00234451
44,6.627,0.0023714
45,6.70241,0.00239753
46,6.77757,0.00246081
47,6.85116,0.00252471
48,6.92417,0.00252881
49,6.99574,0.0024664
50,7.06661,0.0024056
51,7.13697,0.00236498
52,7.20713,0.00233831
53,7.27662,0.00240488
54,7.34399,0.00251325
55,7.41073,0.00249481
56,7.47806,0.00264124
57,7.54471,0.00273177
58,7.61078,0.00279542
59,7.677,0.00279876
60,7.74218,0.0028493
61,7.80585,0.00292374
62,7.87016,0.00297091
63,7.93236,0.00300738
64,7.99537,0.00310433
65,8.05601,0.00309921
66,8.11704,0.00303874
67,8.17823,0.00302356
68,8.23922,0.00306455
69,8.29903,0.00306397
70,8.35909,0.00309635
71,8.41861,0.00309151
72,8.47783,0.00316125
73,8.53717,0.00318449
74,8.59681,0.00323921
75,8.65434,0.0031935
76,8.71154,0.00316418
77,8.76898,0.00328162
78,8.826,0.0033273
79,8.88192,0.00343901
80,8.93803,0.00348169
81,8.99309,0.00345292
82,9.0486,0.00347744
83,9.10407,0.00348891
84,9.15807,0.00344843
85,9.21307,0.00343085
86,9.26757,0.00342675
87,9.32164,0.00335872
88,9.37493,0.00342291
89,9.4291,0.00347062
90,9.48173,0.00350191
91,9.53397,0.00361014
92,9.58664,0.00367886
93,9.63817,0.00365009
94,9.6895,0.00359403
95,9.74081,0.00367135
96,9.79256,0.00370154
97,9.84369,0.00376747
98,9.89427,0.00377271
99,9.94467,0.0038555
100,9.99539,0.0039438
101,10.0446,0.00394669
102,10.0938,0.00400856
103,10.1424,0.00404143
104,10.1909,0.00408978
105,10.2396,0.00402294
106,10.2882,0.00403083
107,10.3366,0.00406596
108,10.3837,0.00398966
109,10.4325,0.00401657
110,10.4806,0.00406283
111,10.5274,0.0040121
112,10.5749,0.00397812
113,10.6217,0.00389321
114,10.6692,0.0039622
115,10.7161,0.00404787
116,10.7623,0.00409925
117,10.8092,0.00411488
118,10.8557,0.00411688
119,10.9005,0.00416795
120,10.9463,0.00417084
121,10.9924,0.00417008
122,11.0379,0.00402043
123,11.0834,0.00398173
124,11.1293,0.00396581
125,11.174,0.00398723
126,11.2191,0.00402342
127,11.2638,0.00408911
128,11.3093,0.00400444
129,11.3533,0.00400118
130,11.3971,0.00402203
131,11.4419,0.00403977
132,11.4858,0.00408438
133,11.529,0.00411232
134,11.5717,0.00412374
135,11.6141,0.00415292
136,11.6564,0.0041776
137,11.6994,0.00420241
138,11.7427,0.00422742
139,11.7852,0.00423176
140,11.8279,0.00424349
141,11.8702,0.00431759
142,11.9126,0.00436012
143,11.954,0.00447616
144,11.9962,0.00456338
145,12.0385,0.00462817
146,12.0795,0.00472988
147,12.1212,0.00481455
148,12.1633,0.00476793
149,12.2047,0.00475115
150,12.2456,0.0047639
151,12.2853,0.00477975
152,12.3256,0.00476172
153,12.3665,0.00473846
154,12.4067,0.00468771
155,12.4469,0.00471756
156,12.4881,0.00473737
157,12.5283,0.00476172
158,12.5682,0.00475053
159,12.6086,0.00475632
160,12.6489,0.00477247
161,12.6874,0.00474591
162,12.7271,0.00466994
163,12.7658,0.00456794
164,12.8052,0.0046062
165,12.8444,0.00460777
166,12.8829,0.0046693
167,12.9211,0.00474082
168,12.9605,0.00472771
169,12.9988,0.00483927
170,13.0372,0.00478386
171,13.0761,0.00462234
172,13.1161,0.00466508
173,13.1533,0.00471196
174,13.1924,0.00464824
175,13.2309,0.00466735
176,13.2693,0.00463732
177,13.3068,0.0046055
178,13.3445,0.00455496
179,13.3815,0.00453714
180,13.4184,0.00447508
181,13.4546,0.00453879
182,13.4917,0.00447731
183,13.5286,0.00454617
184,13.5656,0.00453463
185,13.6032,0.00455867
186,13.6403,0.00454189
187,13.6768,0.00456434
188,13.7135,0.00465841
189,13.7499,0.00464073
190,13.7868,0.0046901
191,13.8228,0.00465586
192,13.8588,0.0046608
193,13.8949,0.00471954
194,13.931,0.00480045
195,13.9665,0.00477265
196,14.0022,0.00478907
197,14.0376,0.00487761
198,14.0737,0.00485415
199,14.1099,0.00479463
200,14.1452,0.00474635
201,14.1793,0.00470074
202,14.215,0.00484103
203,14.2503,0.00492588
204,14.2852,0.00495937
205,14.3204,0.00516058
206,14.3547,0.00522879
207,14.3898,0.00525906
208,14.4242,0.00523186
209,14.4581,0.00516143
210,14.493,0.00518452
211,14.5279,0.00524197
212,14.5623,0.00527441
213,14.596,0.00525132
214,14.6308,0.00532343
215,14.665,0.00544763
216,14.6989,0.00545792
217,14.7322,0.00540885
218,14.7655,0.0052691
219,14.7996,0.00536665
220,14.8332,0.00546938
221,14.8674,0.00546575
222,14.9009,0.00544658
223,14.9339,0.00545859
224,14.9663,0.00543778
225,14.9987,0.00543791
