step,x,y,z
1,-1,0,0
2,-1,0,-1
3,-1,-1,-1
4,-1,-1,0
5,-1,-1,1
6,-1,-1,2
7,-1,-1,1
8,-1,-1,2
9,-1,0,2
10,-1,1,2
11,-1,0,2
12,-1,0,3
13,-1,0,2
14,-1,1,2
15,0,1,2
16,1,1,2
17,1,2,2
18,1,2,3
19,0,2,3
20,0,2,2
21,1,2,2
22,1,2,1
23,1,2,0
24,1,1,0
25,0,1,0
26,0,1,1
27,1,1,1
28,0,1,1
29,0,2,1
30,0,2,0
31,0,3,0
32,0,3,1
33,0,3,2
34,0,2,2
35,0,1,2
36,0,0,2
37,0,-1,2
38,0,0,2
39,1,0,2
40,1,-1,2
41,1,-1,1
42,1,-2,1
43,1,-3,1
44,1,-3,2
45,2,-3,2
46,2,-2,2
47,1,-2,2
48,1,-2,1
49,2,-2,1
50,2,-1,1
51,1,-1,1
52,1,-2,1
53,0,-2,1
54,1,-2,1
55,1,-2,0
56,1,-3,0
57,1,-4,0
58,1,-5,0
59,1,-6,0
60,1,-5,0
61,1,-4,0
62,1,-5,0
63,1,-5,1
64,1,-5,2
65,1,-5,1
66,1,-4,1
67,1,-5,1
68,1,-4,1
69,1,-5,1
70,2,-5,1
71,2,-5,2
72,3,-5,2
73,2,-5,2
74,2,-4,2
75,2,-3,2
76,3,-3,2
77,3,-4,2
78,2,-4,2
79,1,-4,2
80,1,-3,2
81,1,-3,1
82,2,-3,1
83,2,-3,2
84,2,-3,1
85,2,-3,2
86,2,-2,2
87,2,-1,2
88,3,-1,2
89,3,-1,1
90,2,-1,1
91,1,-1,1
92,1,-2,1
93,0,-2,1
94,-1,-2,1
95,-1,-2,2
96,-1,-2,3
97,-1,-2,4
98,0,-2,4
99,0,-1,4
100,0,-1,3
101,-1,-1,3
102,0,-1,3
103,0,-1,4
104,0,-1,5
105,0,-1,6
106,-1,-1,6
107,0,-1,6
108,1,-1,6
109,1,-1,7
110,2,-1,7
111,1,-1,7
112,1,0,7
113,0,0,7
114,0,-1,7
115,-1,-1,7
116,-1,-1,8
117,-2,-1,8
118,-2,-1,9
119,-3,-1,9
120,-3,0,9
121,-3,0,10
122,-4,0,10
123,-4,-1,10
124,-4,-2,10
125,-4,-2,11
126,-5,-2,11
127,-5,-3,11
128,-5,-4,11
129,-5,-4,10
130,-4,-4,10
131,-3,-4,10
132,-4,-4,10
133,-4,-3,10
134,-4,-4,10
135,-4,-4,9
136,-4,-3,9
137,-4,-3,10
138,-5,-3,10
139,-5,-4,10
140,-5,-5,10
141,-4,-5,10
142,-5,-5,10
143,-5,-5,11
144,-5,-4,11
145,-5,-4,12
146,-4,-4,12
147,-4,-5,12
148,-3,-5,12
149,-3,-4,12
150,-3,-3,12
151,-3,-4,12
152,-4,-4,12
153,-4,-3,12
154,-4,-3,11
155,-4,-3,12
156,-5,-3,12
157,-5,-4,12
158,-6,-4,12
159,-6,-3,12
160,-6,-3,11
161,-6,-3,12
162,-6,-3,13
163,-7,-3,13
164,-7,-2,13
165,-7,-1,13
166,-7,0,13
167,-7,1,13
168,-6,1,13
169,-5,1,13
170,-5,1,14
171,-5,1,13
172,-5,1,14
173,-5,1,13
174,-4,1,13
175,-4,0,13
176,-4,0,12
177,-4,0,13
178,-3,0,13
179,-4,0,13
180,-4,0,12
181,-4,-1,12
182,-4,-2,12
183,-3,-2,12
184,-4,-2,12
185,-5,-2,12
186,-5,-2,13
187,-5,-2,14
188,-6,-2,14
189,-6,-2,13
190,-7,-2,13
191,-7,-2,14
192,-7,-1,14
193,-7,-1,15
194,-7,-1,14
195,-8,-1,14
196,-8,-1,15
197,-8,-1,16
198,-8,0,16
199,-8,1,16
200,-7,1,16
201,-6,1,16
202,-6,0,16
203,-6,1,16
204,-6,2,16
205,-5,2,16
206,-5,2,17
207,-5,2,16
208,-5,3,16
209,-5,2,16
210,-6,2,16
211,-6,1,16
212,-7,1,16
213,-7,1,15
214,-7,0,15
215,-7,1,15
216,-8,1,15
217,-9,1,15
218,-9,0,15
219,-9,0,16
220,-8,0,16
221,-8,-1,16
222,-8,0,16
223,-8,-1,16
224,-7,-1,16
225,-7,-2,16
226,-6,-2,16
227,-6,-3,16
228,-7,-3,16
229,-7,-3,15
230,-7,-3,14
231,-7,-3,15
232,-7,-4,15
233,-6,-4,15
234,-6,-4,16
235,-6,-3,16
236,-5,-3,16
237,-6,-3,16
238,-6,-3,17
239,-6,-4,17
240,-6,-4,16
241,-7,-4,16
242,-7,-4,17
243,-7,-5,17
244,-7,-4,17
245,-6,-4,17
246,-6,-3,17
247,-6,-2,17
248,-6,-3,17
249,-6,-2,17
250,-6,-2,16
251,-6,-2,15
252,-6,-3,15
253,-7,-3,15
254,-8,-3,15
255,-8,-2,15
256,-8,-2,14
257,-9,-2,14
258,-9,-1,14
259,-10,-1,14
260,-9,-1,14
261,-8,-1,14
262,-8,-2,14
263,-9,-2,14
264,-9,-2,15
265,-9,-3,15
266,-9,-2,15
267,-9,-3,15
268,-9,-3,14
269,-10,-3,14
270,-9,-3,14
271,-8,-3,14
272,-8,-2,14
273,-7,-2,14
274,-8,-2,14
275,-8,-2,15
276,-9,-2,15
277,-9,-1,15
278,-8,-1,15
279,-8,0,15
280,-8,-1,15
281,-8,-1,14
282,-8,-1,13
283,-9,-1,13
284,-10,-1,13
285,-11,-1,13
286,-11,-1,14
287,-11,-1,15
288,-10,-1,15
289,-10,0,15
290,-9,0,15
291,-9,0,14
292,-8,0,14
293,-8,-1,14
294,-8,-1,13
295,-8,0,13
296,-9,0,13
297,-9,0,14
298,-9,0,15
299,-9,1,15
300,-9,1,16
301,-9,1,17
302,-8,1,17
303,-7,1,17
304,-8,1,17
305,-8,2,17
306,-8,1,17
307,-8,2,17
308,-9,2,17
309,-9,1,17
310,-8,1,17
311,-7,1,17
312,-7,1,16
313,-8,1,16
314,-8,1,17
315,-8,2,17
316,-7,2,17
317,-7,2,16
318,-7,1,16
319,-8,1,16
320,-8,1,15
321,-9,1,15
322,-10,1,15
323,-9,1,15
324,-9,1,16
