blocks,extractions,profit,error
1,10000,15.013,0
2,20000,15.0392,0.0261638
3,30000,14.9494,0.0910202
4,40000,14.9548,0.0645878
5,50000,14.9082,0.0683878
6,60000,14.9049,0.0559391
7,70000,14.941,0.059522
8,80000,14.9485,0.0520816
9,90000,14.9185,0.0548241
10,100000,14.895,0.0543867
11,110000,14.8892,0.0495409
12,120000,14.9085,0.0491955
13,130000,14.9123,0.0454115
14,140000,14.9403,0.050524
15,150000,14.9288,0.0484289
16,160000,14.9514,0.0506367
17,170000,14.9525,0.0475761
18,180000,14.9573,0.0451126
19,190000,14.9496,0.0433631
20,200000,14.9459,0.0413006
21,210000,14.9484,0.0393611
22,220000,14.9451,0.0376674
23,230000,14.9424,0.0360992
24,240000,14.9367,0.035014
25,250000,14.9484,0.0355353
26,260000,14.9594,0.035884
27,270000,14.9678,0.0355287
28,280000,14.9787,0.035927
29,290000,14.9808,0.0347331
30,300000,14.9763,0.0338649
31,310000,14.9659,0.0343504
32,320000,14.9649,0.0332734
33,330000,14.959,0.0327894
34,340000,14.9639,0.0321749
35,350000,14.9524,0.0332726
36,360000,14.9544,0.0323981
37,370000,14.9584,0.0317626
38,380000,14.9634,0.0313159
39,390000,14.9634,0.0305024
40,400000,14.9572,0.0303766
41,410000,14.9572,0.0296264
42,420000,14.9604,0.0290872
43,430000,14.9643,0.0286762
44,440000,14.9621,0.0281071
45,450000,14.9614,0.0274838
46,460000,14.9658,0.0272402
47,470000,14.9759,0.028523
48,480000,14.9712,0.0283217
49,490000,14.975,0.0279946
50,500000,14.9671,0.0285356
51,510000,14.9712,0.0282693
52,520000,14.9705,0.0277301
53,530000,14.9699,0.0272083
54,540000,14.9684,0.0267436
55,550000,14.9682,0.0262533
56,560000,14.9638,0.0261612
57,570000,14.9687,0.0261641
58,580000,14.9642,0.0261
59,590000,14.9612,0.0258272
60,600000,14.9559,0.0259491
61,610000,14.9602,0.0258941
62,620000,14.9594,0.0254863
63,630000,14.9652,0.0257331
64,640000,14.9622,0.0254989
65,650000,14.9639,0.0251581
66,660000,14.9586,0.025327
67,670000,14.9617,0.0251331
68,680000,14.9613,0.0247638
69,690000,14.9614,0.0244025
70,700000,14.9611,0.0240532
71,710000,14.9645,0.0239549
72,720000,14.9653,0.0236326
73,730000,14.9695,0.0236794
74,740000,14.9694,0.0233572
75,750000,14.9733,0.0233681
76,760000,14.9728,0.0230652
77,770000,14.9732,0.0227685
78,780000,14.9751,0.0225559
79,790000,14.9772,0.0223595
80,800000,14.9785,0.0221171
81,810000,14.9791,0.0218527
82,820000,14.9765,0.0217427
83,830000,14.9777,0.0215114
84,840000,14.9772,0.0212596
85,850000,14.9757,0.0210595
86,860000,14.9763,0.0208224
87,870000,14.9763,0.0205817
88,880000,14.975,0.0203911
89,890000,14.9772,0.0202777
90,900000,14.9756,0.0201129
91,910000,14.9759,0.0198934
92,920000,14.9783,0.019817
93,930000,14.9802,0.0196921
94,940000,14.98,0.0194825
95,950000,14.9793,0.0192872
96,960000,14.9769,0.019232
97,970000,14.971,0.0199237
98,980000,14.9727,0.0197857
99,990000,14.9737,0.0196111
100,1000000,14.9741,0.0194185
