blocks,extractions,profit,error
1,10000,5.42841,0
2,20000,5.42256,0.00584933
3,30000,5.44739,0.0250659
4,40000,5.4427,0.0183359
5,50000,5.4489,0.0154965
6,60000,5.44114,0.0148432
7,70000,5.45415,0.0180753
8,80000,5.44913,0.0164374
9,90000,5.4506,0.0145705
10,100000,5.46093,0.016632
11,110000,5.45546,0.0160092
12,120000,5.45027,0.0155085
13,130000,5.46365,0.0195552
14,140000,5.45454,0.0202655
15,150000,5.45802,0.0191843
16,160000,5.45123,0.0191856
17,170000,5.45185,0.0180321
18,180000,5.45556,0.0174023
19,190000,5.46579,0.0193823
20,200000,5.45951,0.0194307
21,210000,5.45768,0.0185733
22,220000,5.46481,0.0190916
23,230000,5.46304,0.0183284
24,240000,5.45805,0.0182441
25,250000,5.44949,0.019478
26,260000,5.44819,0.0187591
27,270000,5.44995,0.0181365
28,280000,5.45144,0.0175402
29,290000,5.45188,0.0169303
30,300000,5.45418,0.0165161
31,310000,5.45945,0.0168233
32,320000,5.46393,0.0168936
33,330000,5.46745,0.0167469
34,340000,5.46512,0.0164133
35,350000,5.46728,0.0160842
36,360000,5.46375,0.0160251
37,370000,5.46246,0.0156392
38,380000,5.46226,0.0152234
39,390000,5.4617,0.0148386
40,400000,5.46184,0.0144636
41,410000,5.46013,0.01421
42,420000,5.46061,0.0138759
43,430000,5.46107,0.0135573
44,440000,5.46218,0.0132919
45,450000,5.45938,0.0132928
46,460000,5.45834,0.0130421
47,470000,5.45887,0.0127726
48,480000,5.46182,0.0128462
49,490000,5.46042,0.0126584
50,500000,5.46187,0.0124874
51,510000,5.46268,0.0122669
52,520000,5.46495,0.0122411
53,530000,5.46519,0.0120103
54,540000,5.46538,0.0117873
55,550000,5.46488,0.0115819
56,560000,5.46675,0.0115256
57,570000,5.46483,0.0114825
58,580000,5.46586,0.0113298
59,590000,5.46496,0.0111724
60,600000,5.4681,0.0114238
61,610000,5.46749,0.0112513
62,620000,5.46714,0.0110738
63,630000,5.46743,0.0109003
64,640000,5.46954,0.0109347
65,650000,5.46935,0.0107668
66,660000,5.46861,0.0106287
67,670000,5.46858,0.0104688
68,680000,5.46718,0.0104092
69,690000,5.46538,0.0104127
70,700000,5.46435,0.0103149
71,710000,5.46567,0.0102546
72,720000,5.4663,0.0101306
73,730000,5.46472,0.0101156
74,740000,5.46416,0.00999355
75,750000,5.46322,0.00990429
76,760000,5.46403,0.00980719
77,770000,5.46401,0.00967903
78,780000,5.46327,0.00958237
79,790000,5.46414,0.00949979
80,800000,5.46524,0.00944494
81,810000,5.46429,0.00937584
82,820000,5.4658,0.00938321
83,830000,5.46488,0.00931491
84,840000,5.46383,0.00926355
85,850000,5.46437,0.00917012
86,860000,5.46344,0.00911067
87,870000,5.46298,0.00901707
88,880000,5.46362,0.00893693
89,890000,5.46164,0.00905503
90,900000,5.45972,0.00915785
91,910000,5.46033,0.00907742
92,920000,5.46158,0.00906454
93,930000,5.46184,0.00897016
94,940000,5.46259,0.00890595
95,950000,5.46202,0.00882982
96,960000,5.46241,0.00874588
97,970000,5.46383,0.00877088
98,980000,5.46275,0.00874702
99,990000,5.46184,0.00870616
100,1000000,5.46124,0.00863933
