#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.67087    -5.67087           0
           2    -5.58254    -5.62671   0.0312306
           3    -5.53361    -5.59567   0.0327956
           4    -5.53484    -5.58047   0.0279006
           5    -5.54385    -5.57314   0.0232616
           6    -5.52679    -5.56542   0.0206275
           7    -5.56933    -5.56598   0.0176883
           8    -5.54019    -5.56275   0.0157682
           9     -5.5665    -5.56317   0.0140217
          10    -5.52815    -5.55967   0.0130495
