#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.497645    0.497645           0
           2    0.459054    0.478349    0.013644
           3    0.432701    0.463133   0.0153977
           4    0.432689    0.455522    0.013297
           5    0.436456    0.451709    0.011171
           6    0.428372     0.44782  0.00996325
           7     0.44914    0.448008  0.00854172
           8    0.434369    0.446303  0.00764225
           9    0.448452    0.446542  0.00679684
          10    0.430482    0.444936  0.00630403
