#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.645591    0.645591           0
           2    0.588773    0.617182   0.0200885
           3    0.553348    0.595904   0.0219361
           4    0.554469    0.585545   0.0187389
           5    0.560112    0.580459   0.0156663
           6    0.548994    0.575215   0.0139053
           7    0.577167    0.575493   0.0119216
           8    0.556982     0.57318   0.0106536
           9    0.575557    0.573444  0.00947313
          10    0.550991    0.571198  0.00878788
