#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70249    -4.70249           0
           2    -4.69938    -4.70093  0.00109788
           3    -4.70358    -4.70182  0.00102758
           4    -4.70314    -4.70215 0.000822206
           5    -4.70368    -4.70246 0.000712794
           6     -4.7033     -4.7026 0.000607834
           7    -4.70358    -4.70274 0.000537037
           8    -4.70472    -4.70299 0.000523859
           9    -4.70316      -4.703  0.00046603
          10    -4.70166    -4.70287 0.000438331
