BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.66857,1.66857,0
2,1.79324,1.73091,0.0440774
3,1.79012,1.75065,0.0335146
4,1.81921,1.76779,0.0291921
5,1.84197,1.78262,0.0268606
6,1.79639,1.78492,0.0224817
7,1.7667,1.78232,0.0194201
8,1.80717,1.78542,0.0172393
9,1.81885,1.78914,0.015719
10,1.79388,1.78961,0.0141542
11,1.77912,1.78866,0.0128995
12,1.77193,1.78726,0.0118996
13,1.71385,1.78162,0.0122512
14,1.78416,1.7818,0.0113775
15,1.80504,1.78335,0.010724
16,1.77189,1.78263,0.0100776
17,1.83422,1.78567,0.00993122
18,1.84192,1.78879,0.00985899
19,1.82501,1.7907,0.00952262
20,1.79445,1.79089,0.00904834
21,1.83085,1.79279,0.0088153
22,1.86011,1.79585,0.00892998
23,1.83607,1.7976,0.00871124
24,1.76236,1.79613,0.00847109
25,1.79635,1.79614,0.00813225
26,1.80272,1.79639,0.00782342
27,1.78424,1.79594,0.00754659
28,1.81994,1.7968,0.00732559
29,1.81638,1.79747,0.00710403
30,1.81376,1.79802,0.00688795
31,1.79096,1.79779,0.00666952
32,1.81237,1.79824,0.00647664
33,1.81493,1.79875,0.00630009
34,1.8201,1.79938,0.00614599
35,1.83685,1.80045,0.0060629
36,1.8728,1.80246,0.00621865
37,1.8663,1.80418,0.00628541
38,1.81784,1.80454,0.00613027
39,1.79236,1.80423,0.00598104
40,1.80916,1.80435,0.00583279
41,1.82268,1.8048,0.00570762
42,1.78317,1.80429,0.00559491
43,1.7787,1.80369,0.00549635
44,1.77462,1.80303,0.00541099
45,1.79819,1.80292,0.00529182
46,1.84659,1.80387,0.00526125
47,1.79754,1.80374,0.00515103
48,1.78141,1.80327,0.00506467
49,1.79264,1.80305,0.00496596
50,1.79834,1.80296,0.00486753
51,1.7628,1.80217,0.00483536
52,1.77305,1.80161,0.00477469
53,1.82163,1.80199,0.00469951
54,1.82394,1.8024,0.00463003
55,1.79544,1.80227,0.00454757
56,1.78346,1.80194,0.00447875
57,1.77037,1.80138,0.00443429
58,1.76642,1.80078,0.00439862
59,1.80731,1.80089,0.00432545
60,1.78911,1.80069,0.00425782
61,1.75852,1.8,0.00424378
62,1.79437,1.79991,0.0041763
63,1.81623,1.80017,0.00411804
64,1.80984,1.80032,0.00405646
65,1.82695,1.80073,0.00401469
66,1.83936,1.80132,0.00399629
67,1.84256,1.80193,0.00398379
68,1.80503,1.80198,0.00392546
69,1.81935,1.80223,0.00387664
70,1.81644,1.80243,0.00382658
71,1.80057,1.80241,0.00377277
72,1.82317,1.80269,0.00373138
73,1.79085,1.80253,0.00368379
74,1.82541,1.80284,0.00364696
75,1.78134,1.80255,0.00360958
76,1.803,1.80256,0.00356209
77,1.82146,1.80281,0.00352427
78,1.79772,1.80274,0.00347969
79,1.81997,1.80296,0.00344248
80,1.81127,1.80306,0.00340101
81,1.8004,1.80303,0.00335919
82,1.79381,1.80292,0.0033201
83,1.79497,1.80282,0.00328148
84,1.74345,1.80211,0.00331766
85,1.79577,1.80204,0.00327947
86,1.80834,1.80211,0.00324216
87,1.7679,1.80172,0.00322865
88,1.82662,1.802,0.00320434
89,1.77384,1.80169,0.00318392
90,1.76279,1.80125,0.00317774
91,1.81039,1.80135,0.0031444
92,1.77903,1.80111,0.00311957
93,1.79802,1.80108,0.00308621
94,1.81657,1.80124,0.00305777
95,1.80594,1.80129,0.00302599
96,1.80354,1.80132,0.00299456
97,1.79629,1.80126,0.00296413
98,1.7659,1.8009,0.00295578
99,1.77936,1.80069,0.00293392
100,1.74632,1.80014,0.00295453
