BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.0448196,-0.0448196,0
2,-0.132571,-0.0886951,0.0310247
3,-0.244713,-0.140701,0.0472321
4,-0.307912,-0.182504,0.0506505
5,-0.365045,-0.219012,0.0520402
6,-0.347135,-0.240366,0.0475465
7,-0.332867,-0.25358,0.0425509
8,-0.342674,-0.264717,0.0386619
9,-0.322159,-0.2711,0.034889
10,-0.333694,-0.277359,0.0319567
11,-0.36825,-0.285622,0.0301008
12,-0.438503,-0.298362,0.0301683
13,-0.399419,-0.306136,0.0288318
14,-0.38212,-0.311563,0.0272784
15,-0.431398,-0.319552,0.026604
16,-0.429675,-0.326435,0.0258162
17,-0.406767,-0.33116,0.0247263
18,-0.377864,-0.333755,0.0234884
19,-0.396711,-0.337068,0.0224847
20,-0.391043,-0.339767,0.0215218
21,-0.451864,-0.345105,0.0211486
22,-0.417205,-0.348382,0.0204396
23,-0.356036,-0.348715,0.0195536
24,-0.376562,-0.349875,0.0187733
25,-0.374985,-0.35088,0.0180492
26,-0.339214,-0.350431,0.0173606
27,-0.433568,-0.35351,0.0169885
28,-0.428239,-0.356179,0.0165901
29,-0.419347,-0.358357,0.0161603
30,-0.392668,-0.359501,0.0156621
31,-0.374306,-0.359979,0.0151641
32,-0.419936,-0.361852,0.0148056
33,-0.394291,-0.362835,0.0143895
34,-0.376971,-0.363251,0.0139723
35,-0.354697,-0.363007,0.0135752
36,-0.431768,-0.364917,0.0133318
37,-0.465186,-0.367627,0.0132441
38,-0.479726,-0.370577,0.01322
39,-0.499695,-0.373887,0.0132891
40,-0.484462,-0.376652,0.0132413
41,-0.514438,-0.380012,0.013338
42,-0.494239,-0.382732,0.0132948
43,-0.453463,-0.384377,0.013087
44,-0.42541,-0.38531,0.0128227
45,-0.437283,-0.386464,0.0125897
46,-0.496685,-0.388861,0.012542
47,-0.439482,-0.389938,0.0123213
48,-0.472367,-0.391655,0.0121837
49,-0.416045,-0.392153,0.0119452
50,-0.359199,-0.391494,0.0117244
51,-0.436885,-0.392384,0.0115283
52,-0.448445,-0.393462,0.0113569
53,-0.428234,-0.394118,0.0111615
54,-0.402651,-0.394276,0.010956
55,-0.421962,-0.394779,0.0107683
56,-0.413067,-0.395106,0.010581
57,-0.369204,-0.394651,0.0104051
58,-0.368039,-0.394193,0.0102358
59,-0.391168,-0.394141,0.0100624
60,-0.373287,-0.393794,0.00990074
61,-0.347435,-0.393034,0.00976756
62,-0.353626,-0.392398,0.00963068
63,-0.368777,-0.392023,0.00948511
64,-0.381426,-0.391858,0.00933835
65,-0.400278,-0.391987,0.00919558
66,-0.380496,-0.391813,0.0090579
67,-0.342698,-0.39108,0.00895232
68,-0.38913,-0.391051,0.00882071
69,-0.412432,-0.391361,0.00869832
70,-0.378955,-0.391184,0.00857586
71,-0.351223,-0.390621,0.00847353
72,-0.35838,-0.390173,0.00836766
73,-0.378796,-0.390017,0.00825449
74,-0.374801,-0.389812,0.0081455
75,-0.430577,-0.390355,0.00805501
76,-0.460181,-0.391274,0.00800125
77,-0.423675,-0.391695,0.00790839
78,-0.463169,-0.392611,0.00785991
79,-0.465124,-0.393529,0.00781383
80,-0.454107,-0.394286,0.00775276
81,-0.410382,-0.394485,0.00765959
82,-0.383054,-0.394346,0.00756745
83,-0.39161,-0.394313,0.00747635
84,-0.414156,-0.394549,0.00739108
85,-0.445306,-0.395146,0.0073282
86,-0.436904,-0.395632,0.00725906
87,-0.44703,-0.396222,0.00719962
88,-0.453523,-0.396874,0.00714719
89,-0.435688,-0.39731,0.00708018
90,-0.460514,-0.398012,0.00703626
91,-0.475393,-0.398862,0.00701013
92,-0.408551,-0.398968,0.00693472
93,-0.415554,-0.399146,0.00686245
94,-0.398001,-0.399134,0.00678945
95,-0.40019,-0.399145,0.006718
96,-0.392353,-0.399074,0.00664839
