BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0411429,0.0411429,0
2,0.0440204,0.0425816,0.00101735
3,0.0477629,0.0443087,0.00156478
4,0.0498352,0.0456903,0.001676
5,0.051799,0.0469121,0.0017297
6,0.0511578,0.0476197,0.00157954
7,0.0506523,0.0480529,0.00141205
8,0.0510322,0.0484253,0.00128372
9,0.0502995,0.0486336,0.00115785
10,0.0507333,0.0488435,0.00106093
11,0.0518301,0.049115,0.00099862
12,0.0542057,0.0495393,0.00100146
13,0.0528875,0.0497968,0.000956975
14,0.0522953,0.0499753,0.000905108
15,0.0540064,0.050244,0.000883764
16,0.0539253,0.0504741,0.000857955
17,0.0530838,0.0506276,0.000821105
18,0.0521505,0.0507122,0.000779835
19,0.0527573,0.0508199,0.000746182
20,0.0526113,0.0509094,0.000714229
21,0.0546406,0.0510871,0.00070197
22,0.053497,0.0511966,0.000678555
23,0.051414,0.0512061,0.000649118
24,0.0521349,0.0512448,0.000623225
25,0.0520759,0.051278,0.000599182
26,0.0509277,0.0512646,0.000576288
27,0.0540026,0.051366,0.000563796
28,0.0538429,0.0514544,0.000550556
29,0.0535699,0.0515274,0.000536382
30,0.0526414,0.0515645,0.000519787
31,0.0520218,0.0515793,0.000503229
32,0.0535888,0.0516421,0.000491406
33,0.0527274,0.051675,0.000477614
34,0.0521614,0.0516893,0.000463781
35,0.0513733,0.0516802,0.000450618
36,0.0539505,0.0517433,0.000442491
37,0.05505,0.0518327,0.000439464
38,0.0555178,0.0519296,0.000438469
39,0.0562384,0.0520401,0.000440926
40,0.0556533,0.0521305,0.000439057
41,0.0567268,0.0522426,0.00044243
42,0.0560625,0.0523335,0.000441145
43,0.054667,0.0523878,0.000434211
44,0.0537288,0.0524183,0.000425411
45,0.054147,0.0524567,0.000417688
46,0.0561562,0.0525371,0.000416279
47,0.054181,0.0525721,0.000408889
48,0.0553416,0.0526298,0.000404421
49,0.0534135,0.0526458,0.000396483
50,0.0514991,0.0526228,0.000389216
51,0.0541419,0.0526526,0.000382723
52,0.05452,0.0526885,0.000377044
53,0.0538073,0.0527096,0.00037052
54,0.0530209,0.0527154,0.000363703
55,0.0536529,0.0527325,0.00035749
56,0.0533153,0.0527429,0.000351258
57,0.0518771,0.0527277,0.000345423
58,0.051844,0.0527124,0.000339804
59,0.052627,0.052711,0.000334047
60,0.0520348,0.0526997,0.00032867
61,0.0511773,0.0526748,0.000324228
62,0.0513984,0.0526542,0.000319652
63,0.0518682,0.0526417,0.000314821
64,0.0522892,0.0526362,0.00030995
65,0.0528883,0.0526401,0.000305206
66,0.0522377,0.052634,0.000300643
67,0.0510218,0.0526099,0.000297117
68,0.0525747,0.0526094,0.000292748
69,0.0533244,0.0526198,0.000288688
70,0.0522124,0.0526139,0.000284623
71,0.051272,0.052595,0.000281241
