BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.13431,1.13431,0
2,1.1968,1.16556,0.0220942
3,1.19987,1.177,0.0174412
4,1.18566,1.17916,0.0132148
5,1.18941,1.18121,0.0107298
6,1.17156,1.1796,0.00906138
7,1.15373,1.17591,0.00848707
8,1.15971,1.17388,0.00766379
9,1.19987,1.17677,0.00733622
10,1.19758,1.17885,0.00689142
11,1.21317,1.18197,0.00693524
12,1.21902,1.18506,0.00701105
13,1.1938,1.18573,0.00650388
14,1.19213,1.18619,0.00605536
15,1.2233,1.18866,0.00613642
16,1.21517,1.19032,0.0059723
17,1.18645,1.19009,0.00562531
18,1.21371,1.1914,0.00546371
19,1.18564,1.1911,0.00518455
20,1.19668,1.19138,0.00493283
21,1.20521,1.19204,0.00474168
22,1.2244,1.19351,0.00474887
23,1.19604,1.19362,0.00454367
24,1.2222,1.19481,0.00450775
25,1.23478,1.19641,0.00460218
26,1.19412,1.19632,0.00442602
27,1.18702,1.19598,0.00427549
28,1.22693,1.19708,0.0042633
29,1.22644,1.19809,0.00423477
30,1.20148,1.19821,0.00409511
31,1.22968,1.19922,0.00408695
32,1.19794,1.19918,0.00395943
33,1.23697,1.20033,0.0040016
34,1.19919,1.20029,0.00388405
35,1.21238,1.20064,0.00378841
36,1.19783,1.20056,0.00368398
37,1.19361,1.20037,0.0035892
38,1.20484,1.20049,0.00349667
39,1.17046,1.19972,0.00349075
40,1.19759,1.19967,0.00340389
41,1.21459,1.20003,0.00334028
42,1.24059,1.201,0.00339748
43,1.21557,1.20134,0.00333533
44,1.213,1.2016,0.00327004
45,1.18947,1.20133,0.00320846
46,1.18418,1.20096,0.00316031
47,1.18829,1.20069,0.00310454
48,1.18246,1.20031,0.00306299
49,1.17092,1.19971,0.00305865
50,1.19061,1.19953,0.00300289
51,1.23171,1.20016,0.00300958
52,1.24079,1.20094,0.00305147
53,1.22431,1.20138,0.00302558
54,1.22394,1.2018,0.00299826
55,1.23986,1.20249,0.00302255
56,1.25082,1.20335,0.00308935
57,1.19478,1.2032,0.00303881
58,1.18806,1.20294,0.00299762
59,1.18387,1.20262,0.00296419
60,1.15949,1.2019,0.00300067
61,1.19467,1.20178,0.00295382
62,1.19548,1.20168,0.00290792
63,1.20485,1.20173,0.0028622
64,1.20762,1.20182,0.00281896
65,1.19,1.20164,0.00278145
66,1.20592,1.20171,0.00274006
67,1.19191,1.20156,0.00270306
68,1.24983,1.20227,0.00275494
69,1.22605,1.20261,0.00273648
70,1.21503,1.20279,0.00270313
71,1.21309,1.20294,0.00266894
72,1.21773,1.20314,0.00263977
73,1.21187,1.20326,0.00260631
74,1.2309,1.20363,0.00259772
75,1.19962,1.20358,0.00256364
76,1.22376,1.20385,0.00254362
77,1.21482,1.20399,0.00251457
78,1.2059,1.20401,0.00248245
79,1.21326,1.20413,0.00245378
80,1.23982,1.20458,0.00246334
81,1.22761,1.20486,0.00244929
82,1.23448,1.20522,0.0024459
83,1.18504,1.20498,0.00242849
84,1.16311,1.20448,0.00245019
85,1.18385,1.20424,0.00243335
86,1.20107,1.2042,0.00240533
87,1.20097,1.20416,0.00237797
88,1.18415,1.20394,0.0023618
89,1.19711,1.20386,0.00233651
90,1.18266,1.20362,0.0023224
91,1.20057,1.20359,0.00229712
92,1.20776,1.20364,0.0022726
93,1.16634,1.20324,0.00228327
94,1.19834,1.20318,0.00225957
95,1.21465,1.2033,0.00223901
96,1.21809,1.20346,0.00222097
97,1.18764,1.20329,0.00220405
98,1.19043,1.20316,0.00218547
99,1.21285,1.20326,0.00216558
100,1.17664,1.203,0.00216023
