BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.39167,1.39167,0
2,1.39114,1.3914,0.000187707
3,1.39119,1.39133,0.000138011
4,1.39118,1.39129,0.000108517
5,1.39121,1.39128,8.79271e-05
6,1.3912,1.39126,7.41388e-05
7,1.39109,1.39124,6.74225e-05
8,1.39117,1.39123,5.96262e-05
9,1.39111,1.39122,5.44894e-05
10,1.39118,1.39121,4.91639e-05
11,1.39108,1.3912,4.61074e-05
12,1.39109,1.39119,4.3271e-05
13,1.39116,1.39119,3.99954e-05
14,1.39101,1.39118,3.92255e-05
15,1.3911,1.39117,3.69109e-05
16,1.39109,1.39117,3.4974e-05
17,1.3911,1.39116,3.3152e-05
18,1.39109,1.39116,3.15415e-05
19,1.39097,1.39115,3.13772e-05
20,1.39098,1.39114,3.09202e-05
21,1.391,1.39113,3.01248e-05
22,1.39116,1.39114,2.87851e-05
23,1.39112,1.39114,2.75377e-05
24,1.39114,1.39114,2.6393e-05
25,1.39128,1.39114,2.59854e-05
26,1.39119,1.39114,2.50579e-05
27,1.39108,1.39114,2.42522e-05
28,1.39127,1.39115,2.38025e-05
29,1.39118,1.39115,2.30165e-05
30,1.39112,1.39115,2.22622e-05
31,1.39114,1.39115,2.15444e-05
32,1.39103,1.39114,2.11807e-05
33,1.39113,1.39114,2.05436e-05
34,1.39105,1.39114,2.01195e-05
35,1.39107,1.39114,1.96313e-05
36,1.39103,1.39113,1.93108e-05
37,1.39115,1.39113,1.8792e-05
38,1.39116,1.39113,1.83092e-05
39,1.39111,1.39113,1.78514e-05
40,1.39121,1.39114,1.7504e-05
41,1.3912,1.39114,1.71503e-05
42,1.39122,1.39114,1.68464e-05
43,1.39111,1.39114,1.64664e-05
44,1.39113,1.39114,1.60944e-05
45,1.39107,1.39114,1.58095e-05
46,1.3911,1.39114,1.54837e-05
47,1.3911,1.39114,1.51761e-05
48,1.39107,1.39113,1.49191e-05
49,1.39113,1.39113,1.46147e-05
50,1.39096,1.39113,1.47335e-05
51,1.39095,1.39113,1.48436e-05
52,1.39106,1.39113,1.46203e-05
53,1.39107,1.39112,1.43892e-05
54,1.39105,1.39112,1.41877e-05
55,1.39098,1.39112,1.41832e-05
56,1.39119,1.39112,1.39845e-05
57,1.39116,1.39112,1.37541e-05
58,1.39111,1.39112,1.3518e-05
59,1.39116,1.39112,1.33077e-05
60,1.39125,1.39113,1.32499e-05
61,1.39119,1.39113,1.3074e-05
62,1.39117,1.39113,1.28801e-05
63,1.39112,1.39113,1.26761e-05
64,1.39112,1.39113,1.24794e-05
65,1.39119,1.39113,1.2322e-05
66,1.39124,1.39113,1.22574e-05
67,1.39114,1.39113,1.20754e-05
68,1.39116,1.39113,1.19043e-05
69,1.39114,1.39113,1.17337e-05
70,1.39124,1.39113,1.16689e-05
71,1.39123,1.39113,1.15927e-05
72,1.39119,1.39113,1.14631e-05
73,1.39121,1.39114,1.13541e-05
74,1.3911,1.39113,1.12093e-05
75,1.39112,1.39113,1.10621e-05
76,1.39123,1.39114,1.09817e-05
77,1.39109,1.39114,1.08558e-05
78,1.39112,1.39113,1.07175e-05
79,1.39124,1.39114,1.06577e-05
80,1.39113,1.39114,1.05246e-05
81,1.39114,1.39114,1.03947e-05
82,1.39114,1.39114,1.0268e-05
83,1.39095,1.39113,1.03767e-05
84,1.39109,1.39113,1.02679e-05
85,1.39108,1.39113,1.01697e-05
86,1.39115,1.39113,1.00526e-05
87,1.39101,1.39113,1.00408e-05
88,1.39103,1.39113,9.99011e-06
89,1.39085,1.39113,1.03474e-05
90,1.39094,1.39113,1.04305e-05
91,1.39096,1.39112,1.0471e-05
