#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11743     1.11743           0
           2     1.15933     1.13838    0.014814
           3      1.1884     1.15505   0.0168177
           4     1.18252     1.16192   0.0139452
           5     1.17007     1.16355    0.011251
           6     1.18102     1.16646  0.00974539
           7     1.17839     1.16817  0.00850099
           8      1.1787     1.16948  0.00753959
           9     1.17624     1.17023  0.00673917
          10     1.17487      1.1707  0.00608116
          11     1.19835     1.17321  0.00602564
          12     1.17794      1.1736  0.00553635
          13     1.17839     1.17397  0.00512269
          14      1.2203     1.17728  0.00572659
          15     1.21899     1.18006  0.00598176
          16     1.19215     1.18082  0.00565539
          17     1.18919     1.18131  0.00534415
          18     1.19756     1.18221  0.00512294
          19     1.17101     1.18162  0.00488711
          20     1.19113      1.1821   0.0046658
          21     1.22496     1.18414  0.00486963
          22      1.2171     1.18564  0.00487335
          23     1.19415     1.18601  0.00467549
          24     1.20496      1.1868  0.00454685
          25     1.21019     1.18773  0.00446025
          26     1.23661     1.18961  0.00466806
          27     1.16543     1.18872  0.00458027
          28     1.17165     1.18811  0.00445707
          29     1.14688     1.18669  0.00452439
          30     1.17188     1.18619  0.00440042
          31     1.16935     1.18565  0.00429187
          32     1.15654     1.18474  0.00425309
          33     1.15423     1.18382  0.00422352
          34     1.15762     1.18304  0.00416897
          35     1.17603     1.18284  0.00405467
          36     1.18501      1.1829  0.00394248
          37     1.18486     1.18296  0.00383629
          38     1.15792      1.1823  0.00379149
          39     1.17976     1.18223  0.00369483
          40     1.17683      1.1821  0.00360493
          41     1.17857     1.18201  0.00351803
          42     1.19562     1.18234  0.00344917
          43     1.18289     1.18235  0.00336898
          44     1.15932     1.18183   0.0033328
          45     1.17556     1.18169  0.00326165
          46     1.17107     1.18146  0.00319891
          47     1.19229     1.18169  0.00313914
          48     1.19269     1.18192  0.00308211
          49     1.17465     1.18177  0.00302277
          50     1.15691     1.18127  0.00300291
          51     1.18534     1.18135  0.00294508
          52     1.20172     1.18174  0.00291438
          53     1.17964      1.1817  0.00285966
          54     1.18226     1.18171  0.00280672
          55     1.16757     1.18146  0.00276745
          56     1.20217     1.18183  0.00274265
          57     1.19222     1.18201  0.00270059
          58     1.20647     1.18243  0.00268675
          59     1.20557     1.18282  0.00266968
          60     1.17049     1.18262  0.00263309
          61     1.16693     1.18236  0.00260245
          62     1.21025     1.18281  0.00259907
          63     1.21686     1.18335   0.0026134
          64     1.19267     1.18349  0.00257662
          65     1.19719     1.18371  0.00254558
          66     1.22061     1.18426  0.00256767
          67     1.18653      1.1843  0.00252957
          68     1.22098     1.18484  0.00254925
          69     1.18325     1.18481   0.0025124
          70     1.20072     1.18504  0.00248677
          71      1.2004     1.18526  0.00246113
          72     1.18466     1.18525  0.00242697
          73     1.16613     1.18499  0.00240782
          74     1.19221     1.18509  0.00237725
          75     1.19106     1.18517  0.00234689
          76     1.16615     1.18491  0.00232931
          77     1.18813     1.18496  0.00229944
          78     1.15541     1.18458  0.00230094
          79     1.17815      1.1845  0.00227325
          80     1.17089     1.18433  0.00225119
          81     1.19474     1.18445  0.00222706
          82      1.2082     1.18474  0.00221865
          83     1.22393     1.18522   0.0022416
          84      1.1842      1.1852  0.00221494
          85     1.22731      1.1857   0.0022436
          86     1.20213     1.18589  0.00222562
          87     1.19718     1.18602  0.00220382
          88     1.16439     1.18577  0.00219244
          89     1.20438     1.18598  0.00217775
          90     1.21186     1.18627  0.00217245
          91     1.17891     1.18619  0.00215009
          92     1.20637     1.18641  0.00213787
          93     1.18473     1.18639  0.00211496
          94     1.19807     1.18652  0.00209611
          95     1.20386      1.1867  0.00208198
          96     1.17721      1.1866  0.00206264
          97      1.1645     1.18637  0.00205391
          98     1.13135     1.18581  0.00210829
          99     1.16613     1.18561  0.00209634
         100     1.17455      1.1855   0.0020783
