BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.79159,1.79159,0
2,1.78464,1.78811,0.0024542
3,1.83545,1.80389,0.0129858
4,1.81136,1.80576,0.00987262
5,1.82655,1.80992,0.00873027
6,1.77706,1.80444,0.00882714
7,1.78952,1.80231,0.00781932
8,1.81795,1.80427,0.00708219
9,1.76023,1.79937,0.00780468
10,1.77948,1.79738,0.00727323
11,1.83462,1.80077,0.00735755
12,1.80814,1.80138,0.00677003
13,1.7628,1.79842,0.00686892
14,1.79881,1.79844,0.00637834
15,1.84547,1.80158,0.00667921
16,1.8609,1.80529,0.00721795
17,1.81209,1.80569,0.00680447
18,1.80162,1.80546,0.0064302
19,1.80306,1.80533,0.00609301
20,1.79936,1.80504,0.00579567
21,1.79181,1.80441,0.0055538
22,1.8004,1.80422,0.00530434
23,1.82741,1.80523,0.00516865
24,1.78691,1.80447,0.00500933
25,1.77033,1.8031,0.00499162
26,1.80842,1.80331,0.00480383
27,1.81159,1.80361,0.0046357
28,1.79789,1.80341,0.00447464
29,1.77822,1.80254,0.00440382
30,1.7326,1.80021,0.00483498
31,1.78266,1.79964,0.00471203
32,1.81567,1.80015,0.00459132
33,1.80031,1.80015,0.00445219
34,1.83747,1.80125,0.00445451
35,1.8366,1.80226,0.00444025
36,1.84733,1.80351,0.00448998
37,1.78099,1.8029,0.0044097
38,1.76961,1.80203,0.0043798
39,1.77932,1.80144,0.00430603
40,1.80469,1.80152,0.00419915
41,1.82558,1.80211,0.00413752
42,1.80033,1.80207,0.00403923
43,1.78967,1.80178,0.00395558
44,1.82761,1.80237,0.00390898
45,1.76845,1.80161,0.00389412
46,1.77136,1.80096,0.0038646
47,1.81614,1.80128,0.00379585
48,1.84214,1.80213,0.00381103
49,1.8343,1.80279,0.00378937
50,1.78888,1.80251,0.00372377
51,1.78713,1.80221,0.00366294
52,1.79987,1.80216,0.00359278
53,1.80697,1.80225,0.00352614
54,1.793,1.80208,0.003465
55,1.79426,1.80194,0.00340492
56,1.7754,1.80146,0.00337694
57,1.80135,1.80146,0.0033177
58,1.80328,1.80149,0.00326064
59,1.81213,1.80167,0.00321036
60,1.812,1.80185,0.00316147
61,1.81262,1.80202,0.00311457
62,1.78959,1.80182,0.00307078
63,1.79932,1.80178,0.0030223
64,1.80145,1.80178,0.00297508
65,1.80228,1.80179,0.00292932
66,1.79913,1.80175,0.00288521
67,1.81663,1.80197,0.00285069
68,1.84542,1.80261,0.00287948
69,1.80721,1.80267,0.00283852
70,1.7785,1.80233,0.00281889
71,1.79314,1.8022,0.00278216
72,1.77138,1.80177,0.00277624
73,1.81368,1.80193,0.002743
74,1.82359,1.80223,0.0027215
75,1.77282,1.80183,0.00271331
76,1.78582,1.80162,0.00268578
77,1.74846,1.80093,0.00273821
78,1.80699,1.80101,0.00270421
79,1.81547,1.80119,0.00267617
80,1.81984,1.80143,0.00265284
81,1.79738,1.80138,0.00262056
82,1.79507,1.8013,0.00258973
83,1.79629,1.80124,0.00255923
84,1.80135,1.80124,0.00252877
85,1.79878,1.80121,0.00249918
86,1.8293,1.80154,0.00249138
87,1.8464,1.80205,0.00251555
88,1.92407,1.80344,0.00284353
89,1.83183,1.80376,0.00282942
90,1.83159,1.80407,0.00281483
91,1.85486,1.80463,0.00283869
92,1.88724,1.80553,0.00294643
93,1.80239,1.80549,0.00291494
94,1.80244,1.80546,0.00288411
95,1.80938,1.8055,0.00285404
96,1.79751,1.80542,0.00282553
97,1.75907,1.80494,0.0028365
98,1.78334,1.80472,0.00281611
99,1.79439,1.80461,0.00278959
100,1.74992,1.80407,0.00281481
