#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6644      1.6644           0
           2     1.79021     1.72731   0.0444793
           3     1.79197     1.74886   0.0344819
           4     1.79665     1.76081   0.0278544
           5     1.77418     1.76348   0.0224115
           6     1.82717      1.7741   0.0210402
           7     1.81279     1.77963   0.0187466
           8     1.82489     1.78528   0.0172359
           9     1.78709     1.78548    0.015322
          10     1.78645     1.78558   0.0137901
          11     1.76141     1.78338   0.0127104
          12     1.75356      1.7809   0.0118916
          13     1.78432     1.78116   0.0109798
          14     1.81229     1.78338   0.0104182
          15     1.81097     1.78522  0.00988464
          16     1.80295     1.78633  0.00932876
          17     1.78694     1.78637  0.00878008
          18     1.78584     1.78634  0.00829234
          19     1.77267     1.78562  0.00788706
          20     1.77872     1.78527  0.00750026
          21      1.7784     1.78495  0.00715024
          22        1.77     1.78427  0.00685743
          23     1.81158     1.78545  0.00666135
          24     1.80837     1.78641  0.00645189
          25     1.76802     1.78567  0.00623562
          26     1.77282     1.78518  0.00601535
          27     1.79943     1.78571  0.00581568
          28     1.79581     1.78607  0.00561915
          29     1.80713     1.78679  0.00547212
          30     1.79587      1.7871  0.00529808
          31      1.7638     1.78635  0.00518021
          32     1.82891     1.78768  0.00518633
          33      1.8219     1.78871  0.00513181
          34      1.8637     1.79092  0.00543412
          35     1.76713     1.79024   0.0053212
          36     1.79747     1.79044  0.00517718
          37     1.77885     1.79013  0.00504672
          38     1.74233     1.78887  0.00506821
          39      1.7854     1.78878  0.00493903
          40     1.84454     1.79017  0.00500844
          41     1.83702     1.79132  0.00501493
          42     1.83686      1.7924  0.00501141
          43     1.81724     1.79298  0.00492804
          44     1.83635     1.79396  0.00491362
          45     1.80926      1.7943  0.00481617
          46     1.79549     1.79433  0.00471154
          47     1.79039     1.79425  0.00461204
          48     1.80008     1.79437  0.00451755
          49     1.80695     1.79462  0.00443265
          50     1.76101     1.79395  0.00439467
          51     1.76913     1.79347  0.00433537
          52     1.80671     1.79372  0.00425947
          53     1.76505     1.79318  0.00421332
          54      1.8327     1.79391  0.00419837
          55     1.80638     1.79414  0.00412816
          56     1.78266     1.79393  0.00405952
          57     1.73258     1.79286  0.00412853
          58     1.75838     1.79226  0.00409993
          59     1.79753     1.79235  0.00403141
          60     1.83071     1.79299   0.0040146
          61      1.7865     1.79288  0.00395019
          62      1.7899     1.79284  0.00388677
          63     1.76831     1.79245  0.00384453
          64     1.75467     1.79186   0.0038295
          65     1.76073     1.79138  0.00380042
          66     1.77937      1.7912  0.00374719
          67     1.77283     1.79092  0.00370127
          68     1.78184     1.79079  0.00364925
          69     1.79242     1.79081  0.00359644
          70     1.83656     1.79146  0.00360397
          71     1.88901     1.79284  0.00380609
          72     1.90332     1.79437  0.00405074
          73     1.82336     1.79477  0.00401466
          74     1.81062     1.79498  0.00396612
          75     1.86553     1.79592  0.00402324
          76     1.83026     1.79638  0.00399558
          77     1.78682     1.79625  0.00394561
          78     1.81869     1.79654   0.0039055
          79     1.81027     1.79671  0.00385993
          80     1.82844     1.79711    0.003832
          81     1.79848     1.79713  0.00378473
          82     1.75395      1.7966  0.00377503
          83     1.83085     1.79701  0.00375204
          84     1.84088     1.79754  0.00374354
          85       1.796     1.79752  0.00369954
          86     1.77562     1.79726  0.00366527
          87     1.76641     1.79691  0.00364026
          88     1.80667     1.79702  0.00360059
          89     1.77117     1.79673  0.00357182
          90     1.75677     1.79629  0.00355961
          91     1.83797     1.79674  0.00354985
          92     1.78187     1.79658  0.00351495
          93     1.79526     1.79657  0.00347718
          94     1.80085     1.79661  0.00344049
          95     1.80627     1.79671  0.00340577
          96      1.8138     1.79689  0.00337494
          97     1.79761      1.7969  0.00334016
          98     1.82646      1.7972  0.00331966
          99     1.80144     1.79724  0.00328641
         100     1.81816     1.79745  0.00326019
