BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.386631,-0.386631,0
2,-0.416768,-0.4017,0.0106551
3,-0.425619,-0.409673,0.00963518
4,-0.404965,-0.408496,0.00729792
5,-0.415059,-0.409808,0.00595523
6,-0.402808,-0.408642,0.00507568
7,-0.416221,-0.409724,0.00446456
8,-0.444511,-0.414073,0.00563963
9,-0.387591,-0.41113,0.00572943
10,-0.394973,-0.409515,0.00537948
11,-0.433467,-0.411692,0.00531288
12,-0.430456,-0.413256,0.00509504
13,-0.38785,-0.411301,0.00506406
14,-0.408216,-0.411081,0.00470714
15,-0.394691,-0.409988,0.00451836
16,-0.394763,-0.409037,0.00433501
17,-0.376324,-0.407113,0.00448681
18,-0.42289,-0.407989,0.00432231
19,-0.378094,-0.406416,0.00437183
20,-0.441057,-0.408148,0.00448325
21,-0.43713,-0.409528,0.00447715
22,-0.431903,-0.410545,0.00438764
23,-0.397824,-0.409992,0.00423159
24,-0.389433,-0.409135,0.00414107
25,-0.406017,-0.40901,0.00397731
26,-0.467489,-0.41126,0.00441472
27,-0.43693,-0.41221,0.00435238
28,-0.400615,-0.411796,0.00421659
29,-0.43256,-0.412512,0.00413154
30,-0.418082,-0.412698,0.00399799
31,-0.397433,-0.412205,0.00389923
32,-0.389675,-0.411501,0.00384042
33,-0.36576,-0.410115,0.0039663
34,-0.414896,-0.410256,0.00385214
35,-0.408965,-0.410219,0.00374226
36,-0.376374,-0.409279,0.00375454
37,-0.333076,-0.407219,0.00417994
38,-0.389298,-0.406748,0.00409646
39,-0.418277,-0.407043,0.00400208
40,-0.446238,-0.408023,0.00402019
41,-0.419604,-0.408306,0.00393205
42,-0.383868,-0.407724,0.00388124
43,-0.425578,-0.408139,0.00381312
44,-0.39405,-0.407819,0.00373988
45,-0.393766,-0.407507,0.00366979
46,-0.396097,-0.407259,0.00359838
47,-0.423624,-0.407607,0.00353863
48,-0.366912,-0.406759,0.00356502
49,-0.405682,-0.406737,0.00349233
50,-0.400119,-0.406605,0.00342499
51,-0.407145,-0.406615,0.00335785
52,-0.409283,-0.406666,0.00329367
53,-0.359741,-0.405781,0.00334841
54,-0.429127,-0.406213,0.0033142
55,-0.395437,-0.406017,0.00325973
56,-0.401511,-0.405937,0.00320251
57,-0.394608,-0.405738,0.00315249
58,-0.421923,-0.406017,0.00311046
59,-0.445446,-0.406686,0.00312871
60,-0.433419,-0.407131,0.00310813
61,-0.451145,-0.407853,0.00313981
62,-0.402195,-0.407761,0.00309049
63,-0.364126,-0.407069,0.00311808
64,-0.405054,-0.407037,0.00306952
65,-0.382273,-0.406656,0.00304585
66,-0.424647,-0.406929,0.00301187
67,-0.352275,-0.406113,0.0030754
68,-0.356915,-0.40539,0.00311412
69,-0.371203,-0.404894,0.00310815
70,-0.404442,-0.404888,0.00306375
71,-0.387277,-0.40464,0.00303063
72,-0.411223,-0.404731,0.00298991
73,-0.45525,-0.405423,0.00302799
74,-0.41897,-0.405606,0.0029926
75,-0.397905,-0.405504,0.00295446
76,-0.383861,-0.405219,0.00292927
77,-0.347975,-0.404475,0.00298408
78,-0.37218,-0.404061,0.00297441
79,-0.402745,-0.404045,0.0029368
80,-0.374445,-0.403675,0.00292331
81,-0.425599,-0.403945,0.00289972
82,-0.431669,-0.404283,0.002884
83,-0.469727,-0.405072,0.00295507
84,-0.398283,-0.404991,0.002921
85,-0.376983,-0.404662,0.00290516
86,-0.400169,-0.404609,0.00287185
87,-0.46423,-0.405295,0.00291946
88,-0.48697,-0.406223,0.00303023
89,-0.441655,-0.406621,0.00302222
90,-0.410881,-0.406668,0.00298901
91,-0.436014,-0.406991,0.00297351
92,-0.400551,-0.406921,0.00294201
93,-0.435195,-0.407225,0.00292604
94,-0.450885,-0.407689,0.00293155
95,-0.451337,-0.408149,0.00293647
96,-0.423581,-0.408309,0.00291028
97,-0.364306,-0.407856,0.00291542
98,-0.404747,-0.407824,0.00288584
99,-0.437212,-0.408121,0.00287192
100,-0.432363,-0.408363,0.00285341
