BLOCK,ACTUAL_P,P_AVE,ERROR
1,5.500852e-02,5.500852e-02,0.000000e+00
2,5.519286e-02,5.510069e-02,6.517663e-05
3,5.412420e-02,5.477519e-02,2.692946e-04
4,5.455693e-02,5.472063e-02,2.074258e-04
5,5.510623e-02,5.479775e-02,1.797062e-04
6,5.369841e-02,5.461452e-02,2.245044e-04
7,5.289096e-02,5.436830e-02,2.983210e-04
8,5.291258e-02,5.418634e-02,3.116239e-04
9,5.300069e-02,5.405460e-02,3.035707e-04
10,5.311771e-02,5.396091e-02,2.873074e-04
11,5.374350e-02,5.394114e-02,2.618675e-04
12,5.101524e-02,5.369732e-02,3.348408e-04
13,5.179143e-02,5.355071e-02,3.396659e-04
14,5.290619e-02,5.350467e-02,3.185086e-04
15,5.296804e-02,5.346890e-02,2.992772e-04
16,5.320013e-02,5.345210e-02,2.810434e-04
17,5.304131e-02,5.342794e-02,2.655482e-04
18,5.251057e-02,5.337697e-02,2.556395e-04
19,5.250472e-02,5.333106e-02,2.462723e-04
20,5.271118e-02,5.330007e-02,2.359010e-04
21,5.211344e-02,5.324356e-02,2.313362e-04
22,5.186390e-02,5.318085e-02,2.291635e-04
23,5.313143e-02,5.317870e-02,2.192099e-04
24,5.337220e-02,5.318677e-02,2.102244e-04
25,5.284472e-02,5.317308e-02,2.022602e-04
26,5.283534e-02,5.316009e-02,1.948976e-04
27,5.315570e-02,5.315993e-02,1.876793e-04
28,5.213282e-02,5.312325e-02,1.845265e-04
29,5.243116e-02,5.309938e-02,1.797002e-04
30,5.113850e-02,5.303402e-02,1.852163e-04
31,5.245800e-02,5.301544e-02,1.801712e-04
32,5.398341e-02,5.304569e-02,1.770620e-04
33,5.249576e-02,5.302902e-02,1.724789e-04
34,5.201602e-02,5.299923e-02,1.699598e-04
35,5.355162e-02,5.301501e-02,1.658350e-04
36,5.221689e-02,5.299284e-02,1.627037e-04
37,5.129067e-02,5.294684e-02,1.646818e-04
38,5.086883e-02,5.289215e-02,1.691839e-04
39,5.245654e-02,5.288098e-02,1.652141e-04
40,5.232171e-02,5.286700e-02,1.616743e-04
41,5.223880e-02,5.285168e-02,1.584554e-04
42,5.183344e-02,5.282744e-02,1.565264e-04
43,5.291184e-02,5.282940e-02,1.528985e-04
44,5.262507e-02,5.282475e-02,1.494941e-04
45,5.174453e-02,5.280075e-02,1.480867e-04
46,5.285096e-02,5.280184e-02,1.448715e-04
47,5.397594e-02,5.282682e-02,1.439268e-04
48,5.352933e-02,5.284146e-02,1.416705e-04
49,5.449523e-02,5.287521e-02,1.427429e-04
50,5.523183e-02,5.292234e-02,1.474642e-04
51,5.686969e-02,5.299974e-02,1.636289e-04
52,5.657326e-02,5.306846e-02,1.743168e-04
53,5.277350e-02,5.306290e-02,1.711166e-04
54,5.344902e-02,5.307005e-02,1.680971e-04
55,5.407240e-02,5.308827e-02,1.660258e-04
56,5.529980e-02,5.312776e-02,1.676921e-04
57,5.504851e-02,5.316146e-02,1.681018e-04
58,5.623435e-02,5.321444e-02,1.733516e-04
59,5.451504e-02,5.323648e-02,1.718093e-04
60,5.265610e-02,5.322681e-02,1.692179e-04
61,5.317887e-02,5.322603e-02,1.664456e-04
62,5.361672e-02,5.323233e-02,1.638803e-04
63,5.281800e-02,5.322575e-02,1.614109e-04
64,5.152428e-02,5.319917e-02,1.610634e-04
65,5.133649e-02,5.317051e-02,1.611146e-04
66,5.212618e-02,5.315469e-02,1.594486e-04
67,5.204280e-02,5.313809e-02,1.579300e-04
68,5.352767e-02,5.314382e-02,1.557114e-04
69,5.519748e-02,5.317358e-02,1.562734e-04
70,5.589899e-02,5.321252e-02,1.588170e-04
71,5.222665e-02,5.319863e-02,1.571860e-04
72,5.178266e-02,5.317897e-02,1.562282e-04
73,5.174998e-02,5.315939e-02,1.553097e-04
74,5.247214e-02,5.315010e-02,1.534883e-04
75,5.300050e-02,5.314811e-02,1.514548e-04
76,5.326282e-02,5.314962e-02,1.494694e-04
77,5.439169e-02,5.316575e-02,1.483962e-04
78,5.295395e-02,5.316303e-02,1.465185e-04
79,5.203689e-02,5.314878e-02,1.453556e-04
80,5.192608e-02,5.313349e-02,1.443399e-04
81,5.092196e-02,5.310619e-02,1.451173e-04
82,5.261453e-02,5.310020e-02,1.434713e-04
83,5.231990e-02,5.309079e-02,1.420504e-04
84,5.192761e-02,5.307695e-02,1.410327e-04
85,5.249049e-02,5.307005e-02,1.395422e-04
86,5.262853e-02,5.306491e-02,1.380140e-04
87,5.307384e-02,5.306502e-02,1.364276e-04
88,5.305416e-02,5.306489e-02,1.348774e-04
89,5.489403e-02,5.308545e-02,1.349187e-04
90,5.575164e-02,5.311507e-02,1.366332e-04
91,5.546801e-02,5.314093e-02,1.375565e-04
92,5.473340e-02,5.315824e-02,1.371461e-04
93,5.286492e-02,5.315508e-02,1.357077e-04
