#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0554134   0.0554134           0
           2   0.0595788   0.0574961  0.00147269
           3   0.0596283   0.0582069  0.00114046
           4   0.0597757   0.0585991  0.00092032
           5   0.0590434   0.0586879 0.000740535
           6   0.0608073   0.0590412 0.000696279
           7   0.0603434   0.0592272 0.000621168
           8   0.0607183   0.0594136 0.000570801
           9   0.0594741   0.0594203 0.000507418
          10   0.0594523   0.0594235 0.000456686
          11   0.0586424   0.0593525 0.000420653
          12   0.0583631   0.0592701 0.000393596
          13   0.0593841   0.0592788 0.000363417
          14   0.0603095   0.0593524 0.000344835
          15   0.0602675   0.0594134 0.000327197
          16   0.0600057   0.0594505 0.000308834
          17   0.0594505   0.0594505 0.000290667
          18   0.0594306   0.0594494 0.000274521
          19   0.0589967   0.0594255 0.000261104
          20   0.0591966   0.0594141   0.0002483
          21   0.0591877   0.0594033  0.00023671
          22   0.0589049   0.0593807 0.000227032
          23   0.0602744   0.0594195 0.000220462
          24   0.0601788   0.0594511 0.000213533
          25   0.0588504   0.0594271  0.00020634
          26   0.0590065   0.0594109 0.000199037
          27   0.0598935   0.0594288 0.000192466
          28    0.059763   0.0594408 0.000185962
          29   0.0601299   0.0594645 0.000181062
          30   0.0597783    0.059475 0.000175328
          31   0.0586999     0.05945 0.000171446
          32   0.0608671   0.0594943 0.000171712
          33   0.0606155   0.0595282 0.000169837
          34   0.0619945   0.0596008 0.000179665
          35   0.0588186   0.0595784 0.000175917
          36   0.0598259   0.0595853 0.000171164
          37   0.0592068   0.0595751 0.000166844
          38   0.0580019   0.0595337 0.000167511
          39   0.0594161   0.0595307 0.000163243
          40   0.0613707   0.0595767 0.000165516
          41   0.0611381   0.0596147 0.000165802
          42   0.0611316   0.0596509 0.000165741
          43   0.0604845   0.0596702 0.000163017
          44   0.0611108    0.059703 0.000162566
          45   0.0602142   0.0597143  0.00015935
          46   0.0597398   0.0597149 0.000155887
          47   0.0595896   0.0597122 0.000152593
          48   0.0599039   0.0597162 0.000149466
          49   0.0601368   0.0597248 0.000146662
          50   0.0585982   0.0597023  0.00014545
          51   0.0588806   0.0596862 0.000143487
          52   0.0601239   0.0596946 0.000140974
          53   0.0587497   0.0596767 0.000139437
          54   0.0609889    0.059701 0.000138956
          55   0.0601177   0.0597086 0.000136636
          56   0.0593292   0.0597018 0.000134364
          57    0.057688   0.0596665 0.000136573
          58   0.0585265   0.0596469 0.000135625
          59   0.0598201   0.0596498 0.000133358
          60   0.0609297   0.0596711 0.000132831
          61   0.0594499   0.0596675 0.000130703
          62    0.059571   0.0596659 0.000128604
          63   0.0588538   0.0596531 0.000127207
          64   0.0584126   0.0596337 0.000126687
          65   0.0586009   0.0596178 0.000125731
          66   0.0592261   0.0596118 0.000123966
          67   0.0589949   0.0596026 0.000122457
          68   0.0593109   0.0595983 0.000120731
          69   0.0596566   0.0595992 0.000118984
          70   0.0611348   0.0596211  0.00011929
          71   0.0628559   0.0596667  0.00012601
          72   0.0633353   0.0597176 0.000134166
          73   0.0606811   0.0597308 0.000132976
          74   0.0602629    0.059738 0.000131373
          75   0.0620907   0.0597694 0.000133314
          76   0.0608975   0.0597842 0.000132383
          77   0.0594684   0.0597801 0.000130728
          78   0.0605213   0.0597896 0.000129397
          79   0.0602475   0.0597954 0.000127888
          80   0.0608396   0.0598085 0.000126954
          81   0.0598486    0.059809 0.000125388
          82   0.0583842   0.0597916 0.000125057
          83   0.0609317   0.0598053 0.000124302
          84   0.0612585   0.0598226  0.00012402
          85   0.0597808   0.0598222 0.000122562
          86   0.0590846   0.0598136 0.000121437
          87   0.0587864   0.0598018 0.000120613
          88   0.0601236   0.0598054 0.000119298
          89   0.0589429   0.0597957 0.000118351
          90   0.0584516   0.0597808 0.000117974
          91   0.0611769   0.0597961 0.000117671
          92   0.0592804   0.0597905 0.000116526
          93   0.0597505   0.0597901 0.000115273
          94   0.0599245   0.0597915 0.000114056
          95   0.0601099   0.0597949 0.000112905
          96   0.0603653   0.0598008 0.000111885
          97    0.059822    0.059801 0.000110732
          98   0.0607766    0.059811 0.000110048
          99   0.0599563   0.0598125 0.000108946
         100   0.0605077   0.0598194 0.000108079
