BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.1851,1.1851,0
2,1.20516,1.19513,0.00709391
3,1.21115,1.20047,0.00643284
4,1.19741,1.1997,0.00487001
5,1.20417,1.2006,0.00397702
6,1.19591,1.19982,0.00339007
7,1.20487,1.20054,0.00298176
8,1.22368,1.20343,0.00375872
9,1.18582,1.20147,0.00381645
10,1.19072,1.2004,0.00358326
11,1.21631,1.20184,0.00353728
12,1.2144,1.20289,0.00339371
13,1.18601,1.20159,0.00337187
14,1.19955,1.20145,0.00313419
15,1.19054,1.20072,0.00300845
16,1.19057,1.20008,0.00288656
17,1.17832,1.1988,0.00298721
18,1.20933,1.19939,0.00287795
19,1.17945,1.19834,0.00291156
20,1.22143,1.19949,0.00298604
21,1.21888,1.20042,0.00298313
22,1.21537,1.2011,0.00292391
23,1.19264,1.20073,0.00281984
24,1.18704,1.20016,0.00275946
25,1.19814,1.20008,0.00265027
26,1.23901,1.20157,0.00294114
27,1.21868,1.20221,0.00289965
28,1.19442,1.20193,0.00280941
29,1.21573,1.20241,0.00275256
30,1.20615,1.20253,0.00266363
31,1.19236,1.2022,0.00259785
32,1.18726,1.20174,0.00255829
33,1.17127,1.20081,0.00264213
34,1.20403,1.20091,0.00256612
35,1.2,1.20088,0.00249293
36,1.17825,1.20025,0.00250172
37,1.14948,1.19888,0.00278509
38,1.18694,1.19857,0.00272946
39,1.20627,1.19876,0.0026666
40,1.22476,1.19941,0.00267798
41,1.20715,1.1996,0.0026193
42,1.18335,1.19922,0.00258536
43,1.21119,1.19949,0.00254019
44,1.19015,1.19928,0.00249132
45,1.18989,1.19907,0.00244468
46,1.19144,1.19891,0.00239716
47,1.20983,1.19914,0.00235739
48,1.17203,1.19857,0.00237498
49,1.19787,1.19856,0.00232656
50,1.19416,1.19847,0.00228169
51,1.19883,1.19848,0.00223696
52,1.20028,1.19851,0.00219421
53,1.16721,1.19792,0.00223089
54,1.2134,1.19821,0.00220792
55,1.19096,1.19808,0.0021717
56,1.19508,1.19802,0.00213358
57,1.19042,1.19789,0.00210032
58,1.20863,1.19808,0.00207225
59,1.22431,1.19852,0.00208427
60,1.2163,1.19882,0.00207048
61,1.22818,1.1993,0.00209176
62,1.19559,1.19924,0.00205888
63,1.17017,1.19878,0.00207725
64,1.19744,1.19876,0.0020449
65,1.18224,1.1985,0.00202917
66,1.21054,1.19868,0.00200661
67,1.16226,1.19814,0.00204897
68,1.16537,1.19766,0.00207473
69,1.17482,1.19733,0.00207091
70,1.197,1.19732,0.00204133
71,1.18558,1.19716,0.00201927
72,1.20151,1.19722,0.00199212
73,1.23086,1.19768,0.00201744
74,1.20675,1.1978,0.00199389
75,1.1927,1.19773,0.00196847
76,1.18335,1.19754,0.00195165
77,1.15942,1.19705,0.00198813
78,1.17557,1.19677,0.00198161
79,1.19598,1.19676,0.00195655
80,1.1771,1.19652,0.00194748
81,1.21113,1.1967,0.00193177
82,1.21515,1.19692,0.00192127
83,1.24048,1.19745,0.0019685
84,1.19286,1.19739,0.00194582
85,1.17879,1.19718,0.00193519
86,1.19414,1.19714,0.00191301
87,1.23679,1.1976,0.00194454
88,1.25197,1.19821,0.00201824
89,1.22174,1.19848,0.0020128
90,1.20132,1.19851,0.00199068
91,1.21805,1.19872,0.00198036
92,1.19443,1.19868,0.00195938
93,1.21753,1.19888,0.00194877
94,1.22797,1.19919,0.00195246
95,1.2282,1.1995,0.00195565
96,1.20978,1.1996,0.00193821
97,1.17036,1.1993,0.00194154
98,1.19722,1.19928,0.00192184
99,1.21886,1.19948,0.00191258
100,1.21554,1.19964,0.00190019
