#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1096      1.1096           0
           2     1.19347     1.15154   0.0296529
           3     1.19465     1.16591   0.0229879
           4     1.19777     1.17387   0.0185696
           5     1.18279     1.17566    0.014941
           6     1.21811     1.18273   0.0140268
           7     1.20853     1.18642   0.0124978
           8     1.21659     1.19019   0.0114906
           9      1.1914     1.19032   0.0102146
          10     1.19097     1.19039  0.00919339
          11     1.17427     1.18892  0.00847357
          12     1.16904     1.18727  0.00792773
          13     1.18954     1.18744  0.00731984
          14     1.20819     1.18892  0.00694549
          15     1.20731     1.19015  0.00658976
          16     1.20197     1.19089  0.00621917
          17     1.19129     1.19091  0.00585339
          18     1.19056     1.19089  0.00552823
          19     1.18178     1.19041  0.00525804
          20     1.18581     1.19018  0.00500017
          21      1.1856     1.18996  0.00476683
          22        1.18     1.18951  0.00457162
          23     1.20772      1.1903   0.0044409
          24     1.20558     1.19094  0.00430126
          25     1.17868     1.19045  0.00415708
          26     1.18188     1.19012  0.00401023
          27     1.19962     1.19047  0.00387712
          28     1.19721     1.19071   0.0037461
          29     1.20475      1.1912  0.00364808
          30     1.19725      1.1914  0.00353205
          31     1.17587      1.1909  0.00345347
          32     1.21928     1.19178  0.00345755
          33      1.2146     1.19248   0.0034212
          34     1.24246     1.19395  0.00362275
          35     1.17809     1.19349  0.00354747
          36     1.19831     1.19363  0.00345145
          37      1.1859     1.19342  0.00336448
          38     1.16156     1.19258  0.00337881
          39     1.19027     1.19252  0.00329269
          40      1.2297     1.19345  0.00333896
          41     1.22468     1.19421  0.00334329
          42     1.22458     1.19493  0.00334094
          43     1.21149     1.19532  0.00328536
          44     1.22423     1.19598  0.00327575
          45     1.20617      1.1962  0.00321078
          46       1.197     1.19622  0.00314102
          47     1.19359     1.19616  0.00307469
          48     1.20005     1.19624   0.0030117
          49     1.20463     1.19642   0.0029551
          50     1.17401     1.19597  0.00292978
          51     1.17942     1.19564  0.00289025
          52     1.20447     1.19581  0.00283965
          53      1.1767     1.19545  0.00280888
          54      1.2218     1.19594  0.00279891
          55     1.20426     1.19609  0.00275211
          56     1.18844     1.19595  0.00270635
          57     1.15505     1.19524  0.00275235
          58     1.17225     1.19484  0.00273328
          59     1.19835      1.1949   0.0026876
          60     1.22048     1.19533   0.0026764
          61       1.191     1.19526  0.00263346
          62     1.19327     1.19522  0.00259118
          63     1.17887     1.19496  0.00256302
          64     1.16978     1.19457    0.002553
          65     1.17382     1.19425  0.00253361
          66     1.18625     1.19413  0.00249812
          67     1.18189     1.19395  0.00246752
          68     1.18789     1.19386  0.00243284
          69     1.19495     1.19387  0.00239763
          70     1.22438     1.19431  0.00240264
          71     1.25934     1.19523   0.0025374
          72     1.26888     1.19625  0.00270049
          73     1.21557     1.19651  0.00267644
          74     1.20708     1.19666  0.00264408
          75     1.24369     1.19728  0.00268216
          76     1.22017     1.19758  0.00266372
          77     1.19121      1.1975  0.00263041
          78     1.21246     1.19769  0.00260367
          79     1.20685     1.19781  0.00257329
          80     1.21896     1.19807  0.00255467
          81     1.19899     1.19809  0.00252315
          82      1.1693     1.19773  0.00251669
          83     1.22057     1.19801  0.00250136
          84     1.22725     1.19836  0.00249569
          85     1.19733     1.19835  0.00246636
          86     1.18375     1.19818  0.00244352
          87     1.17761     1.19794  0.00242684
          88     1.20445     1.19801  0.00240039
          89     1.18078     1.19782  0.00238121
          90     1.17118     1.19752  0.00237308
          91     1.22531     1.19783  0.00236657
          92     1.18791     1.19772   0.0023433
          93     1.19684     1.19771  0.00231812
          94     1.20057     1.19774  0.00229366
          95     1.20418     1.19781  0.00227051
          96      1.2092     1.19793  0.00224996
          97     1.19841     1.19793  0.00222677
          98     1.21764     1.19813  0.00221311
          99     1.20096     1.19816  0.00219094
         100      1.2121      1.1983  0.00217346
