BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.391020e+00,1.391020e+00,0.000000e+00
2,1.390981e+00,1.391000e+00,1.384450e-05
3,1.391089e+00,1.391030e+00,2.582810e-05
4,1.390921e+00,1.391003e+00,3.052772e-05
5,1.391113e+00,1.391025e+00,3.143914e-05
6,1.391187e+00,1.391052e+00,3.598444e-05
7,1.391164e+00,1.391068e+00,3.425180e-05
8,1.391201e+00,1.391085e+00,3.378486e-05
9,1.391162e+00,1.391093e+00,3.112013e-05
10,1.391194e+00,1.391103e+00,2.958211e-05
11,1.391261e+00,1.391118e+00,3.018835e-05
12,1.391110e+00,1.391117e+00,2.767854e-05
13,1.391015e+00,1.391109e+00,2.664557e-05
14,1.391021e+00,1.391103e+00,2.546874e-05
15,1.391063e+00,1.391100e+00,2.390683e-05
16,1.390939e+00,1.391090e+00,2.443724e-05
17,1.390968e+00,1.391083e+00,2.403630e-05
18,1.390963e+00,1.391076e+00,2.360315e-05
19,1.391027e+00,1.391074e+00,2.250509e-05
20,1.391087e+00,1.391074e+00,2.138904e-05
21,1.391151e+00,1.391078e+00,2.067762e-05
22,1.391113e+00,1.391080e+00,1.979776e-05
23,1.391155e+00,1.391083e+00,1.920658e-05
24,1.391249e+00,1.391090e+00,1.961987e-05
25,1.391224e+00,1.391095e+00,1.955954e-05
26,1.391093e+00,1.391095e+00,1.880742e-05
27,1.391180e+00,1.391098e+00,1.837052e-05
28,1.391191e+00,1.391102e+00,1.800870e-05
29,1.391265e+00,1.391107e+00,1.824403e-05
30,1.391192e+00,1.391110e+00,1.785311e-05
31,1.391135e+00,1.391111e+00,1.729581e-05
32,1.391142e+00,1.391112e+00,1.678350e-05
33,1.391167e+00,1.391113e+00,1.635780e-05
34,1.391164e+00,1.391115e+00,1.594401e-05
35,1.391091e+00,1.391114e+00,1.550316e-05
36,1.391188e+00,1.391116e+00,1.520702e-05
37,1.391127e+00,1.391117e+00,1.479862e-05
38,1.391061e+00,1.391115e+00,1.448126e-05
39,1.391124e+00,1.391115e+00,1.411171e-05
40,1.391122e+00,1.391115e+00,1.375984e-05
41,1.391053e+00,1.391114e+00,1.350907e-05
42,1.391121e+00,1.391114e+00,1.318853e-05
43,1.390932e+00,1.391110e+00,1.354463e-05
44,1.391121e+00,1.391110e+00,1.323904e-05
45,1.390929e+00,1.391106e+00,1.354323e-05
46,1.391011e+00,1.391104e+00,1.340609e-05
47,1.391007e+00,1.391102e+00,1.327796e-05
48,1.391039e+00,1.391101e+00,1.306528e-05
49,1.391070e+00,1.391100e+00,1.281392e-05
50,1.391118e+00,1.391100e+00,1.256240e-05
51,1.391185e+00,1.391102e+00,1.242444e-05
52,1.391188e+00,1.391104e+00,1.229521e-05
53,1.391146e+00,1.391105e+00,1.208922e-05
54,1.390922e+00,1.391101e+00,1.232676e-05
55,1.390968e+00,1.391099e+00,1.233870e-05
56,1.390992e+00,1.391097e+00,1.226496e-05
57,1.390923e+00,1.391094e+00,1.242236e-05
58,1.390990e+00,1.391092e+00,1.233545e-05
59,1.391004e+00,1.391090e+00,1.221692e-05
60,1.390960e+00,1.391088e+00,1.220457e-05
61,1.390811e+00,1.391084e+00,1.282491e-05
62,1.391022e+00,1.391083e+00,1.265608e-05
63,1.391020e+00,1.391082e+00,1.249411e-05
64,1.391120e+00,1.391082e+00,1.231298e-05
65,1.391077e+00,1.391082e+00,1.212385e-05
66,1.391188e+00,1.391084e+00,1.204562e-05
67,1.391248e+00,1.391086e+00,1.211322e-05
68,1.391197e+00,1.391088e+00,1.204316e-05
69,1.391115e+00,1.391088e+00,1.187518e-05
70,1.391226e+00,1.391090e+00,1.186683e-05
71,1.391198e+00,1.391092e+00,1.179697e-05
72,1.391136e+00,1.391092e+00,1.164919e-05
73,1.391018e+00,1.391091e+00,1.153360e-05
74,1.391109e+00,1.391092e+00,1.138015e-05
75,1.390991e+00,1.391090e+00,1.130762e-05
76,1.390977e+00,1.391089e+00,1.125735e-05
77,1.390982e+00,1.391087e+00,1.119630e-05
78,1.391065e+00,1.391087e+00,1.105662e-05
79,1.390995e+00,1.391086e+00,1.097811e-05
80,1.391104e+00,1.391086e+00,1.084322e-05
81,1.391035e+00,1.391086e+00,1.072806e-05
82,1.391099e+00,1.391086e+00,1.059850e-05
83,1.391223e+00,1.391087e+00,1.059916e-05
84,1.391225e+00,1.391089e+00,1.059918e-05
85,1.391174e+00,1.391090e+00,1.052160e-05
86,1.391153e+00,1.391091e+00,1.042455e-05
87,1.391098e+00,1.391091e+00,1.030508e-05
88,1.390967e+00,1.391089e+00,1.028317e-05
89,1.390950e+00,1.391088e+00,1.028573e-05
90,1.391063e+00,1.391088e+00,1.017516e-05
91,1.391166e+00,1.391088e+00,1.009990e-05
92,1.391294e+00,1.391091e+00,1.023325e-05
93,1.391324e+00,1.391093e+00,1.042731e-05
94,1.391253e+00,1.391095e+00,1.045391e-05
95,1.391129e+00,1.391095e+00,1.035016e-05
96,1.391183e+00,1.391096e+00,1.028258e-05
97,1.391019e+00,1.391095e+00,1.020757e-05
98,1.391105e+00,1.391096e+00,1.010385e-05
99,1.391194e+00,1.391096e+00,1.005050e-05
100,1.391090e+00,1.391096e+00,9.950178e-06
101,1.391038e+00,1.391096e+00,9.868698e-06
102,1.391035e+00,1.391095e+00,9.789745e-06
103,1.390877e+00,1.391093e+00,9.920642e-06
104,1.390928e+00,1.391092e+00,9.952234e-06
105,1.390947e+00,1.391090e+00,9.951903e-06
106,1.391030e+00,1.391090e+00,9.874296e-06
107,1.391121e+00,1.391090e+00,9.786297e-06
108,1.391123e+00,1.391090e+00,9.700444e-06
109,1.391181e+00,1.391091e+00,9.647143e-06
110,1.391187e+00,1.391092e+00,9.598424e-06
111,1.391144e+00,1.391092e+00,9.523576e-06
112,1.391292e+00,1.391094e+00,9.603574e-06
113,1.391181e+00,1.391095e+00,9.549126e-06
114,1.391131e+00,1.391095e+00,9.470551e-06
115,1.391090e+00,1.391095e+00,9.388294e-06
116,1.390988e+00,1.391094e+00,9.352636e-06
117,1.390935e+00,1.391093e+00,9.371552e-06
118,1.390882e+00,1.391091e+00,9.461568e-06
119,1.390905e+00,1.391090e+00,9.510690e-06
120,1.390937e+00,1.391088e+00,9.515547e-06
121,1.391033e+00,1.391088e+00,9.447921e-06
122,1.390964e+00,1.391087e+00,9.424660e-06
123,1.391000e+00,1.391086e+00,9.374335e-06
124,1.390922e+00,1.391085e+00,9.391480e-06
125,1.391098e+00,1.391085e+00,9.316963e-06
126,1.391005e+00,1.391084e+00,9.264774e-06
127,1.391052e+00,1.391084e+00,9.195240e-06
128,1.390939e+00,1.391083e+00,9.192683e-06
129,1.391009e+00,1.391082e+00,9.139043e-06
130,1.390959e+00,1.391081e+00,9.117592e-06
131,1.390969e+00,1.391081e+00,9.087945e-06
132,1.390837e+00,1.391079e+00,9.205129e-06
133,1.390833e+00,1.391077e+00,9.319142e-06
134,1.391112e+00,1.391077e+00,9.253238e-06
135,1.391054e+00,1.391077e+00,9.186315e-06
136,1.391070e+00,1.391077e+00,9.118920e-06
137,1.391146e+00,1.391077e+00,9.066292e-06
138,1.391128e+00,1.391078e+00,9.007938e-06
139,1.391206e+00,1.391079e+00,8.990111e-06
140,1.391141e+00,1.391079e+00,8.936794e-06
141,1.391133e+00,1.391079e+00,8.881503e-06
142,1.391150e+00,1.391080e+00,8.832688e-06
143,1.391077e+00,1.391080e+00,8.770941e-06
144,1.391053e+00,1.391080e+00,8.712041e-06
145,1.391046e+00,1.391080e+00,8.655142e-06
146,1.391034e+00,1.391079e+00,8.601531e-06
147,1.391070e+00,1.391079e+00,8.543259e-06
148,1.391071e+00,1.391079e+00,8.485692e-06
149,1.391169e+00,1.391080e+00,8.450251e-06
150,1.391179e+00,1.391080e+00,8.419579e-06
151,1.391183e+00,1.391081e+00,8.391058e-06
