#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.40156     1.40156           0
           2      1.4015     1.40153 2.32162e-05
           3     1.40153     1.40153  1.5487e-05
           4     1.40142      1.4015 2.67076e-05
           5     1.40155     1.40151 2.26827e-05
           6     1.40152     1.40151 1.89113e-05
           7     1.40154     1.40152 1.67479e-05
           8     1.40142      1.4015 1.85002e-05
           9     1.40149      1.4015 1.64826e-05
          10     1.40151      1.4015 1.48364e-05
          11     1.40151      1.4015 1.34912e-05
          12     1.40157     1.40151 1.33206e-05
          13      1.4015     1.40151 1.23177e-05
          14     1.40139      1.4015 1.38942e-05
          15     1.40139     1.40149 1.49381e-05
          16     1.40149     1.40149 1.40045e-05
          17     1.40144     1.40149  1.3551e-05
          18     1.40154     1.40149  1.3106e-05
          19     1.40155      1.4015 1.27295e-05
          20     1.40155      1.4015 1.23971e-05
          21     1.40154      1.4015 1.19511e-05
          22     1.40144      1.4015 1.16715e-05
          23      1.4014     1.40149 1.19385e-05
          24     1.40149     1.40149 1.14454e-05
          25      1.4014     1.40149  1.1608e-05
          26     1.40146     1.40149 1.11984e-05
          27     1.40159     1.40149 1.14442e-05
          28     1.40149     1.40149 1.10362e-05
          29     1.40148     1.40149 1.06697e-05
          30     1.40141     1.40149  1.0641e-05
          31     1.40149     1.40149 1.02978e-05
          32     1.40156     1.40149  1.0197e-05
          33     1.40147     1.40149 9.91257e-06
          34     1.40145     1.40149 9.67444e-06
          35     1.40154     1.40149 9.49345e-06
          36     1.40155     1.40149 9.37661e-06
          37     1.40159     1.40149 9.49864e-06
          38     1.40152      1.4015 9.28038e-06
          39     1.40143     1.40149 9.20824e-06
          40      1.4015     1.40149 8.98001e-06
          41      1.4014     1.40149 9.02811e-06
          42     1.40145     1.40149 8.87588e-06
          43      1.4014     1.40149 8.94009e-06
          44     1.40149     1.40149 8.73692e-06
          45     1.40153     1.40149 8.59753e-06
          46     1.40145     1.40149 8.46137e-06
          47     1.40143     1.40149 8.37755e-06
          48     1.40145     1.40149 8.23495e-06
          49     1.40154     1.40149 8.14107e-06
          50     1.40151     1.40149  7.9868e-06
          51     1.40151     1.40149 7.83964e-06
          52     1.40151     1.40149 7.69646e-06
          53     1.40144     1.40149 7.60512e-06
          54     1.40127     1.40148 8.46069e-06
          55     1.40149     1.40148  8.3082e-06
          56     1.40159     1.40149 8.36794e-06
          57      1.4016     1.40149 8.44986e-06
          58     1.40145     1.40149 8.32379e-06
          59     1.40147     1.40149 8.18974e-06
          60     1.40148     1.40149 8.05344e-06
          61     1.40152     1.40149 7.94243e-06
          62     1.40145     1.40149  7.8405e-06
          63     1.40148     1.40149 7.71714e-06
          64     1.40152     1.40149 7.61614e-06
          65     1.40147     1.40149  7.5036e-06
          66     1.40147     1.40149 7.39533e-06
          67     1.40156     1.40149 7.37635e-06
          68     1.40156     1.40149 7.35436e-06
          69      1.4015     1.40149 7.24906e-06
          70      1.4014     1.40149 7.26256e-06
          71     1.40135     1.40149 7.40986e-06
          72     1.40142     1.40148 7.36873e-06
          73     1.40145     1.40148 7.28195e-06
          74     1.40153     1.40148 7.20478e-06
          75     1.40132     1.40148   7.448e-06
          76     1.40142     1.40148 7.40235e-06
          77     1.40144     1.40148 7.32993e-06
          78     1.40145     1.40148 7.24511e-06
          79     1.40161     1.40148 7.32299e-06
          80     1.40155     1.40148 7.28256e-06
          81     1.40148     1.40148 7.19284e-06
          82     1.40153     1.40148 7.13034e-06
          83     1.40128     1.40148 7.46149e-06
          84     1.40151     1.40148  7.3803e-06
          85     1.40144     1.40148 7.30646e-06
          86     1.40154     1.40148 7.24868e-06
          87     1.40154     1.40148 7.19525e-06
          88     1.40139     1.40148 7.18477e-06
          89     1.40152     1.40148 7.11839e-06
          90     1.40144     1.40148 7.05366e-06
          91     1.40151     1.40148 6.98264e-06
          92     1.40152     1.40148 6.92024e-06
          93     1.40152     1.40148 6.86044e-06
          94     1.40143     1.40148 6.81136e-06
          95     1.40152     1.40148 6.75366e-06
          96     1.40144     1.40148 6.69705e-06
          97     1.40148     1.40148 6.62803e-06
          98     1.40138     1.40148 6.64568e-06
          99     1.40157     1.40148 6.64467e-06
         100     1.40148     1.40148 6.57828e-06
