BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.45072,1.45072,0
2,1.60607,1.5284,0.0549235
3,1.69442,1.58374,0.0581593
4,1.75091,1.62553,0.0566802
5,1.76192,1.65281,0.0514916
6,1.76152,1.67093,0.0459871
7,1.80677,1.69033,0.0433189
8,1.78526,1.7022,0.0394957
9,1.74201,1.70662,0.0353541
10,1.76818,1.71278,0.0323502
11,1.75648,1.71675,0.0296521
12,1.78184,1.72218,0.0276728
13,1.77389,1.72615,0.0258285
14,1.79287,1.73092,0.0244193
15,1.78064,1.73423,0.0230152
16,1.745,1.73491,0.0215866
17,1.71584,1.73378,0.0203459
18,1.76768,1.73567,0.0193025
19,1.79295,1.73868,0.0185206
20,1.77412,1.74045,0.0176791
21,1.86791,1.74652,0.0178486
22,1.87454,1.75234,0.0179609
23,1.79625,1.75425,0.0172811
24,1.79842,1.75609,0.0166588
25,1.80494,1.75805,0.0161066
26,1.82655,1.76068,0.0157011
27,1.83883,1.76358,0.0153841
28,1.83337,1.76607,0.0150352
29,1.79578,1.76709,0.0145517
30,1.7612,1.7669,0.0140679
31,1.8332,1.76904,0.0137758
32,1.86112,1.77191,0.0136425
33,1.8106,1.77309,0.0132794
34,1.84498,1.7752,0.0130561
35,1.85876,1.77759,0.0128995
36,1.85512,1.77974,0.0127197
37,1.81308,1.78064,0.0124078
38,1.80586,1.78131,0.012099
39,1.81163,1.78208,0.0118138
40,1.84208,1.78358,0.0116132
41,1.84285,1.78503,0.0114196
42,1.83936,1.78632,0.0112207
43,1.83729,1.78751,0.0110222
44,1.82808,1.78843,0.0108102
45,1.82659,1.78928,0.0106032
46,1.83494,1.79027,0.010419
47,1.79117,1.79029,0.0101974
48,1.77715,1.79002,0.0099886
49,1.80022,1.79022,0.00978692
50,1.78564,1.79013,0.00959161
51,1.77035,1.78974,0.00941138
52,1.71269,1.78826,0.00934631
53,1.71571,1.78689,0.00926968
54,1.75821,1.78636,0.00911322
55,1.78808,1.78639,0.00894758
56,1.76276,1.78597,0.00879775
57,1.71519,1.78473,0.00873059
58,1.75284,1.78418,0.00859736
59,1.7449,1.78351,0.00847738
60,1.72739,1.78258,0.00838753
61,1.76479,1.78229,0.0082551
62,1.74409,1.78167,0.00814491
63,1.77348,1.78154,0.00801666
64,1.77344,1.78141,0.0078924
65,1.74843,1.78091,0.00778728
66,1.74708,1.78039,0.00768614
67,1.74685,1.77989,0.00758771
68,1.76219,1.77963,0.00748059
69,1.73624,1.779,0.00739856
70,1.76745,1.77884,0.00729471
71,1.80351,1.77919,0.00720023
72,1.84673,1.78013,0.00716109
73,1.85984,1.78122,0.00714576
74,1.8366,1.78197,0.00708828
75,1.83709,1.7827,0.00703177
76,1.83931,1.78345,0.00697858
77,1.83015,1.78405,0.00691426
78,1.87727,1.78525,0.00692812
79,1.83513,1.78588,0.00686914
80,1.76859,1.78566,0.00678668
81,1.7819,1.78562,0.00670305
82,1.79257,1.7857,0.00662184
83,1.79042,1.78576,0.0065423
84,1.80916,1.78604,0.00647035
85,1.78938,1.78608,0.00639435
86,1.76438,1.78582,0.00632497
87,1.75263,1.78544,0.00626376
88,1.80026,1.78561,0.00619485
89,1.82119,1.78601,0.00613813
90,1.84861,1.78671,0.00610921
91,1.80931,1.78695,0.00604712
92,1.7788,1.78687,0.00598204
