BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.0470975,-0.0470975,0
2,-0.160802,-0.10395,0.0402007
3,-0.265035,-0.157645,0.0513846
4,-0.313949,-0.196721,0.0512875
5,-0.333837,-0.224144,0.0478026
6,-0.346266,-0.244498,0.0439556
7,-0.359873,-0.26098,0.0406491
8,-0.356185,-0.272881,0.0372693
9,-0.34995,-0.281444,0.0340979
10,-0.348368,-0.288136,0.031338
11,-0.370644,-0.295637,0.029373
12,-0.393564,-0.303798,0.0280359
13,-0.396828,-0.310954,0.0267771
14,-0.413173,-0.318255,0.0258407
15,-0.416813,-0.324826,0.0249393
16,-0.437688,-0.33188,0.0243578
17,-0.380818,-0.334758,0.0230945
18,-0.405115,-0.338667,0.0221397
19,-0.381465,-0.340919,0.0210888
20,-0.389188,-0.343333,0.0201719
21,-0.424329,-0.34719,0.0195766
22,-0.411286,-0.350103,0.0189023
23,-0.426144,-0.353409,0.0183673
24,-0.410094,-0.355771,0.0177532
25,-0.399974,-0.357539,0.0171309
26,-0.440916,-0.360746,0.0167695
27,-0.449778,-0.364044,0.0164694
28,-0.448783,-0.36707,0.0161569
29,-0.449294,-0.369905,0.0158466
30,-0.401853,-0.37097,0.0153541
31,-0.400724,-0.37193,0.0148888
32,-0.437554,-0.373981,0.0145641
33,-0.429083,-0.375651,0.0142181
34,-0.429983,-0.377249,0.0138895
35,-0.427324,-0.378679,0.0135661
36,-0.42369,-0.37993,0.0132468
37,-0.441504,-0.381594,0.0129929
38,-0.455445,-0.383537,0.0127955
39,-0.474808,-0.385877,0.0126796
40,-0.465098,-0.387858,0.0125163
41,-0.480815,-0.390125,0.0124147
42,-0.439551,-0.391302,0.0121747
43,-0.510581,-0.394076,0.0122035
44,-0.500721,-0.3965,0.0121645
45,-0.416405,-0.396942,0.0119022
46,-0.465619,-0.398435,0.0117367
47,-0.46311,-0.399811,0.0115674
48,-0.440786,-0.400665,0.0113579
49,-0.43568,-0.401379,0.0111485
50,-0.419005,-0.401732,0.0109311
51,-0.432342,-0.402332,0.0107332
52,-0.405157,-0.402386,0.010527
53,-0.396865,-0.402282,0.0103289
54,-0.384691,-0.401956,0.0101427
55,-0.401333,-0.401945,0.00995833
56,-0.4368,-0.402567,0.00979993
57,-0.376314,-0.402107,0.00963882
58,-0.344864,-0.40112,0.00952303
59,-0.375253,-0.400682,0.0093717
60,-0.384421,-0.400411,0.00921943
61,-0.396024,-0.400339,0.00906857
62,-0.377906,-0.399977,0.00892952
63,-0.418167,-0.400266,0.00879245
64,-0.420967,-0.400589,0.00866101
65,-0.381968,-0.400302,0.0085325
66,-0.378213,-0.399968,0.00840978
67,-0.385551,-0.399753,0.00828702
68,-0.402256,-0.399789,0.00816523
69,-0.405641,-0.399874,0.00804733
70,-0.415432,-0.400097,0.00793544
71,-0.442545,-0.400694,0.00784616
72,-0.461158,-0.401534,0.007782
73,-0.455779,-0.402277,0.00771079
74,-0.43339,-0.402698,0.00761805
75,-0.472949,-0.403634,0.00757384
76,-0.40772,-0.403688,0.00747437
77,-0.379631,-0.403376,0.00738383
78,-0.374645,-0.403007,0.00729835
79,-0.414945,-0.403158,0.00720753
80,-0.373004,-0.402782,0.00712728
81,-0.414457,-0.402926,0.00704075
82,-0.42616,-0.403209,0.00696059
83,-0.411286,-0.403306,0.0068774
84,-0.430258,-0.403627,0.00680301
85,-0.412014,-0.403726,0.00672369
86,-0.454139,-0.404312,0.00667101
87,-0.434101,-0.404654,0.00660312
88,-0.468665,-0.405382,0.00656802
89,-0.482425,-0.406248,0.00655102
90,-0.526319,-0.407582,0.00661269
91,-0.45846,-0.408141,0.00656361
92,-0.465697,-0.408766,0.00652202
93,-0.47884,-0.40952,0.00649527
94,-0.507509,-0.410562,0.00650928
95,-0.440072,-0.410873,0.00644817
96,-0.403024,-0.410791,0.00638152
97,-0.383218,-0.410507,0.00632206
98,-0.408071,-0.410482,0.0062576
99,-0.389973,-0.410275,0.00619782
100,-0.37711,-0.409943,0.00614471
101,-0.377043,-0.409617,0.0060925
102,-0.36808,-0.40921,0.00604636
103,-0.410581,-0.409224,0.00598767
104,-0.403501,-0.409169,0.00593035
105,-0.372035,-0.408815,0.00588441
106,-0.356449,-0.408321,0.00584959
107,-0.341813,-0.407699,0.00582786
108,-0.369825,-0.407349,0.00578444
109,-0.391632,-0.407204,0.00573316
110,-0.432645,-0.407436,0.00568571
111,-0.389017,-0.40727,0.00563691
112,-0.352575,-0.406781,0.00560769
113,-0.414336,-0.406848,0.00555846
114,-0.517075,-0.407815,0.00559317
115,-0.501222,-0.408627,0.0056032
116,-0.466558,-0.409127,0.00557711
117,-0.446831,-0.409449,0.00553874
118,-0.467192,-0.409938,0.00551338
119,-0.437768,-0.410172,0.005472
120,-0.413539,-0.4102,0.00542647
121,-0.402341,-0.410135,0.00538202
122,-0.416926,-0.410191,0.00533819
123,-0.447889,-0.410498,0.00530358
124,-0.43973,-0.410733,0.00526605
125,-0.449136,-0.41104,0.00523287
126,-0.464262,-0.411463,0.00520836
127,-0.388848,-0.411285,0.00517039
128,-0.399396,-0.411192,0.00513083
129,-0.458273,-0.411557,0.00510403
130,-0.447165,-0.411831,0.00507211
131,-0.441358,-0.412056,0.0050384
132,-0.464003,-0.41245,0.00501557
133,-0.447582,-0.412714,0.00498481
134,-0.42616,-0.412814,0.00494862
135,-0.403756,-0.412747,0.00491242
136,-0.39366,-0.412607,0.0048783
137,-0.367234,-0.412276,0.00485392
138,-0.327564,-0.411662,0.00485741
139,-0.365068,-0.411327,0.00483402
140,-0.382773,-0.411123,0.00480379
141,-0.340092,-0.410619,0.00479606
142,-0.353664,-0.410218,0.00477903
143,-0.360138,-0.409868,0.00475842
144,-0.395473,-0.409768,0.00472643
145,-0.392755,-0.40965,0.00469529
146,-0.389182,-0.40951,0.00466522
147,-0.375241,-0.409277,0.00463931
148,-0.396044,-0.409188,0.00460882
149,-0.418969,-0.409253,0.00457836
150,-0.435795,-0.40943,0.00455125
151,-0.416084,-0.409474,0.00452133
152,-0.401174,-0.40942,0.00449191
153,-0.429761,-0.409553,0.00446452
154,-0.404753,-0.409521,0.00443564
155,-0.419487,-0.409586,0.00440749
156,-0.438452,-0.409771,0.00438311
157,-0.46368,-0.410114,0.00436863
158,-0.489504,-0.410617,0.00436978
159,-0.443985,-0.410826,0.00434733
160,-0.421834,-0.410895,0.0043207
161,-0.450817,-0.411143,0.00430098
