BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0405127,0.0405127,0
2,0.0442683,0.0423905,0.00132783
3,0.0477377,0.0441729,0.00170341
4,0.049359,0.0454694,0.00170085
5,0.0500224,0.04638,0.00158581
6,0.0504315,0.0470553,0.0014582
7,0.0508612,0.047599,0.00134744
8,0.0507151,0.0479885,0.00123402
9,0.0505303,0.0482709,0.00112877
10,0.0504985,0.0484937,0.00103764
11,0.0511942,0.0487392,0.000971915
12,0.0519855,0.0490097,0.000927808
13,0.0520737,0.0492454,0.000885869
14,0.0526782,0.0494906,0.000855854
15,0.0527617,0.0497087,0.000826114
16,0.0534964,0.0499454,0.00080769
17,0.0515048,0.0500371,0.00076537
18,0.0523833,0.0501675,0.000733864
19,0.0515797,0.0502418,0.000698993
20,0.0518154,0.0503205,0.000668457
21,0.0530524,0.0504506,0.000649162
22,0.052548,0.0505459,0.000626616
23,0.0531371,0.0506586,0.000609416
24,0.0525521,0.0507375,0.000589108
25,0.0521715,0.0507948,0.00056833
26,0.0535692,0.0509015,0.000556398
27,0.0538735,0.0510116,0.00054657
28,0.0538457,0.0511128,0.00053634
29,0.053827,0.0512064,0.000525948
30,0.0522377,0.0512408,0.000509539
31,0.0521964,0.0512716,0.000494034
32,0.0534102,0.0513384,0.000483094
33,0.0531454,0.0513932,0.000471548
34,0.0532121,0.0514467,0.000460704
35,0.0531078,0.0514942,0.000449979
36,0.0529614,0.0515349,0.000439321
37,0.0535385,0.0515891,0.000430772
38,0.0540182,0.051653,0.000424152
39,0.0547154,0.0517315,0.000420483
40,0.0543386,0.0517967,0.000414991
41,0.0549002,0.0518724,0.000411715
42,0.0534396,0.0519097,0.0004036
43,0.0558458,0.0520012,0.000404461
44,0.0555221,0.0520813,0.000403106
45,0.052747,0.0520961,0.00039442
46,0.0543736,0.0521456,0.000388941
47,0.0543773,0.052193,0.000383553
48,0.0535501,0.0522213,0.000376603
49,0.0534177,0.0522457,0.000369708
50,0.0528346,0.0522575,0.000362501
51,0.0532785,0.0522775,0.000355946
52,0.0523418,0.0522788,0.000349103
53,0.052104,0.0522755,0.000342531
54,0.0516214,0.0522634,0.000336402
55,0.0523061,0.0522641,0.000330287
