BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.945092,0.945092,0
2,1.02054,0.982818,0.0266758
3,1.09008,1.01857,0.0341836
4,1.12274,1.04461,0.0341457
5,1.13595,1.06288,0.0318301
6,1.14417,1.07643,0.0292668
7,1.15326,1.08741,0.027066
8,1.15072,1.09532,0.024813
9,1.1466,1.10102,0.0227008
10,1.14549,1.10547,0.0208618
11,1.16034,1.11046,0.0195527
12,1.17565,1.11589,0.0186628
13,1.17786,1.12066,0.0178257
14,1.18878,1.12552,0.0172038
15,1.19119,1.1299,0.0166045
16,1.2051,1.1346,0.0162183
17,1.16718,1.13652,0.0153771
18,1.18343,1.13912,0.0147421
19,1.16756,1.14062,0.0140419
20,1.17272,1.14222,0.0134313
21,1.19616,1.14479,0.0130349
22,1.18751,1.14673,0.0125862
23,1.19738,1.14894,0.0122301
24,1.18677,1.15051,0.0118217
25,1.17996,1.15169,0.0114073
26,1.20733,1.15383,0.0111675
27,1.21319,1.15603,0.0109682
28,1.21259,1.15805,0.0107609
29,1.21289,1.15994,0.0105546
30,1.18125,1.16065,0.0102267
31,1.1804,1.16129,0.00991662
32,1.20493,1.16265,0.00970004
33,1.19926,1.16376,0.00946933
34,1.19985,1.16482,0.00925012
35,1.19812,1.16577,0.00903462
36,1.19573,1.16661,0.0088219
37,1.20758,1.16771,0.00865271
38,1.21687,1.16901,0.00852116
39,1.22981,1.17057,0.00844411
40,1.22324,1.17188,0.00833504
41,1.23376,1.17339,0.00826727
42,1.20626,1.17417,0.00810739
43,1.25359,1.17602,0.00812648
44,1.24714,1.17764,0.00810094
45,1.19086,1.17793,0.00792624
46,1.22366,1.17893,0.00781601
47,1.22214,1.17984,0.00770361
48,1.20717,1.18041,0.00756412
49,1.20389,1.18089,0.0074249
50,1.19264,1.18113,0.00728012
51,1.20154,1.18153,0.00714836
52,1.18339,1.18156,0.00701098
53,1.17787,1.18149,0.00687905
54,1.16983,1.18128,0.00675505
55,1.18092,1.18127,0.00663224
56,1.2046,1.18169,0.00652687
57,1.16431,1.18138,0.00641949
58,1.14333,1.18073,0.00634225
59,1.16353,1.18044,0.00624145
60,1.16961,1.18026,0.00614003
61,1.17744,1.18021,0.00603955
62,1.16529,1.17997,0.00594692
63,1.19211,1.18016,0.00585565
64,1.19402,1.18038,0.00576815
65,1.16806,1.18019,0.00568252
66,1.16545,1.17996,0.00560081
67,1.17035,1.17982,0.00551906
68,1.18154,1.17985,0.00543795
69,1.18375,1.1799,0.00535944
70,1.19028,1.18005,0.00528492
71,1.20832,1.18045,0.00522546
72,1.22071,1.18101,0.00518272
73,1.21722,1.1815,0.0051354
74,1.20224,1.18178,0.00507365
75,1.22872,1.18241,0.00504444
76,1.18532,1.18245,0.00497822
77,1.16655,1.18224,0.00491784
78,1.16323,1.182,0.00486083
79,1.19007,1.1821,0.00480037
80,1.16208,1.18185,0.00474689
81,1.18967,1.18195,0.00468926
82,1.19746,1.18214,0.00463589
83,1.1875,1.1822,0.00458049
84,1.20007,1.18241,0.00453089
85,1.18793,1.18248,0.00447805
86,1.21601,1.18287,0.00444292
87,1.20267,1.1831,0.00439768
88,1.22588,1.18358,0.0043745
89,1.23491,1.18416,0.0043632
90,1.26431,1.18505,0.00440467
91,1.21905,1.18542,0.00437209
92,1.22385,1.18584,0.00434447
93,1.23259,1.18634,0.00432674
94,1.25173,1.18704,0.00433626
95,1.20683,1.18725,0.00429562
96,1.18202,1.18719,0.00425122
97,1.16881,1.187,0.00421161
98,1.1854,1.18699,0.00416867
99,1.17334,1.18685,0.00412884
100,1.16481,1.18663,0.00409343
101,1.16479,1.18641,0.0040586
102,1.15877,1.18614,0.00402785
103,1.18701,1.18615,0.00398875
104,1.1823,1.18611,0.00395057
105,1.16133,1.18588,0.00391999
106,1.15093,1.18555,0.00389685
107,1.1412,1.18513,0.00388241
108,1.15984,1.1849,0.00385351
109,1.17441,1.1848,0.00381936
110,1.20172,1.18496,0.00378774
111,1.17264,1.18485,0.00375524
112,1.14823,1.18452,0.00373591
113,1.18925,1.18456,0.00370309
114,1.25783,1.1852,0.00372596
115,1.24723,1.18574,0.0037324
116,1.22415,1.18607,0.00371488
117,1.21104,1.18629,0.00368925
118,1.22469,1.18661,0.00367231
119,1.20523,1.18677,0.00364479
120,1.18908,1.18679,0.00361446
121,1.18163,1.18675,0.00358484
122,1.19133,1.18678,0.00355566
123,1.21199,1.18699,0.00353265
124,1.20653,1.18715,0.00350768
125,1.21281,1.18735,0.00348562
126,1.22294,1.18763,0.00346938
127,1.17265,1.18752,0.00344407
128,1.17962,1.18745,0.00341771
129,1.21898,1.1877,0.00339995
130,1.2116,1.18788,0.00337876
131,1.20768,1.18803,0.00335635
132,1.22285,1.1883,0.00334127
133,1.21182,1.18847,0.00332082
134,1.19756,1.18854,0.00329673
135,1.18261,1.1885,0.00327261
136,1.17584,1.1884,0.00324987
137,1.15825,1.18818,0.00323359
138,1.13176,1.18778,0.0032359
139,1.15672,1.18755,0.00322033
140,1.1686,1.18742,0.00320017
141,1.1401,1.18708,0.00319502
142,1.14922,1.18681,0.00318363
143,1.15351,1.18658,0.00316987
144,1.17703,1.18652,0.00314855
145,1.17519,1.18644,0.00312781
146,1.17285,1.18634,0.00310777
147,1.16349,1.18619,0.00309051
148,1.17747,1.18613,0.00307019
149,1.19269,1.18617,0.0030499
150,1.20389,1.18629,0.00303186
151,1.19069,1.18632,0.00301192
152,1.18077,1.18628,0.00299232
153,1.19978,1.18637,0.00297407
154,1.18318,1.18635,0.00295483
155,1.19293,1.18639,0.00293607
156,1.2056,1.18652,0.00291983
157,1.22243,1.18675,0.00291017
158,1.23969,1.18708,0.00291098
159,1.20937,1.18722,0.00289605
160,1.19457,1.18727,0.00287831
161,1.21383,1.18743,0.00286516
162,1.2097,1.18757,0.00285077
163,1.22454,1.1878,0.00284229
164,1.27278,1.18831,0.00287181
165,1.26117,1.18876,0.00288815
166,1.23439,1.18903,0.00288381
167,1.20766,1.18914,0.0028687
168,1.21912,1.18932,0.00285717
169,1.20445,1.18941,0.00284166
170,1.20204,1.18949,0.00282592
171,1.22784,1.18971,0.00281828
172,1.2686,1.19017,0.00283897
173,1.26611,1.19061,0.00285629
174,1.25354,1.19097,0.00286268
175,1.2799,1.19148,0.00289108
176,1.27639,1.19196,0.00291463
177,1.22462,1.19214,0.002904
178,1.22737,1.19234,0.00289442
179,1.21431,1.19246,0.00288086
180,1.19754,1.19249,0.00286499
181,1.22438,1.19267,0.00285457
182,1.18788,1.19264,0.00283901
183,1.19593,1.19266,0.00282355
184,1.2046,1.19273,0.00280895
185,1.21915,1.19287,0.0027974
186,1.20057,1.19291,0.00278266
187,1.22359,1.19307,0.00277261
188,1.24784,1.19337,0.00277313
189,1.2427,1.19363,0.00277072
190,1.2084,1.1937,0.00275722
191,1.17084,1.19358,0.00274538
192,1.18527,1.19354,0.00273143
193,1.14645,1.1933,0.00272815
194,1.14299,1.19304,0.00272638
195,1.16959,1.19292,0.00271505
196,1.17859,1.19284,0.00270218
197,1.16753,1.19272,0.00269152
198,1.17361,1.19262,0.00267965
199,1.18343,1.19257,0.00266659
200,1.19302,1.19258,0.00265326
