BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.398651e+00,1.398651e+00,0.000000e+00
2,1.398148e+00,1.398399e+00,1.777379e-04
3,1.398244e+00,1.398347e+00,1.258152e-04
4,1.398236e+00,1.398320e+00,9.741763e-05
5,1.398270e+00,1.398310e+00,7.844492e-05
6,1.398195e+00,1.398290e+00,6.765020e-05
7,1.398132e+00,1.398268e+00,6.167539e-05
8,1.398123e+00,1.398250e+00,5.656474e-05
9,1.398252e+00,1.398250e+00,5.028034e-05
10,1.398173e+00,1.398242e+00,4.583013e-05
11,1.398082e+00,1.398228e+00,4.390845e-05
12,1.398199e+00,1.398225e+00,4.031536e-05
13,1.398160e+00,1.398220e+00,3.752575e-05
14,1.398135e+00,1.398214e+00,3.533971e-05
15,1.398138e+00,1.398209e+00,3.334746e-05
16,1.398203e+00,1.398209e+00,3.126517e-05
17,1.398126e+00,1.398204e+00,2.980123e-05
18,1.398136e+00,1.398200e+00,2.838404e-05
19,1.398219e+00,1.398201e+00,2.690683e-05
20,1.398302e+00,1.398206e+00,2.602966e-05
21,1.398196e+00,1.398206e+00,2.479418e-05
22,1.398193e+00,1.398205e+00,2.367366e-05
23,1.398212e+00,1.398205e+00,2.264647e-05
24,1.398174e+00,1.398204e+00,2.174009e-05
25,1.398276e+00,1.398207e+00,2.105919e-05
26,1.398180e+00,1.398206e+00,2.027421e-05
27,1.398274e+00,1.398208e+00,1.967795e-05
28,1.398174e+00,1.398207e+00,1.901340e-05
29,1.398270e+00,1.398209e+00,1.848060e-05
30,1.398215e+00,1.398210e+00,1.786566e-05
31,1.398228e+00,1.398210e+00,1.729956e-05
32,1.398119e+00,1.398207e+00,1.699274e-05
33,1.398184e+00,1.398207e+00,1.649229e-05
34,1.398218e+00,1.398207e+00,1.601037e-05
35,1.398151e+00,1.398205e+00,1.563370e-05
36,1.398221e+00,1.398206e+00,1.520573e-05
37,1.398126e+00,1.398204e+00,1.494631e-05
38,1.398243e+00,1.398205e+00,1.458946e-05
39,1.398172e+00,1.398204e+00,1.423927e-05
40,1.398138e+00,1.398202e+00,1.397736e-05
41,1.398179e+00,1.398202e+00,1.364828e-05
42,1.398210e+00,1.398202e+00,1.332493e-05
43,1.398233e+00,1.398203e+00,1.303450e-05
