#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.06132     1.06132           0
           2     1.15189     1.10661    0.032022
           3     1.22913     1.14745   0.0395935
           4     1.25342     1.17394   0.0375266
           5     1.23199     1.18555   0.0317663
           6     1.22775     1.19258   0.0272394
           7     1.23838     1.19913    0.024121
           8     1.22977     1.20296   0.0214079
           9     1.23865     1.20692   0.0193931
          10     1.26315     1.21255   0.0182508
          11     1.26624     1.21743    0.017232
          12     1.21543     1.21726   0.0157968
          13     1.25078     1.21984   0.0147906
          14     1.24739     1.22181   0.0138645
          15     1.26596     1.22475   0.0132489
          16     1.26038     1.22698   0.0126067
          17     1.25241     1.22847   0.0119535
          18     1.25131     1.22974   0.0113566
          19     1.25267     1.23095   0.0108228
          20      1.2956     1.23418   0.0107536
          21     1.26876     1.23583   0.0103668
          22     1.29351     1.23845   0.0102218
          23     1.31465     1.24176   0.0103002
          24     1.27359     1.24309  0.00995601
          25       1.261     1.24381  0.00958352
          26     1.23858      1.2436  0.00921702
          27     1.23023     1.24311  0.00888896
          28     1.25796     1.24364   0.0085873
          29     1.25784     1.24413  0.00830513
          30     1.25063     1.24435  0.00803113
          31     1.24943     1.24451  0.00777373
          32     1.29263     1.24601  0.00767488
          33     1.30854     1.24791  0.00767265
          34     1.30278     1.24952  0.00761484
          35     1.33336     1.25192   0.0077649
          36      1.3397     1.25436  0.00792283
          37      1.3344     1.25652  0.00799857
          38     1.28682     1.25732  0.00782772
          39      1.3058     1.25856   0.0077251
          40     1.29411     1.25945  0.00758292
          41     1.28634      1.2601  0.00742628
          42     1.25188     1.25991  0.00725204
          43     1.26479     1.26002  0.00708428
          44     1.32546     1.26151  0.00707763
          45     1.30992     1.26259  0.00700164
          46     1.28724     1.26312  0.00686991
          47      1.3175     1.26428  0.00682048
          48     1.29675     1.26495  0.00671185
          49     1.28057     1.26527  0.00658244
          50     1.30261     1.26602  0.00649301
          51     1.30008     1.26669  0.00639996
          52     1.34817     1.26826  0.00646585
          53     1.27065      1.2683  0.00634401
          54     1.24998     1.26796  0.00623559
          55     1.25248     1.26768  0.00612857
          56     1.24018     1.26719  0.00603877
          57     1.28212     1.26745  0.00593851
