BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.814471e+00,1.814471e+00,0.000000e+00
2,1.962483e+00,1.888477e+00,5.233016e-02
3,2.046506e+00,1.941153e+00,5.538005e-02
4,2.058691e+00,1.970538e+00,4.871086e-02
5,2.062344e+00,1.988899e+00,4.228790e-02
6,2.077756e+00,2.003708e+00,3.774413e-02
7,2.086829e+00,2.015583e+00,3.416895e-02
8,2.080551e+00,2.023704e+00,3.084781e-02
9,2.088471e+00,2.030900e+00,2.824721e-02
10,2.117258e+00,2.039536e+00,2.670996e-02
11,2.128817e+00,2.047652e+00,2.548515e-02
12,2.128938e+00,2.054426e+00,2.424489e-02
13,2.124734e+00,2.059834e+00,2.297519e-02
14,2.100990e+00,2.062774e+00,2.152135e-02
15,2.147378e+00,2.068414e+00,2.081256e-02
16,2.100576e+00,2.070424e+00,1.960860e-02
17,2.088112e+00,2.071465e+00,1.848274e-02
18,2.090789e+00,2.072538e+00,1.748707e-02
19,2.098108e+00,2.073884e+00,1.661840e-02
20,2.127933e+00,2.076587e+00,1.600570e-02
21,2.131722e+00,2.079212e+00,1.545736e-02
22,2.153677e+00,2.082597e+00,1.512080e-02
23,2.181222e+00,2.086885e+00,1.505911e-02
24,2.141220e+00,2.089149e+00,1.460084e-02
25,2.082058e+00,2.088865e+00,1.401956e-02
26,2.127490e+00,2.090351e+00,1.355882e-02
27,2.152970e+00,2.092670e+00,1.325351e-02
28,2.100642e+00,2.092955e+00,1.278323e-02
29,2.102019e+00,2.093267e+00,1.234625e-02
30,2.124974e+00,2.094324e+00,1.197986e-02
31,2.104820e+00,2.094663e+00,1.159820e-02
32,2.125201e+00,2.095617e+00,1.127495e-02
33,2.147746e+00,2.097197e+00,1.104339e-02
34,2.136920e+00,2.098365e+00,1.078021e-02
35,2.111131e+00,2.098730e+00,1.047837e-02
36,2.147729e+00,2.100091e+00,1.027532e-02
37,2.152932e+00,2.101519e+00,1.009637e-02
38,2.103143e+00,2.101562e+00,9.830767e-03
39,2.118742e+00,2.102002e+00,9.588561e-03
40,2.090293e+00,2.101710e+00,9.353314e-03
41,2.133378e+00,2.102482e+00,9.157021e-03
42,2.115299e+00,2.102787e+00,8.944080e-03
43,2.068149e+00,2.101982e+00,8.772278e-03
44,2.100713e+00,2.101953e+00,8.572956e-03
45,2.086644e+00,2.101613e+00,8.389193e-03
46,2.112197e+00,2.101843e+00,8.209974e-03
47,2.130647e+00,2.102456e+00,8.058134e-03
48,2.145556e+00,2.103353e+00,7.940127e-03
49,2.153682e+00,2.104381e+00,7.844236e-03
50,2.116538e+00,2.104624e+00,7.691118e-03
51,2.141159e+00,2.105340e+00,7.573601e-03
52,2.184281e+00,2.106858e+00,7.578576e-03
53,2.129676e+00,2.107289e+00,7.447803e-03
54,2.123232e+00,2.107584e+00,7.315730e-03
55,2.113188e+00,2.107686e+00,7.183426e-03
56,2.145957e+00,2.108369e+00,7.087585e-03
57,2.187160e+00,2.109752e+00,7.096756e-03
58,2.194666e+00,2.111216e+00,7.123811e-03
59,2.166310e+00,2.112149e+00,7.064006e-03
60,2.182345e+00,2.113319e+00,7.042487e-03
61,2.185322e+00,2.114500e+00,7.025260e-03
62,2.145603e+00,2.115001e+00,6.929838e-03
63,2.132367e+00,2.115277e+00,6.825320e-03
64,2.174522e+00,2.116203e+00,6.781160e-03
65,2.158217e+00,2.116849e+00,6.707569e-03
66,2.142507e+00,2.117238e+00,6.617195e-03
67,2.123604e+00,2.117333e+00,6.519113e-03
68,2.200436e+00,2.118555e+00,6.536790e-03
69,2.209729e+00,2.119876e+00,6.574248e-03
70,2.138764e+00,2.120146e+00,6.485865e-03
71,2.164841e+00,2.120776e+00,6.424992e-03
72,2.183599e+00,2.121648e+00,6.394730e-03
73,2.116859e+00,2.121583e+00,6.307467e-03
74,2.109650e+00,2.121421e+00,6.224292e-03
75,2.132229e+00,2.121565e+00,6.142969e-03
76,2.133845e+00,2.121727e+00,6.064265e-03
77,2.181749e+00,2.122507e+00,6.035399e-03
78,2.190996e+00,2.123385e+00,6.021557e-03
79,2.213749e+00,2.124528e+00,6.053004e-03
80,2.192389e+00,2.125377e+00,6.036485e-03
81,2.177175e+00,2.126016e+00,5.995737e-03
82,2.202753e+00,2.126952e+00,5.995204e-03
83,2.187172e+00,2.127678e+00,5.966713e-03
84,2.191546e+00,2.128438e+00,5.943929e-03
85,2.209760e+00,2.129395e+00,5.950500e-03
86,2.250736e+00,2.130806e+00,6.046271e-03
87,2.183592e+00,2.131412e+00,6.007140e-03
88,2.177953e+00,2.131941e+00,5.962112e-03
89,2.186590e+00,2.132555e+00,5.926657e-03
90,2.225549e+00,2.133588e+00,5.950195e-03
91,2.253849e+00,2.134910e+00,6.029782e-03
92,2.212061e+00,2.135749e+00,6.022273e-03
93,2.233253e+00,2.136797e+00,6.048090e-03
94,2.192991e+00,2.137395e+00,6.013220e-03
95,2.212508e+00,2.138186e+00,6.001679e-03
96,2.207602e+00,2.138909e+00,5.982563e-03
97,2.169451e+00,2.139223e+00,5.929167e-03
98,2.206707e+00,2.139912e+00,5.908517e-03
99,2.190384e+00,2.140422e+00,5.870788e-03
100,2.171051e+00,2.140728e+00,5.820065e-03
101,2.167401e+00,2.140992e+00,5.768429e-03
102,2.143384e+00,2.141016e+00,5.711924e-03
103,2.145085e+00,2.141055e+00,5.656605e-03
