#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.43906     1.43906           0
           2      1.5444     1.49173   0.0372406
           3      1.6416     1.54169   0.0477518
           4     1.63165     1.56418   0.0407679
           5     1.65202     1.58175    0.036202
           6     1.71805     1.60446   0.0366083
           7     1.72691     1.62196   0.0353111
           8     1.74455     1.63728   0.0340604
           9     1.76944     1.65196   0.0332914
          10     1.76916     1.66368   0.0319586
          11     1.75976     1.67242   0.0302232
          12     1.85254     1.68743   0.0312101
          13     1.82668     1.69814   0.0305923
          14     1.79927     1.70536   0.0292476
          15     1.80518     1.71202   0.0280445
          16     1.79794     1.71739   0.0268009
          17     1.83024     1.72403   0.0260335
          18     1.79326     1.72787   0.0248697
          19     1.78682     1.73097   0.0237534
          20     1.84013     1.73643   0.0231843
          21     1.80958     1.73992   0.0223404
          22     1.77437     1.74148   0.0213798
          23     1.76922     1.74269   0.0204842
          24     1.77939     1.74422   0.0196877
          25     1.77078     1.74528   0.0189289
          26     1.73066     1.74472   0.0182092
          27     1.74003     1.74454   0.0175356
          28     1.78481     1.74598   0.0169682
          29     1.76681      1.7467   0.0163983
          30     1.78131     1.74785   0.0158922
          31     1.76044     1.74826   0.0153847
          32     1.81638     1.75039   0.0150505
          33     1.83018     1.75281   0.0147874
          34     1.81166     1.75454   0.0144534
          35     1.78122      1.7553   0.0140605
          36     1.80402     1.75665   0.0137349
          37     1.80532     1.75797   0.0134266
          38     1.80509     1.75921   0.0131304
          39     1.81767     1.76071    0.012879
          40     1.80035      1.7617   0.0125951
          41     1.83303     1.76344   0.0124075
          42     1.77915     1.76381   0.0121177
          43     1.78898      1.7644     0.01185
          44     1.74789     1.76402   0.0115866
          45     1.76769      1.7641   0.0113294
          46      1.7546      1.7639    0.011085
          47     1.76264     1.76387   0.0108492
          48     1.78906      1.7644   0.0106359
          49     1.77503     1.76461    0.010421
          50     1.76125     1.76455   0.0102128
          51      1.7919     1.76508   0.0100266
          52     1.78238     1.76541  0.00983934
          53     1.79313     1.76594  0.00966757
          54     1.80924     1.76674  0.00952174
          55     1.80434     1.76742  0.00937313
          56      1.7907     1.76784  0.00921496
          57     1.78658     1.76817  0.00905916
          58     1.79129     1.76857  0.00891174
          59     1.78927     1.76892  0.00876759
          60     1.72834     1.76824  0.00864751
          61     1.76853     1.76825  0.00850575
          62     1.77027     1.76828  0.00836862
          63     1.77881     1.76844  0.00823745
          64     1.76948     1.76846  0.00810876
          65     1.78354     1.76869  0.00798733
          66     1.75993     1.76856  0.00786741
          67     1.75448     1.76835  0.00775279
          68     1.77632     1.76847  0.00763967
          69     1.74616     1.76814  0.00753578
          70      1.7296     1.76759  0.00744822
          71     1.75903     1.76747  0.00734429
          72     1.74499     1.76716  0.00724892
          73      1.7827     1.76737  0.00715275
          74     1.84202     1.76838  0.00712686
          75     1.84183     1.76936   0.0070988
          76       1.821     1.77004  0.00703784
          77     1.79699     1.77039  0.00695513
          78     1.80212      1.7708  0.00687785
          79     1.79245     1.77107  0.00679625
          80     1.82482     1.77174  0.00674442
          81     1.79551     1.77204  0.00666754
          82     1.85436     1.77304  0.00666138
          83     1.83006     1.77373  0.00661646
          84     1.76283      1.7736  0.00653896
          85     1.75235     1.77335  0.00646681
          86     1.77128     1.77332  0.00639165
          87     1.78006      1.7734  0.00631866
          88     1.78435     1.77353  0.00624808
          89     1.72896     1.77303  0.00619791
          90     1.73298     1.77258  0.00614499
          91     1.80741     1.77296  0.00608938
          92     1.84246     1.77372  0.00606987
          93     1.84941     1.77453  0.00605892
          94     1.86256     1.77547   0.0060664
          95     1.84445      1.7762  0.00604584
          96     1.81233     1.77657  0.00599457
          97     1.81938     1.77701    0.005949
          98     1.80932     1.77734  0.00589742
          99     1.78509     1.77742  0.00583837
         100     1.79987     1.77765   0.0057843
