BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.0546479,-0.0546479,0
2,-0.205288,-0.129968,0.0532593
3,-0.296527,-0.185488,0.0575817
4,-0.284732,-0.210299,0.0482364
5,-0.281803,-0.2246,0.0406538
6,-0.323595,-0.241099,0.0370753
7,-0.392682,-0.262754,0.0375744
8,-0.301005,-0.267535,0.0331804
9,-0.343011,-0.275921,0.0305351
10,-0.341094,-0.282438,0.0281685
11,-0.303116,-0.284318,0.0256704
12,-0.326972,-0.287873,0.023776
13,-0.384024,-0.295269,0.0230688
14,-0.333132,-0.297973,0.021579
15,-0.312109,-0.298916,0.020161
16,-0.359529,-0.302704,0.0192535
17,-0.353742,-0.305706,0.0183536
18,-0.329732,-0.307041,0.0173824
19,-0.365415,-0.310113,0.0167368
20,-0.356557,-0.312436,0.0160603
21,-0.372154,-0.315279,0.0155452
22,-0.405031,-0.319359,0.0153646
23,-0.367238,-0.321441,0.0148369
24,-0.374053,-0.323633,0.0143798
25,-0.365638,-0.325313,0.0139024
26,-0.385658,-0.327634,0.01356
27,-0.401426,-0.330367,0.0133304
28,-0.444201,-0.334433,0.01346
29,-0.391524,-0.336401,0.013139
30,-0.373183,-0.337627,0.0127581
31,-0.388026,-0.339253,0.0124497
32,-0.369095,-0.340186,0.0120956
33,-0.320815,-0.339599,0.0117433
34,-0.358269,-0.340148,0.0114107
35,-0.351178,-0.340463,0.011089
36,-0.386829,-0.341751,0.0108556
37,-0.345508,-0.341852,0.0105626
38,-0.34783,-0.34201,0.0102858
39,-0.398048,-0.343447,0.010122
40,-0.390503,-0.344623,0.00993705
41,-0.374468,-0.345351,0.0097213
42,-0.352431,-0.345519,0.00949131
43,-0.353515,-0.345705,0.0092724
44,-0.317289,-0.34506,0.00908413
45,-0.301658,-0.344095,0.00893331
46,-0.311245,-0.343381,0.0087676
47,-0.323777,-0.342964,0.00859097
48,-0.327638,-0.342645,0.00841793
49,-0.345832,-0.34271,0.00824638
50,-0.342669,-0.342709,0.00808146
51,-0.367358,-0.343192,0.00793744
52,-0.352061,-0.343363,0.00778662
53,-0.376523,-0.343988,0.0076648
54,-0.330331,-0.343735,0.00752703
55,-0.356809,-0.343973,0.00739393
56,-0.323629,-0.34361,0.00727082
57,-0.330278,-0.343376,0.00714702
58,-0.321301,-0.342995,0.00703392
59,-0.334372,-0.342849,0.00691622
60,-0.329052,-0.342619,0.00680477
61,-0.310491,-0.342093,0.00671357
62,-0.317624,-0.341698,0.00661688
63,-0.315648,-0.341284,0.00652475
64,-0.3478,-0.341386,0.0064236
65,-0.306983,-0.340857,0.00634654
66,-0.313302,-0.340439,0.0062641
67,-0.319274,-0.340124,0.00617857
68,-0.327946,-0.339944,0.0060903
69,-0.324625,-0.339722,0.00600608
70,-0.329872,-0.339582,0.00592193
71,-0.389399,-0.340283,0.00587994
72,-0.348501,-0.340397,0.00579938
73,-0.32673,-0.34021,0.00572296
74,-0.345188,-0.340277,0.00564602
75,-0.35713,-0.340502,0.00557521
76,-0.360931,-0.340771,0.00550833
77,-0.328525,-0.340612,0.00543908
78,-0.324418,-0.340404,0.00537331
79,-0.361392,-0.34067,0.00531186
80,-0.354163,-0.340839,0.00524814
81,-0.362427,-0.341105,0.00519011
82,-0.376324,-0.341535,0.00514456
83,-0.399045,-0.342228,0.00512902
84,-0.409134,-0.343024,0.00512944
85,-0.37144,-0.343358,0.00507997
86,-0.37574,-0.343735,0.00503484
87,-0.382933,-0.344185,0.00499708
88,-0.403797,-0.344863,0.004986
89,-0.405411,-0.345543,0.00497617
90,-0.331923,-0.345392,0.00492318
91,-0.34888,-0.34543,0.00486923
92,-0.327041,-0.34523,0.00482041
93,-0.358658,-0.345375,0.00477074
94,-0.413247,-0.346097,0.00477431
95,-0.350607,-0.346144,0.00472429
96,-0.349678,-0.346181,0.00467522
97,-0.360698,-0.346331,0.00462942
98,-0.352526,-0.346394,0.00458261
99,-0.384209,-0.346776,0.00455222
100,-0.323153,-0.34654,0.00451282
101,-0.373716,-0.346809,0.00447615
102,-0.372653,-0.347062,0.00443943
103,-0.358031,-0.347169,0.00439761
104,-0.358652,-0.347279,0.00435671
105,-0.362845,-0.347427,0.00431774
106,-0.341811,-0.347374,0.00427733
107,-0.342782,-0.347331,0.00423757
108,-0.372523,-0.347565,0.00420475
109,-0.38266,-0.347887,0.00417848
110,-0.397576,-0.348338,0.00416484
111,-0.408803,-0.348883,0.00416279
112,-0.399835,-0.349338,0.00415041
113,-0.331911,-0.349184,0.00411654
114,-0.3359,-0.349067,0.00408208
115,-0.410246,-0.349599,0.0040811
116,-0.345724,-0.349566,0.00404606
117,-0.344158,-0.34952,0.00401174
118,-0.366052,-0.34966,0.00398019
119,-0.34394,-0.349612,0.00394703
120,-0.380137,-0.349866,0.00392233
121,-0.406696,-0.350336,0.00391793
122,-0.369392,-0.350492,0.00388893
123,-0.353103,-0.350513,0.00385737
124,-0.348264,-0.350495,0.0038263
125,-0.379733,-0.350729,0.00380284
126,-0.358255,-0.350789,0.00377312
127,-0.361397,-0.350872,0.00374434
128,-0.339374,-0.350782,0.00371616
129,-0.342062,-0.350715,0.00368797
130,-0.359239,-0.35078,0.00366019
131,-0.408158,-0.351218,0.00365836
132,-0.385475,-0.351478,0.00363984
133,-0.386891,-0.351744,0.00362219
134,-0.365448,-0.351846,0.00359661
135,-0.36913,-0.351974,0.00357224
136,-0.360155,-0.352034,0.00354648
137,-0.365595,-0.352133,0.00352198
138,-0.381221,-0.352344,0.00350276
139,-0.363556,-0.352425,0.00347849
140,-0.368359,-0.352539,0.0034555
141,-0.333184,-0.352401,0.00343372
142,-0.331403,-0.352254,0.00341272
143,-0.346332,-0.352212,0.00338911
144,-0.343343,-0.352151,0.00336613
145,-0.400107,-0.352481,0.00335912
146,-0.459173,-0.353212,0.00341468
147,-0.425178,-0.353702,0.00342636
148,-0.403244,-0.354036,0.00341953
149,-0.402079,-0.354359,0.00341174
150,-0.384632,-0.354561,0.00339496
