#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0440688  -0.0440688           0
           2   -0.149921   -0.096995   0.0374245
           3   -0.247079   -0.147023   0.0478647
           4   -0.237019   -0.169522   0.0408455
           5   -0.257524   -0.187122   0.0362707
           6   -0.323522   -0.209856   0.0366641
           7   -0.332357   -0.227356    0.035357
           8   -0.350016   -0.242688   0.0341002
           9   -0.374931   -0.257382    0.033327
          10   -0.374618   -0.269106   0.0319899
          11   -0.365226   -0.277844   0.0302517
          12   -0.458157    -0.29287   0.0312403
          13   -0.432216   -0.303589    0.030621
          14   -0.405004   -0.310833   0.0292781
          15   -0.410884   -0.317503   0.0280757
          16   -0.403715   -0.322891    0.026833
          17   -0.435932   -0.329541   0.0260655
          18   -0.398875   -0.333392   0.0249004
          19   -0.392492   -0.336503   0.0237833
          20    -0.44568   -0.341962   0.0232122
          21   -0.415111   -0.345445   0.0223667
          22   -0.379942   -0.347013   0.0214049
          23   -0.374758   -0.348219   0.0205082
          24    -0.38492   -0.349749   0.0197106
          25   -0.376179   -0.350806   0.0189505
          26   -0.336108   -0.350241   0.0182301
          27   -0.345584   -0.350068   0.0175557
          28   -0.390247   -0.351503   0.0169873
          29   -0.372276   -0.352219   0.0164166
          30   -0.386853   -0.353374   0.0159099
          31    -0.36604   -0.353782    0.015402
          32   -0.422063   -0.355916   0.0150677
          33   -0.435672   -0.358333   0.0148037
          34   -0.417225   -0.360065   0.0144693
          35   -0.386848    -0.36083   0.0140761
          36   -0.409636   -0.362186   0.0137502
          37   -0.410957   -0.363504   0.0134416
          38     -0.4108   -0.364749   0.0131454
          39   -0.423343   -0.366251   0.0128939
          40   -0.405913   -0.367243   0.0126096
          41   -0.438525   -0.368981   0.0124213
          42   -0.384611   -0.369354   0.0121312
          43   -0.394427   -0.369937   0.0118631
          44   -0.353299   -0.369559   0.0115995
          45   -0.373154   -0.369638    0.011342
          46   -0.360072    -0.36943   0.0110973
          47   -0.368243   -0.369405   0.0108612
          48    -0.39463   -0.369931   0.0106477
          49   -0.380608   -0.370149   0.0104326
          50   -0.366833   -0.370082   0.0102242
          51    -0.39751    -0.37062   0.0100378
          52   -0.387977   -0.370954  0.00985032
          53   -0.398685   -0.371477  0.00967835
          54    -0.41479   -0.372279   0.0095323
          55    -0.40987   -0.372963  0.00938346
          56   -0.396199   -0.373378  0.00922507
          57   -0.392073   -0.373706  0.00906905
          58   -0.396861   -0.374105  0.00892147
          59   -0.394697   -0.374454  0.00877709
          60   -0.333892   -0.373778   0.0086568
          61   -0.374077   -0.373783  0.00851488
          62    -0.37587   -0.373816  0.00837761
          63   -0.384264   -0.373982  0.00824628
          64   -0.374973   -0.373998  0.00811744
          65   -0.389035   -0.374229  0.00799586
          66   -0.365455   -0.374096  0.00787581
          67   -0.360001   -0.373886  0.00776107
          68   -0.381776   -0.374002   0.0076478
          69   -0.351579   -0.373677  0.00754387
          70   -0.335104   -0.373126   0.0074562
          71   -0.364572   -0.373005  0.00735215
          72   -0.350492   -0.372693  0.00725669
          73    -0.38826   -0.372906  0.00716041
          74   -0.447445   -0.373913  0.00713415
          75   -0.447207    -0.37489  0.00710564
          76   -0.426448   -0.375569  0.00704446
          77    -0.40254   -0.375919  0.00696167
          78   -0.407705   -0.376327  0.00688434
          79   -0.398121   -0.376602  0.00680272
          80   -0.430377   -0.377275  0.00675081
          81   -0.401139   -0.377569   0.0066739
          82   -0.459979   -0.378574  0.00666775
          83   -0.435571   -0.379261  0.00662268
          84   -0.368405   -0.379132   0.0065451
          85    -0.35787   -0.378882  0.00647288
          86   -0.376771   -0.378857  0.00639766
          87   -0.385514   -0.378934  0.00632458
          88   -0.389815   -0.379057  0.00625392
          89   -0.334428   -0.378556  0.00620372
          90   -0.338669   -0.378113   0.0061506
          91   -0.413092   -0.378497  0.00609501
          92   -0.448236   -0.379255  0.00607572
          93   -0.455039    -0.38007  0.00606479
          94   -0.468207   -0.381008  0.00607232
          95    -0.45014   -0.381735  0.00605184
          96   -0.418023   -0.382113   0.0060006
          97   -0.424992   -0.382555    0.005955
          98   -0.414958   -0.382886   0.0059034
          99   -0.390798   -0.382966  0.00584431
         100    -0.40549   -0.383191  0.00579021
