BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0531844,0.0531844,0
2,0.0572551,0.0552198,0.0014392
3,0.0600846,0.0568414,0.00163513
4,0.0605868,0.0577777,0.00147021
5,0.0609328,0.0584087,0.00130457
6,0.0617501,0.0589656,0.00120014
7,0.0627952,0.0595127,0.00114662
8,0.0633128,0.0599877,0.00109728
9,0.0640839,0.0604429,0.00106558
10,0.0634682,0.0607454,0.00100105
11,0.0642138,0.0610607,0.000958417
12,0.064397,0.0613387,0.00091799
13,0.0624359,0.0614231,0.000851246
14,0.0629845,0.0615347,0.000797716
15,0.0644382,0.0617282,0.00076766
16,0.0625081,0.061777,0.000721227
17,0.0613753,0.0617533,0.000679189
18,0.0617417,0.0617527,0.000641456
19,0.0612438,0.0617259,0.000608254
20,0.0621443,0.0617468,0.000578201
21,0.063177,0.0618149,0.000554664
22,0.0624338,0.0618431,0.000530165
23,0.0617851,0.0618406,0.000507121
24,0.0615243,0.0618274,0.000486162
25,0.0621607,0.0618407,0.000466898
26,0.0634678,0.0619033,0.000453115
27,0.0638875,0.0619768,0.000442252
28,0.0626136,0.0619995,0.000427042
29,0.0643442,0.0620804,0.000419901
30,0.0662272,0.0622186,0.000428051
31,0.0650708,0.0623106,0.000424015
32,0.0646376,0.0623833,0.000416954
33,0.0647346,0.0624546,0.000410362
34,0.064954,0.0625281,0.000404824
35,0.0642179,0.0625764,0.000396126
36,0.0642851,0.0626238,0.000387956
37,0.0654905,0.0627013,0.000385129
38,0.0636018,0.062725,0.000375723
39,0.0648157,0.0627786,0.000369893
40,0.064368,0.0628184,0.000362774
41,0.0633698,0.0628318,0.000354175
42,0.0625487,0.0628251,0.000345806
43,0.0629698,0.0628284,0.000337781
44,0.0618039,0.0628051,0.000330905
45,0.0628326,0.0628058,0.000323553
46,0.0631915,0.0628141,0.000316628
47,0.0648686,0.0628578,0.000312893
48,0.0638405,0.0628783,0.000307044
49,0.0656921,0.0629357,0.0003061
50,0.064417,0.0629654,0.000301408
51,0.0633554,0.062973,0.000295595
52,0.0622941,0.06296,0.000290199
53,0.0625154,0.0629516,0.000284845
54,0.0635022,0.0629618,0.000279752
55,0.0621376,0.0629468,0.000275067
56,0.0629964,0.0629477,0.000270156
57,0.0637493,0.0629617,0.000265783
58,0.0638151,0.0629764,0.000261607
59,0.0635418,0.062986,0.000257349
60,0.0630916,0.0629878,0.000253065
61,0.0622938,0.0629764,0.000249172
62,0.0627426,0.0629726,0.000245182
63,0.0642903,0.0629936,0.000242181
64,0.0648251,0.0630222,0.000240082
65,0.0647288,0.0630484,0.000237819
66,0.0645221,0.0630708,0.000235262
67,0.065267,0.0631035,0.000234023
68,0.0660512,0.0631469,0.000234562
69,0.0647712,0.0631704,0.000232341
70,0.0644341,0.0631885,0.000229722
71,0.0650011,0.063214,0.0002279
72,0.0635947,0.0632193,0.000224796
73,0.0633858,0.0632216,0.000221729
74,0.0629923,0.0632185,0.000218754
75,0.0624863,0.0632087,0.000216055
76,0.0629295,0.063205,0.000213243
77,0.0632428,0.0632055,0.000210474
78,0.0653404,0.0632329,0.000209548
79,0.0647539,0.0632522,0.000207778
80,0.0659808,0.0632863,0.000207962
81,0.0652398,0.0633104,0.000206788
82,0.0645413,0.0633254,0.00020481
83,0.0634946,0.0633274,0.000202353
84,0.0636144,0.0633308,0.000199973
85,0.0643622,0.063343,0.000197988
86,0.0646134,0.0633578,0.000196236
87,0.0641426,0.0633668,0.000194188
88,0.0635543,0.0633689,0.000191993
89,0.0619756,0.0633532,0.000190473
90,0.0632933,0.0633526,0.000188357
91,0.0639969,0.0633597,0.000186421
92,0.0624259,0.0633495,0.00018467
93,0.0635339,0.0633515,0.000182695
94,0.0644527,0.0633632,0.000181127
95,0.0641066,0.063371,0.000179389
96,0.065833,0.0633967,0.000179344
97,0.0639248,0.0634021,0.000177578
98,0.0644574,0.0634129,0.000176092
99,0.0640685,0.0634195,0.000174438
100,0.0630353,0.0634157,0.000172736
