BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.25192,1.25192,0
2,1.35203,1.30197,0.0353938
3,1.41292,1.33896,0.0383219
4,1.40505,1.35548,0.0321069
5,1.40309,1.365,0.0270606
6,1.43086,1.37598,0.0246766
7,1.47702,1.39041,0.0250194
8,1.41588,1.3936,0.0220936
9,1.44389,1.39918,0.0203333
10,1.44264,1.40353,0.0187587
11,1.4173,1.40478,0.0170951
12,1.43319,1.40715,0.0158336
13,1.47129,1.41208,0.015365
14,1.43735,1.41389,0.0143731
15,1.42327,1.41451,0.0134285
16,1.45487,1.41704,0.0128239
17,1.4511,1.41904,0.0122251
18,1.435,1.41993,0.011578
19,1.45878,1.42197,0.0111478
20,1.45298,1.42352,0.0106976
21,1.46333,1.42542,0.0103548
22,1.4853,1.42814,0.0102357
23,1.46012,1.42953,0.00988465
24,1.46463,1.43099,0.0095804
25,1.459,1.43211,0.00926246
26,1.47237,1.43366,0.0090347
27,1.48276,1.43548,0.00888123
28,1.51131,1.43819,0.00896748
29,1.47622,1.4395,0.00875364
30,1.46394,1.44031,0.00849968
31,1.47391,1.4414,0.00829431
32,1.46132,1.44202,0.00805844
33,1.4291,1.44163,0.00782376
34,1.45402,1.44199,0.00760212
35,1.44933,1.4422,0.00738781
36,1.4731,1.44306,0.00723226
37,1.44555,1.44313,0.00703711
38,1.44706,1.44323,0.00685268
39,1.48059,1.44419,0.00674357
40,1.47554,1.44497,0.00662039
41,1.46491,1.44546,0.00647675
42,1.45018,1.44557,0.00632351
43,1.45095,1.4457,0.00617769
44,1.42668,1.44527,0.00605238
45,1.41626,1.44462,0.0059521
46,1.42262,1.44414,0.00584189
47,1.431,1.44386,0.00572428
48,1.43359,1.44365,0.00560903
49,1.44571,1.44369,0.00549471
50,1.44362,1.44369,0.00538482
51,1.46001,1.44401,0.00528873
52,1.44985,1.44412,0.00518822
53,1.46621,1.44454,0.00510705
54,1.43545,1.44437,0.00501524
55,1.45315,1.44453,0.0049266
56,1.43101,1.44429,0.00484453
57,1.43541,1.44413,0.00476204
58,1.42944,1.44388,0.00468667
59,1.43816,1.44378,0.00460824
60,1.43472,1.44363,0.00453391
61,1.4223,1.44328,0.00447305
62,1.42701,1.44302,0.00440859
63,1.42571,1.44274,0.00434716
64,1.44708,1.44281,0.00427977
65,1.41984,1.44246,0.0042285
66,1.42402,1.44218,0.00417365
67,1.42804,1.44197,0.00411669
68,1.4338,1.44185,0.0040579
69,1.43158,1.4417,0.00400182
70,1.43503,1.4416,0.00394579
71,1.47482,1.44207,0.00391785
72,1.44755,1.44215,0.00386417
73,1.43299,1.44202,0.00381327
74,1.44533,1.44207,0.00376201
75,1.45329,1.44222,0.00371482
76,1.4559,1.4424,0.0036703
77,1.43429,1.44229,0.00362414
78,1.43153,1.44215,0.0035803
79,1.45619,1.44233,0.00353939
80,1.4514,1.44244,0.00349696
81,1.45682,1.44262,0.00345829
82,1.46617,1.44291,0.00342802
83,1.48128,1.44337,0.00341774
84,1.48796,1.4439,0.00341803
85,1.46282,1.44413,0.00338506
86,1.46568,1.44438,0.00335496
87,1.47052,1.44468,0.00332983
88,1.48433,1.44513,0.00332234
89,1.48551,1.44558,0.00331585
90,1.43653,1.44548,0.00328053
91,1.44788,1.44551,0.00324459
92,1.43332,1.44537,0.00321202
93,1.45431,1.44547,0.00317892
94,1.49062,1.44595,0.00318119
95,1.44896,1.44598,0.00314786
96,1.44825,1.44601,0.00311516
97,1.45561,1.4461,0.00308462
98,1.45019,1.44615,0.00305342
99,1.47135,1.4464,0.00303317
100,1.43071,1.44624,0.0030069
101,1.46432,1.44642,0.00298245
102,1.46366,1.44659,0.00295799
103,1.4539,1.44666,0.00293013
104,1.45422,1.44674,0.00290285
105,1.45711,1.44683,0.00287689
106,1.4431,1.4468,0.00284996
107,1.44374,1.44677,0.00282347
108,1.46357,1.44693,0.00280161
109,1.4704,1.44714,0.00278417
110,1.48027,1.44744,0.0027751
111,1.48781,1.44781,0.00277383
112,1.48184,1.44811,0.00276566
113,1.43652,1.44801,0.00274309
114,1.43914,1.44793,0.00272013
115,1.4888,1.44829,0.0027196
116,1.4458,1.44826,0.00269624
117,1.44465,1.44823,0.00267337
118,1.45929,1.44833,0.00265235
119,1.44451,1.44829,0.00263026
120,1.46858,1.44846,0.00261377
121,1.48638,1.44878,0.00261088
122,1.46153,1.44888,0.00259157
123,1.45064,1.4489,0.00257054
124,1.44741,1.44888,0.00254984
125,1.46836,1.44904,0.0025342
126,1.45406,1.44908,0.0025144
127,1.45612,1.44914,0.00249521
128,1.44145,1.44907,0.00247644
129,1.44321,1.44903,0.00245766
130,1.45471,1.44907,0.00243914
131,1.4873,1.44936,0.00243792
132,1.47224,1.44954,0.0024256
133,1.47318,1.44972,0.00241386
134,1.45886,1.44978,0.00239681
135,1.4613,1.44987,0.00238058
136,1.45537,1.44991,0.00236342
137,1.45896,1.44998,0.00234709
138,1.46937,1.45012,0.00233428
139,1.45764,1.45017,0.00231812
140,1.46086,1.45025,0.00230282
141,1.43744,1.45016,0.00228828
142,1.43616,1.45006,0.00227428
143,1.44615,1.45003,0.00225854
144,1.44415,1.44999,0.00224323
145,1.48194,1.45021,0.00223856
146,1.52136,1.4507,0.00227565
147,1.49863,1.45102,0.00228341
148,1.48403,1.45125,0.00227885
149,1.48327,1.45146,0.00227366
150,1.47166,1.4516,0.00226249
151,1.46651,1.45169,0.00224966
152,1.48078,1.45189,0.00224299
153,1.49347,1.45216,0.00224473
154,1.49186,1.45242,0.00224491
155,1.47841,1.45258,0.00223668
156,1.4621,1.45264,0.00222318
157,1.48288,1.45284,0.00221734
158,1.48349,1.45303,0.00221178
159,1.45395,1.45304,0.00219787
160,1.43969,1.45295,0.00218572
161,1.43756,1.45286,0.00217423
162,1.44222,1.45279,0.0021618
163,1.47642,1.45294,0.0021534
164,1.49639,1.4532,0.0021565
165,1.46939,1.4533,0.00214566
166,1.49116,1.45353,0.00214482
167,1.46178,1.45358,0.00213255
168,1.43298,1.45345,0.00212338
169,1.45678,1.45347,0.00211091
170,1.44829,1.45344,0.00209871
171,1.47668,1.45358,0.00209083
172,1.46137,1.45363,0.00207917
173,1.45628,1.45364,0.0020672
174,1.46247,1.45369,0.00205595
175,1.44273,1.45363,0.00204515
176,1.44719,1.45359,0.00203386
177,1.45439,1.4536,0.00202237
178,1.47622,1.45372,0.002015
179,1.45466,1.45373,0.00200375
180,1.43435,1.45362,0.00199551
