#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.959376    0.959376           0
           2      1.0296    0.994487    0.024827
           3      1.0944     1.02779   0.0318345
           4     1.08777     1.04279   0.0271786
           5     1.10134      1.0545   0.0241347
           6     1.14536     1.06964   0.0244055
           7     1.15127      1.0813   0.0235408
           8     1.16303     1.09152    0.022707
           9     1.17963     1.10131   0.0221943
          10     1.17944     1.10912   0.0213057
          11     1.17317     1.11495   0.0201488
          12     1.23503     1.12495   0.0208067
          13     1.21779     1.13209   0.0203949
          14     1.19952     1.13691   0.0194984
          15     1.20345     1.14135   0.0186963
          16     1.19863     1.14493   0.0178673
          17     1.22016     1.14935   0.0173557
          18      1.1955     1.15192   0.0165798
          19     1.19121     1.15398   0.0158356
          20     1.22676     1.15762   0.0154562
          21     1.20639     1.15994   0.0148936
          22     1.18292     1.16099   0.0142532
          23     1.17948     1.16179   0.0136562
          24     1.18626     1.16281   0.0131251
          25     1.18052     1.16352   0.0126192
          26     1.15377     1.16315   0.0121395
          27     1.16002     1.16303   0.0116904
          28     1.18987     1.16399   0.0113121
          29     1.17787     1.16447   0.0109322
          30     1.18754     1.16524   0.0105948
          31     1.17363     1.16551   0.0102565
          32     1.21092     1.16693   0.0100337
          33     1.22012     1.16854  0.00985825
          34     1.20777     1.16969   0.0096356
          35     1.18748      1.1702   0.0093737
          36     1.20268      1.1711  0.00915663
          37     1.20355     1.17198  0.00895105
          38      1.2034     1.17281  0.00875359
          39     1.21178     1.17381  0.00858599
          40     1.20023     1.17447  0.00839673
          41     1.22202     1.17563  0.00827165
          42      1.1861     1.17588  0.00807846
          43     1.19266     1.17627  0.00790001
          44     1.16526     1.17602  0.00772442
          45     1.17846     1.17607  0.00755296
          46     1.16973     1.17593  0.00739002
          47      1.1751     1.17591  0.00723281
          48      1.1927     1.17626  0.00709058
          49     1.18335     1.17641  0.00694735
          50     1.17417     1.17636  0.00680855
          51      1.1946     1.17672  0.00668443
          52     1.18825     1.17694  0.00655956
          53     1.19542     1.17729  0.00644505
          54     1.20616     1.17783  0.00634783
          55     1.20289     1.17828  0.00624875
          56      1.1938     1.17856  0.00614331
          57     1.19105     1.17878  0.00603944
          58     1.19419     1.17904  0.00594116
          59     1.19284     1.17928  0.00584506
          60     1.15223     1.17883    0.005765
          61     1.17902     1.17883   0.0056705
          62     1.18018     1.17885  0.00557908
          63     1.18587     1.17896  0.00549164
          64     1.17965     1.17897  0.00540584
          65     1.18902     1.17913  0.00532488
          66     1.17329     1.17904  0.00524494
          67     1.16965      1.1789  0.00516853
          68     1.18421     1.17898  0.00509311
          69     1.16411     1.17876  0.00502386
          70     1.15307      1.1784  0.00496548
          71     1.17269     1.17832  0.00489619
          72     1.16333     1.17811  0.00483261
          73     1.18847     1.17825   0.0047685
          74     1.22801     1.17892  0.00475124
          75     1.22789     1.17957  0.00473254
          76       1.214     1.18003  0.00469189
          77     1.19799     1.18026  0.00463676
          78     1.20141     1.18053  0.00458523
          79     1.19497     1.18071  0.00453083
          80     1.21655     1.18116  0.00449628
          81     1.19701     1.18136  0.00444503
          82     1.23624     1.18203  0.00444092
          83     1.22004     1.18249  0.00441097
          84     1.17522      1.1824  0.00435931
          85     1.16824     1.18223   0.0043112
          86     1.18085     1.18222   0.0042611
          87     1.18671     1.18227  0.00421244
          88     1.18957     1.18235  0.00416539
          89     1.15264     1.18202  0.00413194
          90     1.15532     1.18172  0.00409666
          91     1.20494     1.18198  0.00405958
          92     1.22831     1.18248  0.00404658
          93     1.23294     1.18302  0.00403928
          94     1.24171     1.18365  0.00404427
          95     1.22963     1.18413  0.00403056
          96     1.20822     1.18438  0.00399638
          97     1.21292     1.18468    0.003966
          98     1.20621      1.1849  0.00393161
          99     1.19006     1.18495  0.00389225
         100     1.19991      1.1851   0.0038562
