BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.82323,1.82323,0
2,1.82275,1.82299,0.000168696
3,1.82285,1.82295,0.00011855
4,1.82285,1.82292,9.15078e-05
5,1.82283,1.8229,7.50331e-05
6,1.8227,1.82287,6.98076e-05
7,1.82285,1.82287,5.98974e-05
8,1.82282,1.82286,5.27279e-05
9,1.82283,1.82286,4.69623e-05
10,1.82287,1.82286,4.22965e-05
11,1.82284,1.82286,3.84788e-05
12,1.82282,1.82285,3.53889e-05
13,1.82291,1.82286,3.29073e-05
14,1.82289,1.82286,3.06313e-05
15,1.8228,1.82286,2.88729e-05
16,1.82278,1.82285,2.74416e-05
17,1.82291,1.82285,2.60322e-05
18,1.82276,1.82285,2.5097e-05
19,1.82275,1.82284,2.43042e-05
20,1.82291,1.82285,2.33166e-05
21,1.82285,1.82285,2.22064e-05
22,1.82292,1.82285,2.14705e-05
23,1.82294,1.82285,2.08717e-05
24,1.8229,1.82286,2.0077e-05
25,1.82286,1.82286,1.92763e-05
26,1.8229,1.82286,1.86014e-05
27,1.82272,1.82285,1.86114e-05
28,1.82277,1.82285,1.81934e-05
29,1.82281,1.82285,1.76225e-05
30,1.82273,1.82284,1.74522e-05
31,1.82284,1.82284,1.68896e-05
32,1.82288,1.82285,1.64083e-05
33,1.82283,1.82285,1.59183e-05
34,1.82275,1.82284,1.56726e-05
35,1.82282,1.82284,1.52382e-05
36,1.82282,1.82284,1.48327e-05
37,1.82282,1.82284,1.44462e-05
38,1.82275,1.82284,1.42403e-05
39,1.82283,1.82284,1.38761e-05
40,1.82281,1.82284,1.35419e-05
41,1.8229,1.82284,1.32886e-05
42,1.82284,1.82284,1.29722e-05
43,1.82291,1.82284,1.27634e-05
44,1.82274,1.82284,1.26856e-05
45,1.82274,1.82284,1.25985e-05
46,1.82269,1.82283,1.27363e-05
47,1.82272,1.82283,1.26787e-05
48,1.82274,1.82283,1.2548e-05
49,1.82273,1.82283,1.24376e-05
50,1.82275,1.82283,1.22715e-05
51,1.82265,1.82282,1.24781e-05
52,1.82272,1.82282,1.24035e-05
53,1.8228,1.82282,1.21761e-05
54,1.82284,1.82282,1.19583e-05
55,1.82292,1.82282,1.18741e-05
56,1.82289,1.82282,1.17283e-05
57,1.82284,1.82282,1.15267e-05
58,1.82286,1.82282,1.13423e-05
59,1.82287,1.82282,1.1172e-05
60,1.82303,1.82283,1.14874e-05
61,1.82296,1.82283,1.14976e-05
62,1.8229,1.82283,1.1364e-05
63,1.82292,1.82283,1.12795e-05
64,1.82282,1.82283,1.11054e-05
65,1.82277,1.82283,1.09753e-05
66,1.82273,1.82283,1.09096e-05
67,1.82278,1.82283,1.07673e-05
68,1.82275,1.82283,1.06735e-05
69,1.82274,1.82283,1.05942e-05
70,1.82267,1.82282,1.06767e-05
71,1.82284,1.82282,1.05276e-05
72,1.82282,1.82282,1.03818e-05
73,1.82276,1.82282,1.02774e-05
74,1.82281,1.82282,1.01395e-05
75,1.82281,1.82282,1.00069e-05
76,1.82291,1.82282,9.94625e-06
77,1.82291,1.82283,9.88539e-06
78,1.82288,1.82283,9.78427e-06
79,1.82289,1.82283,9.6914e-06
80,1.82294,1.82283,9.67985e-06
81,1.82281,1.82283,9.56303e-06
82,1.82293,1.82283,9.52233e-06
83,1.82287,1.82283,9.42246e-06
84,1.82281,1.82283,9.31317e-06
85,1.82279,1.82283,9.21782e-06
86,1.82278,1.82283,9.13106e-06
87,1.82284,1.82283,9.02767e-06
88,1.8227,1.82283,9.03416e-06
89,1.82285,1.82283,8.9361e-06
90,1.82286,1.82283,8.84636e-06
91,1.82293,1.82283,8.82414e-06
92,1.82294,1.82283,8.81341e-06
93,1.82281,1.82283,8.72044e-06
94,1.82269,1.82283,8.75944e-06
95,1.82283,1.82283,8.6673e-06
96,1.8227,1.82283,8.68784e-06
97,1.82272,1.82283,8.67037e-06
98,1.82275,1.82283,8.61344e-06
99,1.82281,1.82283,8.52722e-06
100,1.82292,1.82283,8.49234e-06
101,1.82277,1.82283,8.4282e-06
102,1.82284,1.82283,8.34745e-06
103,1.82282,1.82283,8.26672e-06
104,1.82268,1.82282,8.3071e-06
105,1.82281,1.82282,8.22857e-06
106,1.82284,1.82282,8.15162e-06
107,1.82283,1.82282,8.07545e-06
108,1.82283,1.82282,8.00073e-06
109,1.82294,1.82283,7.99948e-06
110,1.82283,1.82283,7.92718e-06
111,1.82292,1.82283,7.89869e-06
112,1.82293,1.82283,7.87888e-06
113,1.82286,1.82283,7.81544e-06
114,1.82281,1.82283,7.74855e-06
115,1.82296,1.82283,7.76155e-06
116,1.82298,1.82283,7.80639e-06
117,1.82282,1.82283,7.73987e-06
118,1.82288,1.82283,7.68625e-06
119,1.82283,1.82283,7.62172e-06
120,1.82274,1.82283,7.59508e-06
121,1.82287,1.82283,7.53902e-06
122,1.82291,1.82283,7.50407e-06
123,1.82286,1.82283,7.44667e-06
124,1.82286,1.82283,7.38951e-06
125,1.82281,1.82283,7.33193e-06
126,1.82284,1.82283,7.27391e-06
127,1.82279,1.82283,7.22549e-06
128,1.82279,1.82283,7.17452e-06
129,1.82275,1.82283,7.14295e-06
130,1.82282,1.82283,7.08815e-06
131,1.82279,1.82283,7.04031e-06
132,1.82288,1.82283,6.99754e-06
133,1.82288,1.82283,6.95409e-06
134,1.82284,1.82283,6.90277e-06
135,1.82282,1.82283,6.85207e-06
136,1.8229,1.82283,6.82204e-06
137,1.82285,1.82283,6.7733e-06
138,1.82283,1.82283,6.72425e-06
139,1.82291,1.82283,6.69943e-06
140,1.82293,1.82283,6.6904e-06
