#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       1.395       1.395           0
           2     1.39448     1.39474 0.000183952
           3     1.39452     1.39467 0.000135419
           4     1.39463     1.39466 0.000101796
           5     1.39449     1.39462 8.65738e-05
           6     1.39453     1.39461 7.37096e-05
           7     1.39455      1.3946 6.36165e-05
           8     1.39453     1.39459 5.62233e-05
           9     1.39451     1.39458 5.06393e-05
          10     1.39454     1.39458 4.57367e-05
          11     1.39454     1.39458 4.17503e-05
          12     1.39438     1.39456 4.12569e-05
          13     1.39446     1.39455 3.87513e-05
          14     1.39427     1.39453 4.08792e-05
          15     1.39429     1.39452  4.1142e-05
          16     1.39423      1.3945 4.23699e-05
          17      1.3943     1.39449 4.13725e-05
          18     1.39438     1.39448 3.94864e-05
          19     1.39432     1.39447 3.82513e-05
          20     1.39445     1.39447 3.63503e-05
          21     1.39447     1.39447 3.46194e-05
          22     1.39443     1.39447 3.30924e-05
          23     1.39446     1.39447 3.16567e-05
          24     1.39447     1.39447 3.03376e-05
          25      1.3946     1.39447 2.96076e-05
          26     1.39455     1.39448 2.86082e-05
          27     1.39445     1.39448  2.7567e-05
          28     1.39456     1.39448 2.67575e-05
          29     1.39453     1.39448 2.58914e-05
          30     1.39446     1.39448 2.50388e-05
          31      1.3944     1.39448 2.43708e-05
          32     1.39432     1.39447  2.4117e-05
          33     1.39451     1.39447   2.341e-05
          34     1.39443     1.39447 2.27516e-05
          35     1.39438     1.39447  2.2268e-05
          36     1.39438     1.39447 2.17859e-05
          37     1.39437     1.39446 2.13698e-05
          38     1.39429     1.39446 2.12758e-05
          39     1.39433     1.39446 2.10038e-05
          40     1.39444     1.39446 2.04844e-05
          41     1.39451     1.39446 2.00207e-05
          42     1.39454     1.39446 1.96364e-05
          43     1.39456     1.39446  1.9307e-05
          44     1.39459     1.39446 1.90906e-05
          45     1.39453     1.39447 1.87271e-05
          46     1.39452     1.39447 1.83637e-05
          47      1.3944     1.39447 1.80264e-05
          48     1.39443     1.39446 1.76702e-05
          49     1.39442     1.39446 1.73312e-05
          50     1.39442     1.39446 1.70122e-05
          51     1.39439     1.39446 1.67392e-05
          52      1.3944     1.39446  1.6461e-05
          53     1.39444     1.39446 1.61539e-05
          54     1.39445     1.39446 1.58568e-05
          55     1.39447     1.39446 1.55701e-05
          56      1.3945     1.39446  1.5306e-05
          57     1.39451     1.39446 1.50614e-05
          58     1.39443     1.39446  1.4811e-05
          59     1.39457     1.39446 1.46724e-05
          60     1.39445     1.39446 1.44292e-05
          61     1.39445     1.39446 1.41935e-05
          62      1.3944     1.39446 1.40018e-05
          63     1.39455     1.39446 1.38458e-05
          64     1.39451     1.39446 1.36485e-05
          65      1.3945     1.39446 1.34513e-05
          66     1.39448     1.39446 1.32494e-05
          67     1.39447     1.39446 1.30525e-05
          68     1.39454     1.39447 1.29096e-05
          69     1.39458     1.39447 1.28337e-05
          70      1.3945     1.39447 1.26574e-05
          71     1.39446     1.39447 1.24796e-05
          72      1.3945     1.39447 1.23138e-05
          73     1.39444     1.39447 1.21495e-05
          74     1.39458     1.39447 1.20724e-05
          75     1.39462     1.39447 1.20858e-05
          76     1.39455     1.39447 1.19693e-05
          77     1.39445     1.39447 1.18169e-05
          78     1.39441     1.39447 1.16888e-05
          79     1.39433     1.39447 1.16819e-05
          80     1.39445     1.39447 1.15394e-05
          81     1.39437     1.39447 1.14562e-05
          82     1.39438     1.39447 1.13661e-05
          83     1.39449     1.39447 1.12332e-05
          84     1.39443     1.39447 1.11084e-05
          85     1.39448     1.39447 1.09794e-05
          86     1.39451     1.39447 1.08626e-05
          87     1.39455     1.39447 1.07783e-05
          88     1.39454     1.39447 1.06837e-05
          89     1.39453     1.39447 1.05873e-05
          90     1.39431     1.39447 1.06146e-05
          91     1.39432     1.39447 1.06192e-05
          92     1.39423     1.39446 1.08146e-05
          93     1.39437     1.39446  1.0746e-05
          94     1.39436     1.39446 1.06909e-05
          95     1.39431     1.39446 1.06994e-05
          96     1.39431     1.39446 1.07055e-05
          97     1.39439     1.39446 1.06189e-05
          98     1.39436     1.39446 1.05576e-05
          99     1.39429     1.39446 1.05876e-05
         100     1.39438     1.39445 1.05113e-05
