BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.78956,1.78956,0
2,1.64685,1.71821,0.0504577
3,1.64533,1.69391,0.039051
4,1.66848,1.68755,0.0298015
5,1.66099,1.68224,0.0243102
6,1.69297,1.68403,0.0203242
7,1.6911,1.68504,0.0174458
8,1.64215,1.67968,0.0160676
9,1.6862,1.6804,0.0142986
10,1.68617,1.68098,0.0128804
11,1.64207,1.67744,0.0121854
12,1.67338,1.67711,0.0111747
13,1.65974,1.67577,0.0103946
14,1.6519,1.67406,0.00979099
15,1.67938,1.67442,0.00914465
16,1.62845,1.67155,0.00901319
17,1.64304,1.66987,0.00863756
18,1.66003,1.66932,0.00817499
19,1.6438,1.66798,0.0078543
20,1.65312,1.66724,0.00749663
21,1.67471,1.66759,0.00714809
22,1.66583,1.66751,0.00682362
23,1.64984,1.66674,0.00657004
24,1.66224,1.66656,0.00629896
25,1.66626,1.66654,0.00604702
26,1.63244,1.66523,0.00595504
27,1.66142,1.66509,0.00573616
28,1.60206,1.66284,0.00595665
29,1.68369,1.66356,0.00579447
30,1.63836,1.66272,0.00566189
31,1.6287,1.66162,0.0055846
32,1.67862,1.66215,0.00543529
33,1.66363,1.6622,0.00527077
34,1.67908,1.66269,0.00513909
35,1.67189,1.66296,0.00499898
36,1.6467,1.66251,0.00488047
37,1.631,1.66165,0.0048223
38,1.67687,1.66205,0.00471198
39,1.65687,1.66192,0.00459304
40,1.62302,1.66095,0.00458
41,1.65066,1.6607,0.00447516
42,1.64685,1.66037,0.00438073
43,1.61006,1.6592,0.00443233
44,1.65396,1.65908,0.00433319
45,1.6127,1.65805,0.00435774
46,1.68891,1.65872,0.00431435
47,1.66257,1.6588,0.00422333
48,1.70177,1.6597,0.00422917
49,1.6652,1.65981,0.00414435
50,1.65499,1.65971,0.00406258
51,1.60909,1.65872,0.00410241
52,1.63613,1.65829,0.00404645
53,1.64834,1.6581,0.00397445
54,1.66266,1.65818,0.00390175
55,1.68554,1.65868,0.00386239
56,1.64024,1.65835,0.00380744
57,1.63721,1.65798,0.00375866
58,1.64149,1.6577,0.00370459
59,1.67615,1.65801,0.00365498
60,1.63813,1.65768,0.00360906
61,1.68706,1.65816,0.0035819
62,1.67308,1.6584,0.00353221
63,1.64352,1.65816,0.00348402
64,1.64228,1.65791,0.00343842
65,1.63903,1.65762,0.00339777
66,1.66532,1.65774,0.00334829
67,1.65932,1.65776,0.0032984
68,1.66037,1.6578,0.00325011
69,1.66891,1.65796,0.00320699
70,1.62986,1.65756,0.00318622
71,1.64245,1.65735,0.00314845
72,1.64818,1.65722,0.00310729
73,1.64916,1.65711,0.00306669
74,1.64347,1.65693,0.00303078
75,1.63011,1.65657,0.00301139
76,1.61052,1.65596,0.00303212
77,1.65438,1.65594,0.00299282
78,1.66531,1.65606,0.00295685
79,1.67344,1.65628,0.00292759
80,1.61784,1.6558,0.00293016
81,1.63522,1.65555,0.00290498
82,1.62879,1.65522,0.00288783
83,1.60514,1.65462,0.00291539
84,1.62911,1.65432,0.00289646
85,1.67446,1.65455,0.00287206
86,1.6781,1.65483,0.00285169
87,1.61977,1.65442,0.00284724
88,1.66835,1.65458,0.00281928
89,1.69355,1.65502,0.00282139
90,1.65084,1.65497,0.00279043
91,1.67911,1.65524,0.00277235
92,1.61759,1.65483,0.00277224
93,1.6246,1.6545,0.00276142
94,1.57849,1.6537,0.00284799
95,1.6068,1.6532,0.00286047
96,1.62897,1.65295,0.00284179
97,1.60495,1.65245,0.00285525
98,1.70475,1.65299,0.00287554
99,1.64291,1.65289,0.0028483
100,1.60431,1.6524,0.00286093
101,1.61845,1.65206,0.00285228
102,1.68236,1.65236,0.00283974
103,1.66237,1.65246,0.00281384
104,1.67072,1.65263,0.00279225
105,1.62319,1.65235,0.0027797
106,1.69571,1.65276,0.00278341
107,1.60463,1.65231,0.00279351
108,1.66777,1.65246,0.00277131
109,1.69061,1.65281,0.0027679
110,1.71815,1.6534,0.00280576
111,1.64445,1.65332,0.00278164
112,1.6363,1.65317,0.00276095
113,1.62397,1.65291,0.00274858
114,1.64828,1.65287,0.00272477
115,1.62779,1.65265,0.00270979
116,1.63838,1.65253,0.00268921
117,1.63112,1.65234,0.00267244
118,1.64061,1.65224,0.00265165
