BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.59084,-5.59084,0
2,-5.44652,-5.51868,0.0510271
3,-5.44483,-5.49406,0.0395121
4,-5.46714,-5.48733,0.0302021
5,-5.45724,-5.48131,0.0247543
6,-5.49302,-5.48326,0.0207053
7,-5.48846,-5.48401,0.0177607
8,-5.44234,-5.4788,0.0162863
9,-5.48556,-5.47955,0.0144941
10,-5.48742,-5.48034,0.013066
11,-5.44255,-5.4769,0.0123215
12,-5.47474,-5.47672,0.011296
13,-5.45774,-5.47526,0.010521
14,-5.45137,-5.47355,0.00990694
15,-5.47711,-5.47379,0.00924932
16,-5.42784,-5.47092,0.00910626
17,-5.44245,-5.46924,0.00872325
18,-5.46003,-5.46873,0.00825363
19,-5.44337,-5.4674,0.00792646
20,-5.45309,-5.46668,0.00756236
21,-5.47443,-5.46705,0.00721124
22,-5.46161,-5.4668,0.00688769
23,-5.44694,-5.46594,0.00664218
24,-5.45938,-5.46567,0.00637104
25,-5.46297,-5.46556,0.00611711
26,-5.42769,-5.4641,0.00605278
27,-5.46063,-5.46397,0.00582997
28,-5.4004,-5.4617,0.00604776
29,-5.48383,-5.46247,0.00588716
30,-5.43522,-5.46156,0.00576052
31,-5.42671,-5.46043,0.0056833
32,-5.47701,-5.46095,0.00552926
33,-5.46055,-5.46094,0.00536172
34,-5.47953,-5.46149,0.00523183
35,-5.47047,-5.46174,0.00508864
36,-5.44191,-5.46119,0.00497701
37,-5.42659,-5.46026,0.00492958
38,-5.4748,-5.46064,0.00481469
39,-5.45558,-5.46051,0.00469298
40,-5.42436,-5.45961,0.00466186
41,-5.44884,-5.45934,0.00455555
42,-5.44617,-5.45903,0.00445787
43,-5.40659,-5.45781,0.00451793
44,-5.4533,-5.45771,0.00441641
45,-5.4104,-5.45666,0.00444165
46,-5.49013,-5.45738,0.00440429
47,-5.46241,-5.45749,0.00431188
48,-5.50133,-5.45841,0.00431771
49,-5.46318,-5.4585,0.00423069
50,-5.45222,-5.45838,0.00414794
51,-5.40633,-5.45736,0.00419027
52,-5.43508,-5.45693,0.00413153
53,-5.44516,-5.45671,0.00405954
54,-5.45995,-5.45677,0.00398481
55,-5.48327,-5.45725,0.00394138
56,-5.44277,-5.45699,0.00387947
57,-5.43651,-5.45663,0.00382801
58,-5.43699,-5.45629,0.00377696
59,-5.47546,-5.45662,0.00372689
60,-5.43738,-5.4563,0.00367854
61,-5.48523,-5.45677,0.00364869
62,-5.47101,-5.457,0.00359707
63,-5.44255,-5.45677,0.00354728
64,-5.43954,-5.4565,0.00350205
65,-5.43758,-5.45621,0.00346025
66,-5.46262,-5.45631,0.00340919
67,-5.4572,-5.45632,0.00335833
68,-5.45863,-5.45635,0.00330912
69,-5.46741,-5.45651,0.00326503
70,-5.42927,-5.45613,0.0032415
71,-5.44363,-5.45595,0.00320062
72,-5.4492,-5.45586,0.00315754
73,-5.44877,-5.45576,0.00311578
74,-5.44044,-5.45555,0.00308054
75,-5.42878,-5.45519,0.00306008
76,-5.40627,-5.45455,0.00308678
77,-5.45251,-5.45452,0.0030468
78,-5.46208,-5.45462,0.00300928
79,-5.4712,-5.45483,0.00297849
80,-5.41596,-5.45435,0.00298062
81,-5.43532,-5.45411,0.00295306
82,-5.42681,-5.45378,0.00293575
83,-5.40578,-5.4532,0.00295679
84,-5.42874,-5.45291,0.00293589
85,-5.47296,-5.45314,0.00291081
86,-5.47845,-5.45344,0.0028918
87,-5.41729,-5.45302,0.00288827
88,-5.46779,-5.45319,0.00286032
89,-5.49283,-5.45364,0.00286264
90,-5.44988,-5.45359,0.00283114
91,-5.47989,-5.45388,0.00281474
92,-5.41636,-5.45348,0.00281355
93,-5.42635,-5.45318,0.00279837
94,-5.37562,-5.45236,0.0028877
95,-5.40432,-5.45185,0.00290124
96,-5.42677,-5.45159,0.00288276
97,-5.40212,-5.45108,0.00289781
98,-5.5024,-5.45161,0.00291518
99,-5.44095,-5.4515,0.00288772
100,-5.40211,-5.451,0.00290076
101,-5.41763,-5.45067,0.0028908
102,-5.48308,-5.45099,0.00287987
103,-5.46405,-5.45112,0.0028547
104,-5.47035,-5.4513,0.00283323
105,-5.42076,-5.45101,0.00282114
106,-5.49518,-5.45143,0.00282513
107,-5.40459,-5.45099,0.00283244
108,-5.46915,-5.45116,0.0028112
109,-5.49007,-5.45152,0.00280799
110,-5.51767,-5.45212,0.00284613
111,-5.44677,-5.45207,0.0028209
112,-5.43562,-5.45192,0.00279954
113,-5.42302,-5.45167,0.00278642
114,-5.44592,-5.45162,0.00276243
115,-5.42758,-5.45141,0.00274631
116,-5.43762,-5.45129,0.00272521
117,-5.42807,-5.45109,0.00270913
118,-5.43939,-5.45099,0.00268799
119,-5.42207,-5.45075,0.00267636
120,-5.43578,-5.45062,0.00265696
121,-5.44479,-5.45057,0.00263544
122,-5.44454,-5.45053,0.0026143
123,-5.45927,-5.4506,0.00259401
124,-5.4524,-5.45061,0.00257314
125,-5.45923,-5.45068,0.00255347
126,-5.45663,-5.45073,0.00253364
127,-5.47359,-5.45091,0.00252008
128,-5.49784,-5.45127,0.00252693
129,-5.53183,-5.4519,0.00258336
130,-5.45633,-5.45193,0.00256371
131,-5.47858,-5.45214,0.0025522
132,-5.48591,-5.45239,0.00254565
133,-5.45063,-5.45238,0.00252655
134,-5.44893,-5.45235,0.00250782
135,-5.39177,-5.4519,0.00252908
136,-5.44278,-5.45184,0.00251137
137,-5.49605,-5.45216,0.00251369
138,-5.39634,-5.45175,0.00252781
139,-5.4314,-5.45161,0.00251386
140,-5.45003,-5.4516,0.00249593
141,-5.44751,-5.45157,0.0024784
142,-5.45855,-5.45162,0.00246143
143,-5.45688,-5.45165,0.00244449
144,-5.47025,-5.45178,0.00243092
145,-5.49478,-5.45208,0.00243218
146,-5.4584,-5.45212,0.00241591
147,-5.4133,-5.45186,0.00241386
148,-5.4821,-5.45206,0.00240618
149,-5.41997,-5.45185,0.00239965
150,-5.40211,-5.45152,0.00240646
151,-5.39519,-5.45114,0.00241926
152,-5.471,-5.45127,0.00240687
153,-5.47429,-5.45142,0.00239584
154,-5.44045,-5.45135,0.00238134
155,-5.48381,-5.45156,0.00237517
156,-5.51995,-5.452,0.00240006
157,-5.48562,-5.45222,0.0023943
158,-5.40169,-5.4519,0.00240041
159,-5.50676,-5.45224,0.00240999
160,-5.46308,-5.45231,0.00239588
161,-5.45305,-5.45231,0.002381
162,-5.40905,-5.45205,0.00238123
163,-5.41238,-5.4518,0.00237902
164,-5.45284,-5.45181,0.00236452
165,-5.42962,-5.45167,0.00235401
166,-5.4407,-5.45161,0.00234076
167,-5.46347,-5.45168,0.00232782
168,-5.46379,-5.45175,0.00231508
169,-5.41673,-5.45154,0.00231064
170,-5.44645,-5.45151,0.00229724
171,-5.46057,-5.45157,0.00228442
172,-5.4229,-5.4514,0.00227721
173,-5.46601,-5.45148,0.00226561
174,-5.40412,-5.45121,0.00226888
175,-5.42459,-5.45106,0.00226101
176,-5.47093,-5.45117,0.00225098
177,-5.45185,-5.45118,0.00223827
178,-5.45327,-5.45119,0.00222573
179,-5.44422,-5.45115,0.00221363
180,-5.42593,-5.45101,0.00220576
181,-5.45168,-5.45101,0.00219358
182,-5.47313,-5.45114,0.00218489
183,-5.4409,-5.45108,0.00217367
184,-5.46261,-5.45114,0.00216276
185,-5.46377,-5.45121,0.00215214
186,-5.39052,-5.45088,0.00216516
187,-5.38544,-5.45053,0.00218168
188,-5.46468,-5.45061,0.00217137
189,-5.48696,-5.4508,0.00216839
190,-5.49569,-5.45104,0.0021698
191,-5.42374,-5.45089,0.00216315
192,-5.48388,-5.45107,0.00215869
193,-5.45978,-5.45111,0.00214798
194,-5.45687,-5.45114,0.00213711
195,-5.45064,-5.45114,0.00212615
196,-5.42065,-5.45098,0.00212099
197,-5.4463,-5.45096,0.00211035
198,-5.44602,-5.45093,0.00209984
199,-5.42895,-5.45082,0.00209219
200,-5.46621,-5.4509,0.00208315
201,-5.40506,-5.45067,0.00208523
202,-5.45703,-5.4507,0.00207514
203,-5.4648,-5.45077,0.00206608
204,-5.42124,-5.45063,0.00206102
205,-5.44185,-5.45059,0.00205141
206,-5.4221,-5.45045,0.00204611
207,-5.42265,-5.45031,0.00204063
208,-5.44549,-5.45029,0.00203095
209,-5.43961,-5.45024,0.00202187
210,-5.43782,-5.45018,0.00201311
211,-5.42212,-5.45005,0.00200796
212,-5.41717,-5.44989,0.00200447
213,-5.43574,-5.44983,0.00199616
214,-5.47531,-5.44994,0.00199038
215,-5.46632,-5.45002,0.00198258
216,-5.43314,-5.44994,0.00197494
217,-5.42714,-5.44984,0.00196863
218,-5.48628,-5.45,0.00196668
219,-5.45529,-5.45003,0.00195785
220,-5.4662,-5.4501,0.00195033
221,-5.44215,-5.45007,0.00194183
222,-5.44724,-5.45005,0.00193313
223,-5.48134,-5.45019,0.00192955
224,-5.45368,-5.45021,0.00192099
225,-5.49509,-5.45041,0.00192279
226,-5.47149,-5.4505,0.00191654
227,-5.45352,-5.45052,0.00190814
228,-5.44675,-5.4505,0.00189984
229,-5.44848,-5.45049,0.00189157
230,-5.50572,-5.45073,0.00189853
231,-5.43208,-5.45065,0.00189203
232,-5.37025,-5.4503,0.00191535
233,-5.46543,-5.45037,0.00190823
234,-5.45769,-5.4504,0.00190033
235,-5.45725,-5.45043,0.00189247
236,-5.4069,-5.45024,0.00189342
237,-5.3779,-5.44994,0.00190987
238,-5.47882,-5.45006,0.0019057
239,-5.49163,-5.45023,0.00190565
240,-5.46566,-5.4503,0.00189879
241,-5.49534,-5.45049,0.00190008
242,-5.4626,-5.45054,0.00189289
243,-5.44319,-5.45051,0.00188534
244,-5.3887,-5.45025,0.00189455
245,-5.43965,-5.45021,0.00188732
246,-5.46701,-5.45028,0.00188088
247,-5.42457,-5.45017,0.00187614
248,-5.44675,-5.45016,0.00186863
249,-5.44644,-5.45014,0.00186118
250,-5.4163,-5.45001,0.00185865
251,-5.47842,-5.45012,0.00185469
252,-5.43402,-5.45006,0.00184843
253,-5.41366,-5.44991,0.00184671
254,-5.44665,-5.4499,0.00183949
255,-5.43989,-5.44986,0.00183269
256,-5.45646,-5.44989,0.00182572
257,-5.43028,-5.44981,0.00182021
258,-5.40715,-5.44965,0.00182065
259,-5.45465,-5.44967,0.00181372
260,-5.43597,-5.44961,0.00180751
261,-5.39002,-5.44938,0.00181495
262,-5.45717,-5.44941,0.00180826
263,-5.38769,-5.44918,0.00181655
264,-5.43626,-5.44913,0.00181033
