BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.107027,0.107027,0
2,0.0391519,0.0730893,0.0239974
3,0.0472631,0.0644806,0.0174743
4,0.0346002,0.0570105,0.0146155
5,0.0398169,0.0535718,0.0120901
6,0.0477445,0.0526006,0.010114
7,0.0440788,0.0513832,0.00874214
8,0.0158924,0.0469468,0.00870252
9,0.00475553,0.0422589,0.0089092
10,0.0375115,0.0417841,0.00803092
11,0.0509258,0.0426152,0.00734371
12,0.0202463,0.0407511,0.0069643
13,0.0215985,0.0392778,0.00658257
14,0.0149593,0.0375408,0.00633744
15,0.00279846,0.0352247,0.00632404
16,0.0314166,0.0349866,0.00593326
17,0.0078858,0.0333925,0.00579445
18,0.0419814,0.0338696,0.00549215
19,0.0373736,0.0340541,0.00520619
20,0.0263937,0.033671,0.00495995
21,0.0589955,0.034877,0.00486815
22,0.0628992,0.0361507,0.00481062
23,0.0265448,0.0357331,0.00461956
24,0.0293796,0.0354683,0.00443466
25,0.0163246,0.0347026,0.00432288
26,0.0414043,0.0349603,0.00416429
27,0.0395534,0.0351305,0.00401353
28,0.0388528,0.0352634,0.00387239
29,0.0223817,0.0348192,0.00376425
30,0.00677593,0.0338844,0.00375305
31,0.0294341,0.0337409,0.00363473
32,0.043204,0.0340366,0.00353315
33,0.0640386,0.0349457,0.00354113
34,0.0301253,0.034804,0.00343981
35,0.0350014,0.0348096,0.00334154
36,0.036288,0.0348507,0.00324897
37,0.0188948,0.0344194,0.00318965
38,0.034052,0.0344098,0.00310573
39,0.0632137,0.0351483,0.00311267
40,0.0638351,0.0358655,0.00311638
41,0.0426519,0.036031,0.00304476
42,0.0149904,0.03553,0.0030132
43,0.0310875,0.0354267,0.00294489
44,0.0363349,0.0354474,0.00287804
45,0.0302242,0.0353313,0.00281642
46,0.0375985,0.0353806,0.00275563
47,0.0288493,0.0352416,0.0027005
48,0.0269791,0.0350695,0.00264972
49,0.0251245,0.0348665,0.0026034
50,0.0228383,0.034626,0.00256242
51,0.00229642,0.033992,0.00258941
52,0.0262788,0.0338437,0.00254385
53,0.0419628,0.0339969,0.00250047
54,0.0422259,0.0341493,0.0024588
55,0.0257286,0.0339962,0.00241886
56,0.0376469,0.0340614,0.00237654
57,0.0161607,0.0337473,0.00235551
58,0.0292949,0.0336706,0.00231614
59,0.0264556,0.0335483,0.00228011
60,0.034866,0.0335702,0.00224222
61,0.0514241,0.0338629,0.00222448
62,0.010268,0.0334824,0.00222092
63,0.0231967,0.0333191,0.00219166
64,0.0135146,0.0330097,0.00217915
65,0.027513,0.0329251,0.00214726
66,0.0318409,0.0329087,0.00211479
67,0.0587367,0.0332942,0.00211807
68,0.0568936,0.0336412,0.00211516
69,0.0491151,0.0338655,0.00209636
70,0.0372005,0.0339131,0.00206696
71,0.0222744,0.0337492,0.00204434
72,0.0329162,0.0337376,0.00201597
73,0.0418797,0.0338492,0.00199144
74,0.0375452,0.0338991,0.00196516
75,0.0441717,0.0340361,0.00194372
76,0.0439493,0.0341665,0.00192252
77,0.00546863,0.0337938,0.00193334
78,0.00192475,0.0333852,0.00195125
79,0.00279144,0.032998,0.0019646
80,0.0402545,0.0330887,0.00194214
81,0.0243325,0.0329806,0.00192117
82,0.0188314,0.032808,0.00190547
83,0.0486667,0.0329991,0.00189207
84,0.0399125,0.0330814,0.00187133
85,0.0235145,0.0329688,0.0018527
86,0.0230704,0.0328537,0.00183473
87,0.031437,0.0328375,0.00181371
88,0.0471285,0.0329999,0.00180036
89,0.00918805,0.0327323,0.0017999
90,0.0268678,0.0326671,0.00178108
91,0.00519256,0.0323652,0.00178691
92,0.00190945,0.0320342,0.00179789
93,0.0390073,0.0321092,0.00178012
94,0.0312305,0.0320998,0.00176121
95,0.0389367,0.0321718,0.00174414
96,0.0448596,0.032304,0.00173097
97,0.0255553,0.0322344,0.00171453
98,0.0512288,0.0324282,0.00170795
99,0.0324928,0.0324289,0.0016907
100,0.0385014,0.0324896,0.00167488
