BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.193043e+00,1.193043e+00,0.000000e+00
2,1.097899e+00,1.145471e+00,3.363846e-02
3,1.096885e+00,1.129276e+00,2.603399e-02
4,1.112318e+00,1.125036e+00,1.986768e-02
5,1.107326e+00,1.121494e+00,1.620681e-02
6,1.128646e+00,1.122686e+00,1.354943e-02
7,1.127402e+00,1.123360e+00,1.163053e-02
8,1.094770e+00,1.119786e+00,1.071172e-02
9,1.124136e+00,1.120269e+00,9.532424e-03
10,1.124117e+00,1.120654e+00,8.586941e-03
11,1.094716e+00,1.118296e+00,8.123623e-03
12,1.115588e+00,1.118070e+00,7.449789e-03
13,1.106495e+00,1.117180e+00,6.929735e-03
14,1.101265e+00,1.116043e+00,6.527325e-03
15,1.119584e+00,1.116279e+00,6.096436e-03
16,1.085632e+00,1.114364e+00,6.008794e-03
17,1.095361e+00,1.113246e+00,5.758373e-03
18,1.106684e+00,1.112881e+00,5.449991e-03
19,1.095868e+00,1.111986e+00,5.236197e-03
20,1.102081e+00,1.111491e+00,4.997754e-03
21,1.116473e+00,1.111728e+00,4.765394e-03
22,1.110557e+00,1.111675e+00,4.549083e-03
23,1.099897e+00,1.111163e+00,4.380025e-03
24,1.108162e+00,1.111038e+00,4.199309e-03
25,1.110838e+00,1.111030e+00,4.031344e-03
26,1.088291e+00,1.110155e+00,3.970026e-03
27,1.107612e+00,1.110061e+00,3.824105e-03
28,1.068040e+00,1.108560e+00,3.971103e-03
29,1.122459e+00,1.109039e+00,3.862980e-03
30,1.092238e+00,1.108479e+00,3.774592e-03
31,1.085798e+00,1.107748e+00,3.723067e-03
32,1.119081e+00,1.108102e+00,3.623529e-03
33,1.109086e+00,1.108132e+00,3.513848e-03
34,1.119388e+00,1.108463e+00,3.426062e-03
35,1.114595e+00,1.108638e+00,3.332651e-03
36,1.097799e+00,1.108337e+00,3.253649e-03
37,1.087330e+00,1.107769e+00,3.214865e-03
38,1.117911e+00,1.108036e+00,3.141322e-03
39,1.104581e+00,1.107947e+00,3.062024e-03
40,1.082015e+00,1.107299e+00,3.053334e-03
41,1.100440e+00,1.107132e+00,2.983442e-03
42,1.097902e+00,1.106912e+00,2.920490e-03
43,1.073374e+00,1.106132e+00,2.954885e-03
44,1.102639e+00,1.106053e+00,2.888794e-03
45,1.075134e+00,1.105366e+00,2.905159e-03
46,1.125941e+00,1.105813e+00,2.876230e-03
47,1.108377e+00,1.105868e+00,2.815551e-03
48,1.134516e+00,1.106464e+00,2.819445e-03
49,1.110133e+00,1.106539e+00,2.762899e-03
50,1.103328e+00,1.106475e+00,2.708388e-03
51,1.072724e+00,1.105813e+00,2.734942e-03
52,1.090756e+00,1.105524e+00,2.697632e-03
53,1.098893e+00,1.105399e+00,2.649633e-03
54,1.108438e+00,1.105455e+00,2.601164e-03
55,1.123696e+00,1.105786e+00,2.574927e-03
56,1.093491e+00,1.105567e+00,2.538291e-03
57,1.091475e+00,1.105320e+00,2.505771e-03
58,1.094324e+00,1.105130e+00,2.469729e-03
59,1.117431e+00,1.105339e+00,2.436654e-03
60,1.092083e+00,1.105118e+00,2.406037e-03
61,1.124710e+00,1.105439e+00,2.387935e-03
62,1.115389e+00,1.105599e+00,2.354806e-03
63,1.095683e+00,1.105442e+00,2.322682e-03
64,1.094851e+00,1.105276e+00,2.292278e-03
65,1.092689e+00,1.105083e+00,2.265177e-03
66,1.110215e+00,1.105161e+00,2.232191e-03
67,1.106216e+00,1.105176e+00,2.198930e-03
68,1.106915e+00,1.105202e+00,2.166742e-03
69,1.112607e+00,1.105309e+00,2.137996e-03
70,1.086571e+00,1.105042e+00,2.124146e-03
71,1.094965e+00,1.104900e+00,2.098964e-03
72,1.098784e+00,1.104815e+00,2.071529e-03
73,1.099441e+00,1.104741e+00,2.044459e-03
74,1.095646e+00,1.104618e+00,2.020523e-03
75,1.086741e+00,1.104380e+00,2.007593e-03
76,1.073677e+00,1.103976e+00,2.021416e-03
77,1.102918e+00,1.103962e+00,1.995211e-03
78,1.110206e+00,1.104042e+00,1.971236e-03
79,1.115625e+00,1.104189e+00,1.951729e-03
80,1.078562e+00,1.103868e+00,1.953443e-03
81,1.090148e+00,1.103699e+00,1.936657e-03
82,1.085857e+00,1.103481e+00,1.925223e-03
83,1.070095e+00,1.103079e+00,1.943594e-03
84,1.086073e+00,1.102877e+00,1.930972e-03
85,1.116308e+00,1.103035e+00,1.914709e-03
