BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.81343,-3.81343,0
2,-3.81059,-3.81201,0.00100626
3,-3.81051,-3.81151,0.000785118
4,-3.81401,-3.81214,0.000799546
5,-3.81216,-3.81214,0.000639657
6,-3.81264,-3.81222,0.000538406
7,-3.81468,-3.81258,0.000564114
8,-3.81056,-3.81232,0.000547149
9,-3.8132,-3.81242,0.000494874
10,-3.81417,-3.8126,0.000475437
11,-3.81165,-3.81251,0.000439895
12,-3.80985,-3.81229,0.00045547
13,-3.81098,-3.81219,0.000431401
14,-3.809,-3.81196,0.000456712
15,-3.81028,-3.81185,0.000439849
16,-3.81161,-3.81183,0.000412612
17,-3.81075,-3.81177,0.000393252
18,-3.81267,-3.81182,0.000374565
19,-3.8137,-3.81192,0.000367724
20,-3.81478,-3.81206,0.000376211
21,-3.81244,-3.81208,0.000358726
22,-3.81394,-3.81216,0.000352226
23,-3.8129,-3.8122,0.000338352
24,-3.81299,-3.81223,0.000325884
25,-3.81249,-3.81224,0.000313015
26,-3.81159,-3.81221,0.00030196
27,-3.81347,-3.81226,0.000294345
28,-3.81316,-3.81229,0.000285572
29,-3.80883,-3.81217,0.000299665
30,-3.80969,-3.81209,0.000300932
31,-3.81255,-3.81211,0.000291583
32,-3.81452,-3.81218,0.000292071
33,-3.81257,-3.81219,0.00028346
34,-3.81091,-3.81215,0.000277638
35,-3.81143,-3.81213,0.000270471
36,-3.81297,-3.81216,0.000263965
37,-3.80975,-3.81209,0.00026472
38,-3.81217,-3.81209,0.000257761
39,-3.81175,-3.81209,0.000251304
40,-3.81315,-3.81211,0.000246426
41,-3.81036,-3.81207,0.000244077
42,-3.81026,-3.81203,0.000242023
43,-3.81219,-3.81203,0.000236422
44,-3.81297,-3.81205,0.000232017
45,-3.81015,-3.81201,0.000230688
46,-3.81205,-3.81201,0.000225675
47,-3.81129,-3.81199,0.000221394
48,-3.812,-3.81199,0.000216781
49,-3.81307,-3.81202,0.00021347
50,-3.80722,-3.81192,0.000229742
51,-3.81026,-3.81189,0.000227541
52,-3.81277,-3.81191,0.000223801
53,-3.81167,-3.8119,0.000219623
54,-3.81089,-3.81188,0.000216359
55,-3.81284,-3.8119,0.000213121
56,-3.81252,-3.81191,0.000209599
57,-3.81105,-3.8119,0.000206463
58,-3.81293,-3.81191,0.000203674
59,-3.81104,-3.8119,0.000200764
60,-3.81227,-3.8119,0.000197511
61,-3.81205,-3.81191,0.000194288
62,-3.81154,-3.8119,0.000191244
63,-3.81126,-3.81189,0.000188477
64,-3.81135,-3.81188,0.000185722
65,-3.8119,-3.81188,0.000182865
66,-3.81251,-3.81189,0.000180345
67,-3.81161,-3.81189,0.000177702
68,-3.81183,-3.81189,0.000175091
69,-3.81414,-3.81192,0.00017558
70,-3.81463,-3.81196,0.000177279
71,-3.81257,-3.81197,0.00017499
72,-3.81281,-3.81198,0.000172947
73,-3.81207,-3.81198,0.000170582
74,-3.81562,-3.81203,0.000175219
75,-3.8127,-3.81204,0.000173113
76,-3.81434,-3.81207,0.000173455
77,-3.81451,-3.8121,0.000174067
78,-3.8126,-3.81211,0.000171954
79,-3.80948,-3.81207,0.000172955
80,-3.81234,-3.81208,0.000170826
81,-3.81396,-3.8121,0.000170286
82,-3.81262,-3.81211,0.000168325
83,-3.81371,-3.81213,0.000167398
84,-3.81249,-3.81213,0.000165463
85,-3.81159,-3.81212,0.00016364
86,-3.81008,-3.8121,0.000163452
87,-3.8128,-3.81211,0.000161773
88,-3.81396,-3.81213,0.000161302
89,-3.8107,-3.81211,0.00016029
90,-3.81142,-3.81211,0.000158694
91,-3.80857,-3.81207,0.000161627
92,-3.81323,-3.81208,0.000160365
93,-3.81295,-3.81209,0.000158912
94,-3.81347,-3.8121,0.000157895
95,-3.81159,-3.8121,0.000156324
96,-3.81231,-3.8121,0.000154712
97,-3.81069,-3.81209,0.000153798
98,-3.81449,-3.81211,0.000154177
99,-3.81184,-3.81211,0.000152644
100,-3.81141,-3.8121,0.000151276
