#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.640085    0.640085           0
           2    0.610455     0.62527   0.0104758
           3    0.610621    0.620387  0.00804179
           4    0.601161    0.615581  0.00732828
           5    0.571549    0.606774  0.00981895
           6    0.553263    0.597856   0.0115428
           7     0.56145    0.592655   0.0110032
           8    0.566381    0.589371   0.0101061
           9    0.565041    0.586667  0.00933774
          10    0.562675    0.584268  0.00870674
          11    0.572243    0.583175  0.00798355
          12    0.554862    0.580816  0.00765897
          13    0.567924    0.579824  0.00713373
          14    0.573146    0.579347  0.00664011
          15    0.568387    0.578616   0.0062375
          16    0.523702    0.575184  0.00672595
          17    0.550438    0.573728  0.00648591
          18    0.579801    0.574066  0.00613435
          19    0.554611    0.573042  0.00589633
          20    0.564796     0.57263  0.00561591
          21    0.578737    0.572921  0.00535601
          22    0.567939    0.572694  0.00511734
          23    0.579677    0.572998  0.00490384
          24      0.5622    0.572548  0.00472011
          25    0.582261    0.572936  0.00454727
          26    0.579841    0.573202  0.00438012
          27    0.564191    0.572868  0.00423059
          28    0.550655    0.572075  0.00415321
          29    0.554908    0.571483  0.00405196
          30    0.555871    0.570962  0.00395017
          31    0.544393    0.570105  0.00391462
          32    0.559906    0.569787  0.00380525
          33    0.556563    0.569386  0.00371097
          34      0.5614    0.569151  0.00360925
          35    0.561282    0.568926  0.00351313
          36    0.567102    0.568876   0.0034159
          37    0.568202    0.568857  0.00332363
          38    0.569739    0.568881  0.00323625
          39    0.561694    0.568696  0.00315851
          40    0.558432     0.56844  0.00308995
          41    0.551326    0.568022  0.00304265
          42    0.573628    0.568156  0.00297313
          43    0.552943    0.567802  0.00292496
          44    0.581487    0.568113  0.00287498
          45    0.543729    0.567571   0.0028617
          46    0.567364    0.567567  0.00279949
          47    0.548993    0.567171  0.00276768
          48    0.547662    0.566765   0.0027397
          49    0.574993    0.566933  0.00268893
          50    0.566166    0.566918  0.00263519
          51    0.549028    0.566567  0.00260676
          52    0.557571    0.566394  0.00256237
          53     0.56513     0.56637  0.00251413
          54    0.554086    0.566142  0.00247784
          55    0.560841    0.566046  0.00243467
          56    0.534417    0.565481  0.00245583
          57    0.548377    0.565181  0.00243101
          58    0.534785    0.564657  0.00244493
          59    0.555787    0.564507  0.00240811
          60    0.565699    0.564527  0.00236806
          61    0.554824    0.564368  0.00233457
          62    0.550674    0.564147  0.00230734
          63    0.579203    0.564386  0.00228306
          64    0.553587    0.564217  0.00225361
          65    0.573251    0.564356  0.00222322
          66    0.577493    0.564555  0.00219843
          67    0.572817    0.564678  0.00216907
          68    0.550692    0.564473  0.00214691
          69    0.534159    0.564033  0.00216028
          70    0.554442    0.563896  0.00213376
          71    0.564153      0.5639  0.00210371
          72    0.575929    0.564067  0.00208111
          73    0.561786    0.564036  0.00205284
          74    0.566626    0.564071  0.00202539
          75    0.565871    0.564095  0.00199853
          76    0.556057    0.563989  0.00197503
          77    0.549197    0.563797   0.0019587
          78    0.559225    0.563738  0.00193447
          79    0.552289    0.563593   0.0019154
          80    0.562739    0.563583  0.00189149
          81    0.552106    0.563441  0.00187344
          82    0.572059    0.563546  0.00185353
          83    0.539369    0.563255  0.00185395
          84    0.562623    0.563247  0.00183189
          85    0.580574    0.563451  0.00182165
          86    0.560982    0.563422  0.00180069
          87    0.571721    0.563518  0.00178252
          88    0.549602     0.56336  0.00176926
          89    0.593097    0.563694  0.00178065
          90    0.564706    0.563705  0.00176091
          91    0.567224    0.563744  0.00174198
          92    0.555907    0.563658  0.00172513
          93    0.581766    0.563853  0.00171753
          94    0.559802     0.56381   0.0016998
          95    0.561505    0.563786  0.00168208
          96     0.57982    0.563953  0.00167283
          97    0.554155    0.563852  0.00165863
          98    0.540751    0.563616  0.00165837
          99    0.553574    0.563515  0.00164472
         100    0.555308    0.563433  0.00163032
