BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.6393,1.6393,0
2,1.64061,1.63995,0.000460211
3,1.59622,1.62538,0.011906
4,1.62671,1.62571,0.00893417
5,1.66503,1.63357,0.0100277
6,1.68194,1.64164,0.0111348
7,1.6826,1.64749,0.0109747
8,1.65758,1.64875,0.00967511
9,1.67225,1.65136,0.00894561
10,1.68571,1.6548,0.00868558
11,1.67091,1.65626,0.00801865
12,1.70265,1.66013,0.00822974
13,1.66728,1.66068,0.00761506
14,1.66418,1.66093,0.00707524
15,1.63196,1.659,0.00686207
16,1.61315,1.65613,0.00700598
17,1.64994,1.65577,0.00660332
18,1.65077,1.65549,0.00624231
19,1.64929,1.65516,0.0059223
20,1.64545,1.65468,0.00564606
21,1.64826,1.65437,0.00538546
22,1.61499,1.65258,0.00542997
23,1.64975,1.65246,0.00519527
24,1.63425,1.6517,0.00503389
25,1.68946,1.65321,0.00505401
26,1.62896,1.65228,0.00494493
27,1.62237,1.65117,0.0048843
28,1.62619,1.65028,0.00479061
29,1.63747,1.64984,0.00464572
30,1.63389,1.6493,0.00452116
31,1.64853,1.64928,0.00437539
32,1.57723,1.64703,0.00478302
33,1.64281,1.6469,0.00463978
34,1.61253,1.64589,0.00461211
35,1.67126,1.64661,0.00453692
36,1.67026,1.64727,0.00445817
37,1.64397,1.64718,0.00433857
38,1.66454,1.64764,0.00424839
39,1.65118,1.64773,0.00414043
40,1.64018,1.64754,0.00404122
41,1.68813,1.64853,0.00406209
42,1.65001,1.64857,0.00396552
43,1.68315,1.64937,0.00395401
44,1.64901,1.64936,0.00386416
45,1.67646,1.64996,0.00382492
46,1.65722,1.65012,0.00374502
47,1.62297,1.64954,0.00370961
48,1.65437,1.64964,0.00363369
49,1.64775,1.64961,0.00355974
50,1.62946,1.6492,0.00351126
51,1.64121,1.64905,0.00344592
52,1.60741,1.64825,0.00347141
53,1.64283,1.64814,0.00340742
54,1.74208,1.64988,0.00376224
55,1.61597,1.64927,0.00374403
56,1.61767,1.6487,0.00371944
57,1.64053,1.64856,0.00365695
58,1.63067,1.64825,0.00360688
59,1.63058,1.64795,0.00355816
