#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.7941      1.7941           0
           2     1.63834     1.71622    0.055069
           3     1.72484     1.71909   0.0367876
           4     1.66382     1.70527   0.0300744
           5     1.64319     1.69286   0.0264995
           6     1.64181     1.68435   0.0234091
           7      1.6357      1.6774   0.0210713
           8     1.64785     1.67371   0.0187583
           9     1.67319     1.67365   0.0166741
          10     1.63836     1.67012   0.0153756
          11     1.63504     1.66693   0.0143047
          12     1.67804     1.66786   0.0131426
          13     1.67306     1.66826   0.0121377
          14      1.6269      1.6653   0.0116247
          15     1.61582       1.662    0.011308
          16     1.63442     1.66028   0.0107319
          17     1.61577     1.65766   0.0104151
          18     1.63445     1.65637  0.00991592
          19     1.65253     1.65617  0.00939609
          20     1.68086     1.65741  0.00900699
          21     1.62304     1.65577  0.00872549
          22     1.66853     1.65635  0.00834814
          23     1.64598      1.6559  0.00799734
          24     1.63742     1.65513  0.00770108
          25     1.67552     1.65594  0.00743612
          26     1.71193      1.6581  0.00745539
          27     1.60413      1.6561  0.00744236
          28     1.65572     1.65609  0.00717657
          29     1.65549     1.65606  0.00692913
          30     1.60262     1.65428  0.00692337
          31     1.64537       1.654    0.006706
          32     1.69647     1.65532  0.00662647
          33     1.61891     1.65422  0.00651689
          34     1.63985      1.6538   0.0063389
          35     1.63972     1.65339  0.00617054
          36     1.66347     1.65367  0.00600548
          37     1.62049     1.65278  0.00590975
          38     1.69277     1.65383  0.00584719
          39     1.68501     1.65463  0.00575166
          40     1.67228     1.65507  0.00562477
          41     1.64842     1.65491  0.00548992
          42     1.62837     1.65428  0.00539544
          43     1.65736     1.65435  0.00527045
          44     1.67647     1.65485  0.00517458
          45     1.63887      1.6545  0.00507175
          46     1.63713     1.65412  0.00497553
          47     1.65373     1.65411  0.00486967
          48     1.64831     1.65399  0.00476972
          49     1.63926     1.65369  0.00468184
          50     1.66023     1.65382  0.00459003
          51     1.65861     1.65391  0.00450099
          52     1.67247     1.65427  0.00442855
          53     1.66825     1.65453  0.00435285
          54       1.669      1.6548  0.00428047
          55     1.63363     1.65442  0.00421992
          56     1.65685     1.65446  0.00414479
          57     1.67925      1.6549  0.00409484
          58     1.62103     1.65431  0.00406564
          59     1.68338      1.6548  0.00402647
          60     1.65471      1.6548  0.00395936
          61     1.70272     1.65559   0.0039716
          62     1.69815     1.65627  0.00396644
          63     1.61223     1.65558  0.00396461
          64     1.70873     1.65641  0.00398871
          65     1.65167     1.65633  0.00392801
          66     1.65164     1.65626  0.00386914
          67     1.63649     1.65597  0.00382263
          68     1.63886     1.65572  0.00377468
          69     1.66215     1.65581  0.00372113
          70     1.62734      1.6554  0.00369012
          71     1.59166      1.6545  0.00374578
          72     1.62953     1.65416  0.00370978
          73     1.64017     1.65397   0.0036639
          74     1.66431     1.65411  0.00361705
          75     1.64033     1.65392  0.00357349
          76     1.66577     1.65408  0.00352987
          77     1.60831     1.65348  0.00353371
          78     1.62871     1.65317  0.00350266
          79     1.61745     1.65271  0.00348737
          80     1.68912     1.65317  0.00347333
          81      1.5906      1.6524  0.00351531
          82     1.62404     1.65205  0.00348941
          83     1.64455     1.65196  0.00344854
          84     1.69411     1.65246   0.0034438
          85     1.62678     1.65216  0.00341651
          86     1.70752      1.6528  0.00343689
          87     1.63958     1.65265  0.00340075
          88     1.68002     1.65296  0.00337629
          89     1.67882     1.65325  0.00335084
          90     1.67205     1.65346  0.00332011
          91     1.58956     1.65276  0.00335707
          92     1.63038     1.65252  0.00332938
          93     1.64561     1.65244  0.00329441
          94     1.63541     1.65226  0.00326434
          95     1.63834     1.65211  0.00323326
          96      1.6128     1.65171  0.00322541
          97     1.64446     1.65163  0.00319303
          98     1.59026       1.651  0.00322127
          99     1.59024     1.65039  0.00324668
         100     1.62397     1.65013  0.00322494
