BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.44363,-5.44363,0
2,-5.436,-5.43981,0.00269715
3,-5.46193,-5.44718,0.00628103
4,-5.46365,-5.4513,0.00590708
5,-5.41766,-5.44457,0.00765188
6,-5.45535,-5.44637,0.00658397
7,-5.48734,-5.45222,0.00782367
8,-5.44522,-5.45134,0.00689448
9,-5.44786,-5.45096,0.00613928
10,-5.46174,-5.45204,0.00561921
11,-5.46854,-5.45354,0.00530481
12,-5.42851,-5.45145,0.00525663
13,-5.47077,-5.45294,0.00505797
14,-5.50373,-5.45656,0.00585515
15,-5.4719,-5.45759,0.00555335
16,-5.49884,-5.46017,0.00577394
17,-5.43799,-5.45886,0.00557966
18,-5.4636,-5.45912,0.00527589
19,-5.46717,-5.45955,0.00501516
20,-5.45218,-5.45918,0.00477793
21,-5.48703,-5.46051,0.00473088
22,-5.42542,-5.45891,0.00477714
23,-5.4339,-5.45782,0.00469155
24,-5.41963,-5.45623,0.00475832
25,-5.4156,-5.45461,0.00483757
26,-5.47136,-5.45525,0.00469423
27,-5.45653,-5.4553,0.00452061
28,-5.46829,-5.45576,0.00438289
29,-5.4256,-5.45472,0.00435341
30,-5.46788,-5.45516,0.00423032
31,-5.45484,-5.45515,0.00409387
32,-5.45412,-5.45512,0.00396607
33,-5.48186,-5.45593,0.0039278
34,-5.46199,-5.45611,0.00381632
35,-5.44827,-5.45588,0.00371385
36,-5.39576,-5.45421,0.00396846
37,-5.49121,-5.45521,0.0039852
38,-5.46891,-5.45557,0.00389659
39,-5.4537,-5.45552,0.00379697
40,-5.50296,-5.45671,0.00388279
41,-5.46754,-5.45697,0.00379706
42,-5.47584,-5.45742,0.00373314
43,-5.45463,-5.45736,0.00364688
44,-5.43476,-5.45685,0.00359999
45,-5.42647,-5.45617,0.00358272
46,-5.44451,-5.45592,0.0035138
47,-5.44016,-5.45558,0.003455
48,-5.45506,-5.45557,0.00338304
49,-5.45055,-5.45547,0.00331555
50,-5.48146,-5.45599,0.00328973
51,-5.3984,-5.45486,0.0034135
52,-5.48867,-5.45551,0.00340922
53,-5.46258,-5.45564,0.00334751
54,-5.47918,-5.45608,0.00331377
55,-5.47069,-5.45634,0.00326416
56,-5.459,-5.45639,0.00320621
57,-5.41134,-5.4556,0.00324593
58,-5.4311,-5.45518,0.00321733
59,-5.44618,-5.45503,0.00316641
60,-5.41542,-5.45437,0.00318169
61,-5.47697,-5.45474,0.00315104
62,-5.47163,-5.45501,0.00311197
63,-5.44096,-5.45479,0.00307055
64,-5.45096,-5.45473,0.00302316
65,-5.45838,-5.45478,0.00297717
66,-5.45376,-5.45477,0.0029321
67,-5.44929,-5.45469,0.00288948
68,-5.44965,-5.45461,0.00284793
69,-5.46936,-5.45483,0.00281467
70,-5.45453,-5.45482,0.00277446
71,-5.45532,-5.45483,0.0027354
72,-5.49397,-5.45537,0.00275088
73,-5.44779,-5.45527,0.00271516
74,-5.44418,-5.45512,0.0026826
75,-5.47922,-5.45544,0.00266601
76,-5.44202,-5.45526,0.00263677
77,-5.49353,-5.45576,0.00264894
78,-5.49417,-5.45625,0.00266036
79,-5.48095,-5.45656,0.00264498
80,-5.46714,-5.4567,0.00261522
81,-5.4529,-5.45665,0.00258335
82,-5.43187,-5.45635,0.00256947
83,-5.43301,-5.45607,0.00255385
84,-5.46696,-5.4562,0.00252673
85,-5.47495,-5.45642,0.00250662
86,-5.44073,-5.45623,0.0024841
87,-5.44303,-5.45608,0.00246018
88,-5.47836,-5.45634,0.00244521
89,-5.45668,-5.45634,0.00241774
90,-5.45205,-5.45629,0.00239135
91,-5.47787,-5.45653,0.0023768
92,-5.49893,-5.45699,0.00239523
93,-5.41769,-5.45657,0.00240647
94,-5.43983,-5.45639,0.00238745
95,-5.47488,-5.45658,0.00237024
96,-5.50925,-5.45713,0.0024082
97,-5.46901,-5.45725,0.00238649
98,-5.49188,-5.45761,0.00238815
99,-5.45842,-5.45762,0.00236404
100,-5.48632,-5.4579,0.00235775
