BLOCK,ACTUAL_P,P_AVE,ERROR
1,3.050333e-02,3.050333e-02,0.000000e+00
2,3.260254e-02,3.155293e-02,7.421829e-04
3,1.048788e-02,2.453125e-02,5.754490e-03
4,2.472247e-02,2.457905e-02,4.316066e-03
5,4.409629e-02,2.848250e-02,4.910368e-03
6,5.252507e-02,3.248960e-02,5.488617e-03
7,5.151013e-02,3.520681e-02,5.334896e-03
8,4.048024e-02,3.586599e-02,4.708582e-03
9,4.963529e-02,3.739591e-02,4.426987e-03
10,5.598156e-02,3.925448e-02,4.356993e-03
11,4.637808e-02,3.990208e-02,4.008742e-03
12,6.076936e-02,4.164102e-02,4.034252e-03
13,4.474462e-02,4.187976e-02,3.730983e-03
14,4.242255e-02,4.191853e-02,3.464685e-03
15,2.833384e-02,4.101288e-02,3.349981e-03
16,1.854963e-02,3.960893e-02,3.422178e-03
17,3.699089e-02,3.945493e-02,3.224337e-03
18,3.636378e-02,3.928320e-02,3.049777e-03
19,3.479103e-02,3.904677e-02,2.898412e-03
20,3.393926e-02,3.879139e-02,2.764719e-03
21,3.521659e-02,3.862116e-02,2.638301e-03
22,1.797584e-02,3.768274e-02,2.680082e-03
23,3.708719e-02,3.765685e-02,2.563682e-03
24,2.937694e-02,3.731185e-02,2.479966e-03
25,5.516885e-02,3.802613e-02,2.481500e-03
26,2.747492e-02,3.762031e-02,2.419013e-03
27,2.147562e-02,3.702236e-02,2.402187e-03
28,2.308535e-02,3.652461e-02,2.367402e-03
29,2.956455e-02,3.628461e-02,2.297900e-03
30,2.845495e-02,3.602362e-02,2.236076e-03
31,3.545691e-02,3.600534e-02,2.164019e-03
32,1.640192e-03,3.493143e-02,2.347788e-03
33,3.208716e-02,3.484524e-02,2.278225e-03
34,1.790248e-02,3.434692e-02,2.265061e-03
35,4.692878e-02,3.470640e-02,2.228688e-03
36,4.589584e-02,3.501722e-02,2.188347e-03
37,3.254878e-02,3.495051e-02,2.130219e-03
38,4.278050e-02,3.515656e-02,2.084102e-03
39,3.747373e-02,3.521597e-02,2.031510e-03
40,3.125462e-02,3.511694e-02,1.983135e-03
41,5.477171e-02,3.559633e-02,1.991864e-03
42,3.733564e-02,3.563774e-02,1.944870e-03
43,5.210418e-02,3.602068e-02,1.936973e-03
44,3.612915e-02,3.602314e-02,1.892953e-03
45,4.851213e-02,3.630068e-02,1.871122e-03
46,3.825659e-02,3.634320e-02,1.830928e-03
47,2.196071e-02,3.603719e-02,1.817365e-03
48,3.911442e-02,3.610129e-02,1.780633e-03
49,3.420236e-02,3.606254e-02,1.744715e-03
50,2.547604e-02,3.585081e-02,1.722620e-03
