#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.960658    0.960658           0
           2    0.885726    0.923192   0.0264927
           3    0.928346     0.92491   0.0177174
           4    0.899075    0.918451   0.0144173
           5    0.888504    0.912462   0.0127172
           6    0.888668    0.908496    0.011199
           7    0.884595    0.905082   0.0101062
           8    0.891511    0.903385  0.00898418
           9    0.905222    0.903589  0.00798826
          10    0.888093     0.90204   0.0073382
          11    0.884566    0.900451  0.00684087
          12    0.905686    0.900887  0.00628469
          13    0.903056    0.901054  0.00580347
          14    0.880564    0.899591  0.00557044
          15    0.874225      0.8979  0.00544971
          16    0.883931    0.897027  0.00517857
          17    0.874321    0.895691  0.00504324
          18    0.884019    0.895043  0.00480457
          19    0.892889    0.894929  0.00455303
          20    0.905852    0.895475  0.00435802
          21    0.878591    0.894671  0.00422401
          22    0.900541    0.894938  0.00404042
          23    0.890335    0.894738  0.00386971
          24    0.885335    0.894346  0.00372825
          25    0.904038    0.894734  0.00359921
          26    0.921914    0.895779   0.0036094
          27    0.868804     0.89478  0.00361135
          28    0.894637    0.894775  0.00348238
          29    0.895809    0.894811  0.00336248
          30    0.868979     0.89395  0.00335883
          31    0.889765    0.893815   0.0032532
          32    0.914276    0.894454  0.00321376
          33    0.875982    0.893894  0.00316475
          34    0.886586    0.893679  0.00307896
          35    0.887442    0.893501  0.00299614
          36    0.899529    0.893669  0.00291759
          37    0.876756    0.893211  0.00287432
          38    0.913289     0.89374  0.00284683
          39    0.908413    0.894116  0.00279859
          40    0.901647    0.894304  0.00273495
          41     0.89123    0.894229  0.00266927
          42    0.880306    0.893898  0.00262622
          43    0.895557    0.893936  0.00256543
          44    0.906214    0.894215  0.00252225
          45     0.88788    0.894075  0.00247013
          46     0.88616    0.893903  0.00242241
          47    0.893003    0.893883  0.00237095
          48    0.891504    0.893834  0.00232207
          49    0.886499    0.893684   0.0022795
          50    0.896248    0.893735  0.00223449
          51    0.895119    0.893763  0.00219084
          52    0.903132    0.893943  0.00215611
          53     0.90056    0.894068  0.00211904
          54    0.901223      0.8942  0.00208393
          55    0.883083    0.893998  0.00205582
          56    0.895907    0.894032   0.0020194
          57    0.906204    0.894246  0.00199523
          58    0.878237     0.89397  0.00197982
          59    0.908662    0.894219  0.00196187
          60    0.892975    0.894198  0.00192928
          61    0.916993    0.894572   0.0019335
          62    0.916472    0.894925  0.00193431
          63    0.874483      0.8946  0.00193063
          64    0.920945    0.895012  0.00194385
          65    0.893912    0.894995  0.00191402
          66    0.893626    0.894974  0.00188513
          67    0.886269    0.894844  0.00186147
          68    0.886071    0.894715  0.00183856
          69     0.89735    0.894754  0.00181231
          70    0.879755    0.894539  0.00179904
          71    0.864041     0.89411  0.00182427
          72    0.881546    0.893935  0.00180725
          73    0.886789    0.893837  0.00178515
          74    0.897561    0.893888  0.00176173
          75    0.887576    0.893804  0.00174025
          76    0.900698    0.893894  0.00171972
          77    0.872011     0.89361   0.0017207
          78    0.882357    0.893466  0.00170468
          79    0.874561    0.893227  0.00169982
          80    0.910379    0.893441  0.00169204
          81    0.862309    0.893057  0.00171424
          82    0.879265    0.892888  0.00170157
          83    0.888638    0.892837  0.00168184
          84    0.914836    0.893099  0.00168208
          85    0.879373    0.892938  0.00167003
          86    0.919401    0.893245  0.00167872
          87    0.886488    0.893168  0.00166122
          88    0.907413    0.893329  0.00165021
          89    0.906293    0.893475  0.00163808
          90    0.901565    0.893565  0.00162235
          91     0.86233    0.893222  0.00164043
          92    0.881519    0.893095  0.00162752
          93    0.889604    0.893057  0.00161045
          94    0.884611    0.892967  0.00159582
          95    0.886173    0.892896  0.00158063
          96    0.872583    0.892684  0.00157826
          97    0.888734    0.892643  0.00156252
          98    0.863308    0.892344  0.00157498
          99    0.862826    0.892046  0.00158705
         100    0.879039    0.891916   0.0015765
