BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.092869e+00,1.092869e+00,0.000000e+00
2,1.093737e+00,1.093303e+00,3.068073e-04
3,1.064149e+00,1.083585e+00,7.937360e-03
4,1.084472e+00,1.083807e+00,5.956114e-03
5,1.110019e+00,1.089049e+00,6.685117e-03
6,1.121295e+00,1.094424e+00,7.423233e-03
7,1.121733e+00,1.098325e+00,7.316480e-03
8,1.105053e+00,1.099166e+00,6.450074e-03
9,1.114835e+00,1.100907e+00,5.963741e-03
10,1.123808e+00,1.103197e+00,5.790390e-03
11,1.113943e+00,1.104174e+00,5.345765e-03
12,1.135101e+00,1.106751e+00,5.486494e-03
13,1.111521e+00,1.107118e+00,5.076710e-03
14,1.109453e+00,1.107285e+00,4.716825e-03
15,1.087972e+00,1.105997e+00,4.574715e-03
16,1.075432e+00,1.104087e+00,4.670650e-03
17,1.099959e+00,1.103844e+00,4.402214e-03
18,1.100510e+00,1.103659e+00,4.161541e-03
19,1.099524e+00,1.103441e+00,3.948199e-03
20,1.096966e+00,1.103118e+00,3.764041e-03
21,1.098841e+00,1.102914e+00,3.590305e-03
22,1.076662e+00,1.101721e+00,3.619977e-03
23,1.099835e+00,1.101639e+00,3.463516e-03
24,1.089501e+00,1.101133e+00,3.355925e-03
25,1.126304e+00,1.102140e+00,3.369339e-03
26,1.085974e+00,1.101518e+00,3.296620e-03
27,1.081577e+00,1.100780e+00,3.256203e-03
28,1.084130e+00,1.100185e+00,3.193742e-03
29,1.091649e+00,1.099891e+00,3.097148e-03
30,1.089261e+00,1.099536e+00,3.014110e-03
31,1.099019e+00,1.099520e+00,2.916926e-03
32,1.051486e+00,1.098018e+00,3.188680e-03
33,1.095210e+00,1.097933e+00,3.093189e-03
34,1.075022e+00,1.097260e+00,3.074737e-03
35,1.114171e+00,1.097743e+00,3.024614e-03
36,1.113504e+00,1.098181e+00,2.972116e-03
37,1.095980e+00,1.098121e+00,2.892383e-03
38,1.109696e+00,1.098426e+00,2.832262e-03
39,1.100784e+00,1.098486e+00,2.760285e-03
40,1.093451e+00,1.098360e+00,2.694147e-03
41,1.125418e+00,1.099020e+00,2.708057e-03
42,1.100003e+00,1.099044e+00,2.643680e-03
43,1.122099e+00,1.099580e+00,2.636008e-03
44,1.099341e+00,1.099574e+00,2.576105e-03
45,1.117639e+00,1.099976e+00,2.549944e-03
46,1.104816e+00,1.100081e+00,2.496681e-03
47,1.081983e+00,1.099696e+00,2.473076e-03
48,1.102913e+00,1.099763e+00,2.422461e-03
49,1.098502e+00,1.099737e+00,2.373160e-03
50,1.086309e+00,1.099469e+00,2.340843e-03
51,1.094138e+00,1.099364e+00,2.297277e-03
52,1.071609e+00,1.098830e+00,2.314274e-03
53,1.095218e+00,1.098762e+00,2.271611e-03
54,1.161386e+00,1.099922e+00,2.508157e-03
55,1.077311e+00,1.099511e+00,2.496018e-03
56,1.078446e+00,1.099135e+00,2.479629e-03
57,1.093686e+00,1.099039e+00,2.437968e-03
58,1.087115e+00,1.098834e+00,2.404587e-03
59,1.087051e+00,1.098634e+00,2.372109e-03
60,1.086604e+00,1.098433e+00,2.341031e-03
61,1.088602e+00,1.098272e+00,2.308195e-03
62,1.128663e+00,1.098762e+00,2.322430e-03
63,1.107069e+00,1.098894e+00,2.289305e-03
64,1.096941e+00,1.098864e+00,2.253738e-03
65,1.081943e+00,1.098603e+00,2.234049e-03
66,1.065866e+00,1.098107e+00,2.254591e-03
67,1.064365e+00,1.097604e+00,2.276493e-03
68,1.063075e+00,1.097096e+00,2.298948e-03
69,1.091710e+00,1.097018e+00,2.266955e-03
70,1.114470e+00,1.097267e+00,2.248238e-03
71,1.125484e+00,1.097665e+00,2.251425e-03
72,1.104714e+00,1.097763e+00,2.222283e-03
73,1.094288e+00,1.097715e+00,2.192351e-03
74,1.110547e+00,1.097888e+00,2.169572e-03
75,1.097700e+00,1.097886e+00,2.140646e-03
76,1.120953e+00,1.098189e+00,2.133889e-03
77,1.103148e+00,1.098254e+00,2.107148e-03
78,1.085179e+00,1.098086e+00,2.086790e-03
79,1.081735e+00,1.097879e+00,2.070613e-03
80,1.109257e+00,1.098021e+00,2.049610e-03
81,1.080344e+00,1.097803e+00,2.035891e-03
82,1.107733e+00,1.097924e+00,2.014662e-03
83,1.095594e+00,1.097896e+00,1.990584e-03
84,1.073827e+00,1.097610e+00,1.987404e-03
85,1.071193e+00,1.097299e+00,1.988173e-03
86,1.127143e+00,1.097646e+00,1.995110e-03
87,1.074897e+00,1.097384e+00,1.989239e-03
88,1.115547e+00,1.097591e+00,1.977312e-03
89,1.102410e+00,1.097645e+00,1.955837e-03
90,1.091131e+00,1.097573e+00,1.935444e-03
91,1.094634e+00,1.097540e+00,1.914445e-03
92,1.102560e+00,1.097595e+00,1.894413e-03
93,1.116991e+00,1.097803e+00,1.885488e-03
94,1.079616e+00,1.097610e+00,1.875331e-03
95,1.122905e+00,1.097876e+00,1.874397e-03
96,1.122376e+00,1.098131e+00,1.872165e-03
97,1.080496e+00,1.097950e+00,1.861671e-03
98,1.094784e+00,1.097917e+00,1.842955e-03
99,1.115130e+00,1.098091e+00,1.832522e-03
100,1.081280e+00,1.097923e+00,1.821892e-03
101,1.098483e+00,1.097929e+00,1.803862e-03
102,1.094960e+00,1.097899e+00,1.786412e-03
103,1.098337e+00,1.097904e+00,1.769073e-03
104,1.101479e+00,1.097938e+00,1.752397e-03
105,1.075941e+00,1.097729e+00,1.748185e-03
106,1.117006e+00,1.097910e+00,1.741126e-03
107,1.103465e+00,1.097962e+00,1.725628e-03
108,1.106975e+00,1.098046e+00,1.711666e-03
109,1.076721e+00,1.097850e+00,1.707107e-03
110,1.080033e+00,1.097688e+00,1.699255e-03
111,1.106656e+00,1.097769e+00,1.685866e-03
112,1.102030e+00,1.097807e+00,1.671242e-03
113,1.093292e+00,1.097767e+00,1.656930e-03
114,1.105798e+00,1.097838e+00,1.643893e-03
115,1.121839e+00,1.098046e+00,1.642794e-03
116,1.086699e+00,1.097948e+00,1.631541e-03
117,1.115680e+00,1.098100e+00,1.624620e-03
118,1.107888e+00,1.098183e+00,1.612968e-03
119,1.065240e+00,1.097906e+00,1.622996e-03
120,1.104207e+00,1.097959e+00,1.610320e-03
121,1.095945e+00,1.097942e+00,1.597098e-03
122,1.123047e+00,1.098148e+00,1.597209e-03
123,1.083816e+00,1.098031e+00,1.588467e-03
124,1.056355e+00,1.097695e+00,1.610822e-03
125,1.101486e+00,1.097725e+00,1.598221e-03
126,1.114410e+00,1.097858e+00,1.591013e-03
127,1.143613e+00,1.098218e+00,1.618762e-03
128,1.062446e+00,1.097939e+00,1.630062e-03
129,1.102077e+00,1.097971e+00,1.617742e-03
130,1.083300e+00,1.097858e+00,1.609229e-03
131,1.113581e+00,1.097978e+00,1.601414e-03
132,1.056981e+00,1.097667e+00,1.619120e-03
133,1.088137e+00,1.097596e+00,1.608531e-03
134,1.086285e+00,1.097511e+00,1.598740e-03
135,1.091493e+00,1.097467e+00,1.587519e-03
136,1.095742e+00,1.097454e+00,1.575896e-03
137,1.083559e+00,1.097353e+00,1.567654e-03
138,1.110604e+00,1.097449e+00,1.559232e-03
139,1.090273e+00,1.097397e+00,1.548869e-03
140,1.116940e+00,1.097537e+00,1.544083e-03
141,1.107936e+00,1.097610e+00,1.534893e-03
142,1.099347e+00,1.097623e+00,1.524133e-03
143,1.100333e+00,1.097642e+00,1.513592e-03
144,1.116527e+00,1.097773e+00,1.508752e-03
145,1.117654e+00,1.097910e+00,1.504564e-03
146,1.091540e+00,1.097866e+00,1.494891e-03
147,1.093732e+00,1.097838e+00,1.484987e-03
148,1.145855e+00,1.098162e+00,1.509979e-03
149,1.131593e+00,1.098387e+00,1.516422e-03
150,1.111330e+00,1.098473e+00,1.508766e-03
151,1.087378e+00,1.098400e+00,1.500562e-03
152,1.080457e+00,1.098282e+00,1.495326e-03
153,1.108814e+00,1.098350e+00,1.487136e-03
154,1.126908e+00,1.098536e+00,1.488996e-03
155,1.124687e+00,1.098705e+00,1.488917e-03
156,1.121442e+00,1.098850e+00,1.486490e-03
157,1.070699e+00,1.098671e+00,1.487797e-03
158,1.113606e+00,1.098766e+00,1.481380e-03
159,1.108619e+00,1.098828e+00,1.473358e-03
160,1.111456e+00,1.098906e+00,1.466263e-03
161,1.097938e+00,1.098900e+00,1.457168e-03
162,1.119502e+00,1.099028e+00,1.453711e-03
163,1.085575e+00,1.098945e+00,1.447134e-03
164,1.096630e+00,1.098931e+00,1.438379e-03
165,1.113620e+00,1.099020e+00,1.432414e-03
166,1.089592e+00,1.098963e+00,1.424910e-03
167,1.101119e+00,1.098976e+00,1.416436e-03
168,1.092722e+00,1.098939e+00,1.408494e-03
169,1.102150e+00,1.098958e+00,1.400288e-03
170,1.118127e+00,1.099071e+00,1.396584e-03
