#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19607     1.19607           0
           2     1.09223     1.14415   0.0367126
           3      1.1499     1.14606   0.0245251
           4     1.10921     1.13685   0.0200496
           5     1.09546     1.12857   0.0176663
           6     1.09454      1.1229   0.0156061
           7     1.09047     1.11827   0.0140475
           8     1.09857      1.1158   0.0125055
           9     1.11546     1.11577   0.0111161
          10     1.09224     1.11341   0.0102504
          11     1.09003     1.11129  0.00953649
          12     1.11869      1.1119  0.00876174
          13     1.11538     1.11217  0.00809183
          14      1.0846      1.1102  0.00774977
          15     1.07721       1.108  0.00753869
          16     1.08961     1.10685  0.00715459
          17     1.07718     1.10511  0.00694337
          18     1.08964     1.10425  0.00661062
          19     1.10169     1.10411  0.00626406
          20     1.12057     1.10494  0.00600466
          21     1.08203     1.10385  0.00581699
          22     1.11235     1.10423  0.00556543
          23     1.09732     1.10393  0.00533156
          24     1.09161     1.10342  0.00513406
          25     1.11702     1.10396  0.00495741
          26     1.14129      1.1054  0.00497026
          27     1.06942     1.10407  0.00496157
          28     1.10381     1.10406  0.00478438
          29     1.10366     1.10404  0.00461942
          30     1.06841     1.10286  0.00461558
          31     1.09692     1.10266  0.00447066
          32     1.13098     1.10355  0.00441765
          33     1.07927     1.10281  0.00434459
          34     1.09323     1.10253  0.00422594
          35     1.09315     1.10226  0.00411369
          36     1.10898     1.10245  0.00400365
          37     1.08033     1.10185  0.00393983
          38     1.12851     1.10255  0.00389813
          39     1.12334     1.10309  0.00383444
          40     1.11485     1.10338  0.00374985
          41     1.09895     1.10327  0.00365995
          42     1.08558     1.10285  0.00359696
          43     1.10491      1.1029  0.00351363
          44     1.11764     1.10323  0.00344972
          45     1.09258       1.103  0.00338117
          46     1.09142     1.10275  0.00331702
          47     1.10249     1.10274  0.00324645
          48     1.09887     1.10266  0.00317981
          49     1.09284     1.10246  0.00312123
          50     1.10682     1.10255  0.00306002
          51     1.10574     1.10261  0.00300066
          52     1.11498     1.10285  0.00295237
          53     1.11217     1.10302   0.0029019
          54     1.11267      1.1032  0.00285365
          55     1.08908     1.10294  0.00281328
          56     1.10457     1.10297   0.0027632
          57      1.1195     1.10326  0.00272989
          58     1.08069     1.10287  0.00271043
          59     1.12225      1.1032  0.00268431
          60     1.10314      1.1032  0.00263957
          61     1.13514     1.10373  0.00264773
          62      1.1321     1.10418  0.00264429
          63     1.07482     1.10372  0.00264307
          64     1.13915     1.10427  0.00265914
          65     1.10111     1.10422  0.00261867
          66      1.1011     1.10417  0.00257942
          67     1.09099     1.10398  0.00254842
          68     1.09257     1.10381  0.00251645
          69      1.1081     1.10387  0.00248075
          70      1.0849      1.1036  0.00246008
          71      1.0611       1.103  0.00249718
          72     1.08635     1.10277  0.00247319
          73     1.09345     1.10264   0.0024426
          74     1.10954     1.10274  0.00241137
          75     1.09355     1.10261  0.00238232
          76     1.11052     1.10272  0.00235325
          77     1.07221     1.10232  0.00235581
          78     1.08581     1.10211   0.0023351
          79      1.0783     1.10181  0.00232491
          80     1.12608     1.10211  0.00231556
          81      1.0604      1.1016  0.00234354
          82     1.08269     1.10137  0.00232627
          83     1.09637     1.10131  0.00229903
          84     1.12941     1.10164  0.00229586
          85     1.08452     1.10144  0.00227767
          86     1.13835     1.10187  0.00229126
          87     1.09305     1.10177  0.00226717
          88     1.12001     1.10198  0.00225086
          89     1.11922     1.10217  0.00223389
          90      1.1147     1.10231   0.0022134
          91     1.05971     1.10184  0.00223804
          92     1.08692     1.10168  0.00221959
          93     1.09707     1.10163  0.00219627
          94     1.09027     1.10151  0.00217623
          95     1.09223     1.10141  0.00215551
          96      1.0752     1.10114  0.00215028
          97     1.09631     1.10109  0.00212868
          98     1.06017     1.10067  0.00214751
          99     1.06016     1.10026  0.00216445
         100     1.08265     1.10008  0.00214996
