BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.81127,-3.81127,0
2,-3.81156,-3.81142,0.00010286
3,-3.81071,-3.81118,0.000204921
4,-3.81218,-3.81143,0.000264499
5,-3.81146,-3.81144,0.000211665
6,-3.81569,-3.81215,0.000670428
7,-3.80983,-3.81181,0.000651145
8,-3.81192,-3.81183,0.000569874
9,-3.81009,-3.81163,0.000538267
10,-3.80947,-3.81142,0.000526097
11,-3.81103,-3.81138,0.000479433
12,-3.81224,-3.81145,0.000444746
13,-3.81229,-3.81152,0.000415147
14,-3.80844,-3.8113,0.000439904
15,-3.80782,-3.81107,0.000467733
16,-3.81187,-3.81112,0.000441167
17,-3.81476,-3.81133,0.000464246
18,-3.80953,-3.81123,0.000449143
19,-3.81183,-3.81126,0.000426607
20,-3.81198,-3.8113,0.000406789
21,-3.81366,-3.81141,0.000402714
22,-3.81533,-3.81159,0.000421951
23,-3.81254,-3.81163,0.000405638
24,-3.8132,-3.8117,0.000393964
25,-3.81378,-3.81178,0.000386903
26,-3.81337,-3.81184,0.000376836
27,-3.81205,-3.81185,0.000362959
28,-3.8101,-3.81179,0.000355306
29,-3.81342,-3.81184,0.000347515
30,-3.80972,-3.81177,0.000343042
31,-3.8107,-3.81174,0.0003337
32,-3.81089,-3.81171,0.000324328
33,-3.81133,-3.8117,0.000314707
34,-3.81307,-3.81174,0.000308009
35,-3.81303,-3.81178,0.000301406
36,-3.811,-3.81175,0.0002938
37,-3.81083,-3.81173,0.000286907
38,-3.81091,-3.81171,0.000280157
39,-3.81289,-3.81174,0.000274621
40,-3.81176,-3.81174,0.000267756
41,-3.8111,-3.81172,0.000261675
42,-3.81004,-3.81168,0.0002585
43,-3.81017,-3.81165,0.000254867
44,-3.81381,-3.8117,0.000253754
45,-3.81169,-3.8117,0.000248115
46,-3.81283,-3.81172,0.000243951
47,-3.81205,-3.81173,0.000238862
48,-3.81126,-3.81172,0.000234082
49,-3.81144,-3.81171,0.000229373
50,-3.81126,-3.8117,0.000224967
51,-3.81166,-3.8117,0.000220558
52,-3.81162,-3.8117,0.000216323
53,-3.81359,-3.81174,0.000215157
54,-3.8117,-3.81174,0.000211173
55,-3.81074,-3.81172,0.000208101
56,-3.81058,-3.8117,0.000205374
57,-3.81388,-3.81174,0.000205297
58,-3.81456,-3.81178,0.000207469
59,-3.81091,-3.81177,0.000204487
60,-3.8113,-3.81176,0.000201229
61,-3.81477,-3.81181,0.000203877
62,-3.81425,-3.81185,0.000204351
63,-3.81041,-3.81183,0.000202383
64,-3.81396,-3.81186,0.000201948
65,-3.81418,-3.8119,0.000201954
66,-3.8114,-3.81189,0.000199032
67,-3.81258,-3.8119,0.000196331
68,-3.8126,-3.81191,0.000193717
69,-3.81104,-3.8119,0.000191316
70,-3.8103,-3.81187,0.000189939
71,-3.81059,-3.81186,0.000188127
72,-3.81054,-3.81184,0.000186404
73,-3.80966,-3.81181,0.000186232
74,-3.81165,-3.81181,0.000183729
75,-3.81286,-3.81182,0.00018182
76,-3.81113,-3.81181,0.000179654
77,-3.81219,-3.81182,0.000177387
78,-3.8107,-3.8118,0.000175692
79,-3.81223,-3.81181,0.00017355
80,-3.81293,-3.81182,0.000171947
81,-3.81387,-3.81185,0.000171679
82,-3.81176,-3.81185,0.000169589
83,-3.80944,-3.81182,0.000169996
84,-3.81392,-3.81184,0.000169813
85,-3.81318,-3.81186,0.000168542
86,-3.80667,-3.8118,0.000177028
87,-3.81159,-3.81179,0.000175009
88,-3.81312,-3.81181,0.000173666
89,-3.81387,-3.81183,0.000173258
90,-3.81067,-3.81182,0.000171818
91,-3.81086,-3.81181,0.000170256
92,-3.81264,-3.81182,0.000168645
93,-3.81282,-3.81183,0.000167176
94,-3.81189,-3.81183,0.000165399
95,-3.80999,-3.81181,0.000164787
96,-3.81214,-3.81181,0.000163106
97,-3.81308,-3.81183,0.000161944
98,-3.81053,-3.81181,0.00016083
99,-3.81249,-3.81182,0.000159353
100,-3.81149,-3.81182,0.000157793
