BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.798758e+00,1.798758e+00,0.000000e+00
2,1.719404e+00,1.759081e+00,2.805583e-02
3,1.653589e+00,1.723917e+00,3.426620e-02
4,1.664906e+00,1.709164e+00,2.870029e-02
5,1.648622e+00,1.697056e+00,2.538633e-02
6,1.635820e+00,1.686850e+00,2.311592e-02
7,1.629325e+00,1.678632e+00,2.122417e-02
8,1.692771e+00,1.680399e+00,1.864459e-02
9,1.626510e+00,1.674412e+00,1.750805e-02
10,1.686844e+00,1.675655e+00,1.580132e-02
11,1.597756e+00,1.668573e+00,1.587262e-02
12,1.617544e+00,1.664321e+00,1.510881e-02
13,1.686168e+00,1.666001e+00,1.403975e-02
14,1.626835e+00,1.663204e+00,1.331272e-02
15,1.674663e+00,1.663968e+00,1.244711e-02
16,1.678151e+00,1.664854e+00,1.170069e-02
17,1.645632e+00,1.663723e+00,1.106691e-02
18,1.703272e+00,1.665921e+00,1.066796e-02
19,1.669028e+00,1.666084e+00,1.010774e-02
20,1.643796e+00,1.664970e+00,9.663591e-03
21,1.630937e+00,1.663349e+00,9.338319e-03
22,1.683398e+00,1.664261e+00,8.958206e-03
23,1.659441e+00,1.664051e+00,8.571169e-03
24,1.663348e+00,1.664022e+00,8.214087e-03
25,1.707381e+00,1.665756e+00,8.066548e-03
26,1.653404e+00,1.665281e+00,7.770273e-03
27,1.593913e+00,1.662638e+00,7.919321e-03
28,1.641051e+00,1.661867e+00,7.673924e-03
29,1.708700e+00,1.663482e+00,7.577327e-03
30,1.619783e+00,1.662025e+00,7.463442e-03
31,1.673831e+00,1.662406e+00,7.232396e-03
32,1.620468e+00,1.661095e+00,7.124138e-03
33,1.645456e+00,1.660621e+00,6.923999e-03
34,1.652246e+00,1.660375e+00,6.724733e-03
35,1.648732e+00,1.660042e+00,6.540821e-03
36,1.646931e+00,1.659678e+00,6.369263e-03
37,1.658577e+00,1.659648e+00,6.197190e-03
38,1.638887e+00,1.659102e+00,6.058143e-03
39,1.677782e+00,1.659581e+00,5.921710e-03
40,1.597470e+00,1.658028e+00,5.973783e-03
41,1.640316e+00,1.657596e+00,5.843681e-03
42,1.672915e+00,1.657961e+00,5.715917e-03
43,1.672538e+00,1.658300e+00,5.593033e-03
44,1.623081e+00,1.657500e+00,5.522898e-03
45,1.672422e+00,1.657831e+00,5.410113e-03
