BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.61778,-5.61778,0
2,-5.45799,-5.53789,0.0564929
3,-5.43135,-5.50237,0.0475299
4,-5.4315,-5.48466,0.0388097
5,-5.4441,-5.47654,0.0318843
6,-5.44162,-5.47072,0.0270963
7,-5.5163,-5.47723,0.0239948
8,-5.49725,-5.47974,0.0211255
9,-5.51631,-5.4838,0.019165
10,-5.46854,-5.48227,0.0173092
11,-5.43514,-5.47799,0.0162573
12,-5.45337,-5.47594,0.0150315
13,-5.43191,-5.47255,0.0142515
14,-5.43783,-5.47007,0.0134477
15,-5.42645,-5.46716,0.0128617
16,-5.44649,-5.46587,0.0121226
17,-5.46709,-5.46594,0.0114097
18,-5.47349,-5.46636,0.0107835
19,-5.41606,-5.46371,0.010536
20,-5.48159,-5.46461,0.010047
21,-5.45973,-5.46438,0.00957124
22,-5.40825,-5.46182,0.0094701
23,-5.44626,-5.46115,0.00908249
24,-5.48937,-5.46232,0.00877985
25,-5.4617,-5.4623,0.00842869
26,-5.41741,-5.46057,0.00827947
27,-5.45455,-5.46035,0.00797583
28,-5.46586,-5.46055,0.00769341
29,-5.41745,-5.45906,0.00757029
30,-5.46072,-5.45912,0.00731815
31,-5.50019,-5.46044,0.00720102
32,-5.43867,-5.45976,0.00700805
33,-5.43913,-5.45913,0.0068235
34,-5.45416,-5.45899,0.00662438
35,-5.44235,-5.45851,0.00645214
36,-5.44217,-5.45806,0.00628886
37,-5.45895,-5.45808,0.00611894
38,-5.46297,-5.45821,0.00595927
39,-5.48143,-5.45881,0.00583612
40,-5.44602,-5.45849,0.00569897
41,-5.4818,-5.45906,0.00558827
42,-5.41926,-5.45811,0.00553495
43,-5.43321,-5.45753,0.00543645
44,-5.47225,-5.45786,0.00532317
45,-5.47152,-5.45817,0.00521352
46,-5.46087,-5.45823,0.00510051
47,-5.45165,-5.45809,0.00499391
48,-5.44058,-5.45772,0.00490317
49,-5.46814,-5.45793,0.00480772
50,-5.42986,-5.45737,0.00474423
51,-5.42093,-5.45666,0.00470472
52,-5.41517,-5.45586,0.0046814
53,-5.46467,-5.45603,0.00459602
54,-5.46674,-5.45623,0.00451519
55,-5.45596,-5.45622,0.0044331
56,-5.44066,-5.45594,0.00436264
57,-5.43516,-5.45558,0.00430131
58,-5.45575,-5.45558,0.00422715
59,-5.46604,-5.45576,0.00415922
60,-5.40502,-5.45491,0.00417496
61,-5.45485,-5.45491,0.00410652
62,-5.44088,-5.45469,0.00404652
63,-5.43688,-5.4544,0.00399214
64,-5.46663,-5.45459,0.00393433
65,-5.46016,-5.45468,0.00387473
66,-5.4367,-5.45441,0.00382559
67,-5.44309,-5.45424,0.00377222
68,-5.40609,-5.45353,0.00378261
69,-5.44359,-5.45339,0.00373053
70,-5.41941,-5.4529,0.00370868
71,-5.46063,-5.45301,0.00365804
72,-5.45861,-5.45309,0.00360807
73,-5.48622,-5.45354,0.00358708
74,-5.46469,-5.45369,0.00354177
75,-5.47417,-5.45397,0.00350506
76,-5.43112,-5.45366,0.00347181
77,-5.46891,-5.45386,0.00343236
78,-5.45049,-5.45382,0.00338863
79,-5.44963,-5.45377,0.00334615
80,-5.51401,-5.45452,0.00338801
81,-5.46512,-5.45465,0.00334871
82,-5.44806,-5.45457,0.00330883
83,-5.45047,-5.45452,0.00326934
84,-5.47092,-5.45472,0.00323624
85,-5.43362,-5.45447,0.00320767
86,-5.43716,-5.45427,0.00317667
87,-5.48115,-5.45458,0.00315515
88,-5.47091,-5.45476,0.00312475
89,-5.46512,-5.45488,0.00309181
90,-5.46579,-5.455,0.00305983
91,-5.45047,-5.45495,0.00302661
92,-5.43206,-5.4547,0.00300392
93,-5.46834,-5.45485,0.0029752
94,-5.51315,-5.45547,0.00300752
95,-5.43138,-5.45521,0.00298653
96,-5.50328,-5.45571,0.00299709
97,-5.47659,-5.45593,0.00297391
98,-5.47342,-5.45611,0.00294891
99,-5.4927,-5.45648,0.0029422
100,-5.48641,-5.45678,0.00292796
101,-5.48566,-5.45706,0.00291291
102,-5.4429,-5.45692,0.00288766
103,-5.49129,-5.45726,0.00287884
104,-5.4894,-5.45757,0.0028677
105,-5.43508,-5.45735,0.00284837
106,-5.40975,-5.4569,0.00285668
107,-5.46074,-5.45694,0.00283021
108,-5.46708,-5.45703,0.00280556
109,-5.47403,-5.45719,0.00278415
110,-5.40731,-5.45674,0.00279553
111,-5.46638,-5.45682,0.00277169
112,-5.41693,-5.45647,0.00276974
113,-5.42673,-5.4562,0.0027577
114,-5.39084,-5.45563,0.00279247
115,-5.4972,-5.45599,0.00279149
116,-5.45405,-5.45597,0.00276748
117,-5.4653,-5.45605,0.00274497
118,-5.44445,-5.45596,0.00272347
119,-5.46106,-5.456,0.00270092
120,-5.40615,-5.45558,0.00271016
121,-5.46091,-5.45563,0.00268812
122,-5.4065,-5.45522,0.00269608
123,-5.44019,-5.4551,0.00267693
124,-5.42857,-5.45489,0.00266388
125,-5.46406,-5.45496,0.00264358
126,-5.44296,-5.45487,0.00262431
127,-5.47683,-5.45504,0.00260934
128,-5.43781,-5.4549,0.00259243
129,-5.44,-5.45479,0.0025749
130,-5.51776,-5.45527,0.00260025
131,-5.37999,-5.4547,0.00264315
132,-5.49291,-5.45499,0.00263893
133,-5.44041,-5.45488,0.00262136
134,-5.45462,-5.45488,0.0026018
135,-5.44074,-5.45477,0.00258464
136,-5.43225,-5.45461,0.00257094
137,-5.44488,-5.45454,0.00255315
138,-5.4191,-5.45428,0.00254753
139,-5.42538,-5.45407,0.00253768
140,-5.41635,-5.4538,0.00253381
141,-5.43321,-5.45366,0.00252005
142,-5.45324,-5.45365,0.0025023
143,-5.42308,-5.45344,0.00249392
144,-5.42324,-5.45323,0.00248541
145,-5.45303,-5.45323,0.00246827
146,-5.46597,-5.45331,0.0024529
147,-5.44035,-5.45323,0.0024378
148,-5.40362,-5.45289,0.00244426
149,-5.45679,-5.45292,0.00242799
150,-5.43284,-5.45278,0.00241549
151,-5.46965,-5.4529,0.00240208
152,-5.43114,-5.45275,0.00239054
153,-5.43372,-5.45263,0.00237815
154,-5.4596,-5.45267,0.00236314
155,-5.45706,-5.4527,0.00234806
156,-5.46229,-5.45276,0.00233381
157,-5.41611,-5.45253,0.0023306
158,-5.4483,-5.4525,0.002316
159,-5.46836,-5.4526,0.00230358
160,-5.45341,-5.45261,0.00228919
161,-5.40751,-5.45233,0.00229205
162,-5.47249,-5.45245,0.00228127
163,-5.45776,-5.45248,0.00226751
164,-5.43689,-5.45239,0.00225568
165,-5.39456,-5.45204,0.00226907
166,-5.42641,-5.45188,0.00226065
167,-5.42733,-5.45174,0.00225189
168,-5.48533,-5.45194,0.00224735
169,-5.46192,-5.452,0.00223482
170,-5.5067,-5.45232,0.00224472
171,-5.4824,-5.45249,0.00223848
172,-5.46692,-5.45258,0.00222703
173,-5.49162,-5.4528,0.00222557
174,-5.43981,-5.45273,0.00221403
175,-5.49513,-5.45297,0.0022146
176,-5.41919,-5.45278,0.00221031
177,-5.45834,-5.45281,0.00219805
178,-5.47242,-5.45292,0.00218846
179,-5.42332,-5.45276,0.00218247
180,-5.44692,-5.45272,0.00217059
181,-5.47242,-5.45283,0.00216132
182,-5.45546,-5.45285,0.0021495
183,-5.45876,-5.45288,0.00213799
184,-5.45232,-5.45288,0.00212638
185,-5.49324,-5.45309,0.00212604
186,-5.48501,-5.45327,0.00212153
187,-5.4407,-5.4532,0.00211125
188,-5.40949,-5.45297,0.00211278
189,-5.46334,-5.45302,0.00210231
190,-5.47105,-5.45312,0.00209339
191,-5.42368,-5.45296,0.00208809
192,-5.45599,-5.45298,0.00207728
193,-5.4969,-5.4532,0.00207895
194,-5.43166,-5.45309,0.00207119
195,-5.4339,-5.453,0.00206291
196,-5.48624,-5.45316,0.00205935
197,-5.48608,-5.45333,0.00205566
198,-5.45535,-5.45334,0.0020453
199,-5.47095,-5.45343,0.00203694
200,-5.45556,-5.45344,0.00202678
201,-5.43613,-5.45336,0.00201853
202,-5.49565,-5.45356,0.00201937
203,-5.4453,-5.45352,0.00200983
204,-5.4311,-5.45341,0.00200298
205,-5.43146,-5.45331,0.00199607
206,-5.43077,-5.4532,0.00198938
207,-5.42256,-5.45305,0.00198526
208,-5.46913,-5.45313,0.00197722
209,-5.40686,-5.45291,0.00198012
210,-5.43384,-5.45281,0.00197277
211,-5.43182,-5.45272,0.00196593
212,-5.40438,-5.45249,0.00196983
213,-5.41577,-5.45231,0.00196811
214,-5.43565,-5.45224,0.00196045
215,-5.45155,-5.45223,0.00195134
216,-5.40325,-5.45201,0.00195544
217,-5.44094,-5.45196,0.00194709
218,-5.45735,-5.45198,0.00193832
219,-5.43878,-5.45192,0.0019304
220,-5.49887,-5.45213,0.00193339
221,-5.46415,-5.45219,0.0019254
222,-5.47611,-5.4523,0.00191974
223,-5.47465,-5.4524,0.00191375
224,-5.54584,-5.45281,0.00195014
225,-5.45789,-5.45284,0.0019416
226,-5.48979,-5.453,0.00193989
227,-5.49358,-5.45318,0.00193956
228,-5.47946,-5.45329,0.00193448
229,-5.40291,-5.45307,0.0019385
230,-5.47667,-5.45318,0.00193278
231,-5.46628,-5.45323,0.00192525
232,-5.37787,-5.45291,0.00194416
233,-5.40816,-5.45272,0.00194528
234,-5.44219,-5.45267,0.00193749
235,-5.47326,-5.45276,0.00193122
236,-5.44627,-5.45273,0.00192323
237,-5.47068,-5.45281,0.00191661
238,-5.4233,-5.45268,0.00191256
239,-5.41099,-5.45251,0.0019125
240,-5.43294,-5.45243,0.00190627
241,-5.44247,-5.45239,0.00189881
242,-5.42953,-5.45229,0.00189331
243,-5.45504,-5.4523,0.00188555
244,-5.48225,-5.45242,0.00188181
245,-5.4182,-5.45229,0.00187931
246,-5.4243,-5.45217,0.00187511
247,-5.42856,-5.45208,0.00186996
248,-5.47728,-5.45218,0.00186518
249,-5.44291,-5.45214,0.00185806
250,-5.44959,-5.45213,0.00185065
251,-5.47917,-5.45224,0.00184641
252,-5.47315,-5.45232,0.00184095
253,-5.43249,-5.45224,0.00183534
254,-5.43722,-5.45218,0.00182907
255,-5.45449,-5.45219,0.00182192
256,-5.44453,-5.45216,0.00181505
257,-5.42385,-5.45205,0.00181132
258,-5.47071,-5.45212,0.00180575
259,-5.46419,-5.45217,0.00179937
260,-5.45559,-5.45218,0.0017925
261,-5.45283,-5.45219,0.00178564
262,-5.51857,-5.45244,0.00179671
263,-5.43895,-5.45239,0.00179061
264,-5.44593,-5.45236,0.00178399
265,-5.45335,-5.45237,0.00177726
266,-5.44925,-5.45236,0.00177062
267,-5.4739,-5.45244,0.00176583
268,-5.46337,-5.45248,0.00175971
269,-5.39944,-5.45228,0.00176418
270,-5.44945,-5.45227,0.00175768
271,-5.40839,-5.45211,0.00175863
272,-5.43938,-5.45206,0.00175279
273,-5.43768,-5.45201,0.00174716
274,-5.4446,-5.45198,0.00174099
275,-5.43867,-5.45193,0.00173533
276,-5.41502,-5.4518,0.00173419
277,-5.47681,-5.45189,0.00173028
278,-5.39548,-5.45169,0.00173591
279,-5.45637,-5.4517,0.00172977
280,-5.42969,-5.45163,0.00172538
