BLOCK,ACTUAL_P,P_AVE,ERROR
1,1.063305e-01,1.063305e-01,0.000000e+00
2,6.969079e-02,8.801064e-02,1.295409e-02
3,3.700788e-02,7.100972e-02,1.634836e-02
4,4.275018e-02,6.394483e-02,1.370304e-02
5,3.461514e-02,5.807890e-02,1.215328e-02
6,2.777546e-02,5.302832e-02,1.112780e-02
7,2.583670e-02,4.914381e-02,1.019360e-02
8,5.663198e-02,5.007983e-02,8.962271e-03
9,2.340587e-02,4.711605e-02,8.442303e-03
10,5.358621e-02,4.776307e-02,7.622826e-03
11,9.501763e-03,4.428477e-02,7.682540e-03
12,1.981906e-02,4.224596e-02,7.307854e-03
13,5.425526e-02,4.316975e-02,6.803850e-03
14,2.430459e-02,4.182224e-02,6.449918e-03
15,4.918824e-02,4.231331e-02,6.038589e-03
16,4.998201e-02,4.279260e-02,5.680166e-03
17,3.388521e-02,4.226864e-02,5.370151e-03
18,6.321078e-02,4.343209e-02,5.196313e-03
19,4.541065e-02,4.353622e-02,4.923866e-03
20,3.222802e-02,4.297081e-02,4.710024e-03
21,2.606358e-02,4.216571e-02,4.554028e-03
22,5.292375e-02,4.265471e-02,4.373202e-03
23,4.150578e-02,4.260476e-02,4.183348e-03
24,4.261015e-02,4.260498e-02,4.009042e-03
25,6.547369e-02,4.351973e-02,3.951662e-03
26,3.761505e-02,4.329263e-02,3.806195e-03
27,9.027413e-03,4.202354e-02,3.871020e-03
28,3.074257e-02,4.162065e-02,3.753677e-03
29,6.406391e-02,4.239456e-02,3.703159e-03
30,2.025951e-02,4.165672e-02,3.652486e-03
31,4.620832e-02,4.180355e-02,3.537614e-03
32,2.164746e-02,4.117367e-02,3.482687e-03
33,3.364538e-02,4.094554e-02,3.384615e-03
34,3.646961e-02,4.081390e-02,3.287626e-03
35,3.618996e-02,4.068178e-02,3.196348e-03
36,3.485017e-02,4.051979e-02,3.111662e-03
37,4.194793e-02,4.055839e-02,3.027803e-03
38,3.102282e-02,4.030746e-02,2.958504e-03
39,4.923529e-02,4.053637e-02,2.891488e-03
40,1.046283e-02,3.978454e-02,2.915308e-03
41,3.204206e-02,3.959570e-02,2.850312e-03
42,4.801407e-02,3.979613e-02,2.789486e-03
43,4.692128e-02,3.996183e-02,2.729532e-03
44,2.297194e-02,3.957570e-02,2.694671e-03
45,4.757564e-02,3.975348e-02,2.640647e-03
46,3.855556e-02,3.972743e-02,2.583370e-03
47,4.375108e-02,3.981304e-02,2.529823e-03
48,4.271495e-02,3.987350e-02,2.477840e-03
49,3.122387e-02,3.969698e-02,2.433552e-03
50,4.018788e-02,3.970680e-02,2.384901e-03
51,5.280490e-02,3.996362e-02,2.351926e-03
52,2.987012e-02,3.976952e-02,2.314692e-03
53,3.277546e-02,3.963755e-02,2.274778e-03
54,2.870583e-02,3.943511e-02,2.241642e-03
55,3.745487e-02,3.939911e-02,2.201174e-03
56,1.477020e-02,3.895931e-02,2.205366e-03
57,3.376808e-02,3.886823e-02,2.168556e-03
58,2.449666e-02,3.862045e-02,2.145276e-03
59,3.247282e-02,3.851625e-02,2.111445e-03
60,1.977747e-02,3.820394e-02,2.099225e-03
61,3.568839e-02,3.816270e-02,2.065216e-03
62,2.871482e-02,3.801031e-02,2.037520e-03
63,3.914230e-02,3.802828e-02,2.005258e-03
64,5.437942e-02,3.828377e-02,1.990135e-03
65,5.997535e-02,3.861748e-02,1.987300e-03
66,7.583134e-02,3.918133e-02,2.035607e-03
67,3.132783e-02,3.906411e-02,2.008597e-03
68,3.410393e-02,3.899117e-02,1.980383e-03
69,2.193571e-02,3.874399e-02,1.967047e-03
70,4.221663e-02,3.879360e-02,1.939572e-03
71,1.393119e-02,3.844342e-02,1.943608e-03
72,3.749234e-02,3.843021e-02,1.916658e-03
73,1.830093e-02,3.815447e-02,1.910135e-03
74,3.613511e-02,3.812718e-02,1.884517e-03
75,3.823536e-02,3.812862e-02,1.859391e-03
76,5.334944e-02,3.832890e-02,1.845679e-03
77,2.962802e-02,3.821590e-02,1.825165e-03
78,3.683389e-02,3.819818e-02,1.801851e-03
79,4.249728e-02,3.825260e-02,1.779865e-03
80,5.200469e-02,3.842450e-02,1.765898e-03
81,3.056484e-02,3.832747e-02,1.746761e-03
82,3.305380e-02,3.826316e-02,1.726642e-03
83,5.788319e-02,3.849954e-02,1.721945e-03
84,3.729875e-02,3.848525e-02,1.701505e-03
85,3.892383e-02,3.849041e-02,1.681495e-03
86,3.870597e-02,3.849291e-02,1.661944e-03
87,4.713816e-02,3.859228e-02,1.645810e-03
88,3.680988e-02,3.857203e-02,1.627232e-03
89,2.478587e-02,3.841713e-02,1.616304e-03
90,5.767363e-02,3.863109e-02,1.612445e-03
91,3.615865e-02,3.860392e-02,1.594955e-03
92,3.217790e-02,3.853407e-02,1.579147e-03
93,1.712557e-02,3.830387e-02,1.578856e-03
94,3.055365e-02,3.822142e-02,1.564211e-03
95,5.558042e-02,3.840415e-02,1.558382e-03
96,2.293074e-02,3.824297e-02,1.550462e-03
97,4.636392e-02,3.832669e-02,1.536736e-03
98,7.089000e-03,3.800794e-02,1.553762e-03
99,5.993216e-02,3.822939e-02,1.553769e-03
100,4.782863e-02,3.832539e-02,1.541194e-03
101,5.919734e-02,3.853204e-02,1.539727e-03
102,4.729432e-02,3.861794e-02,1.527026e-03
103,3.130142e-02,3.854691e-02,1.513852e-03
104,6.348611e-02,3.878671e-02,1.518169e-03
105,4.167720e-02,3.881424e-02,1.503960e-03
106,1.749239e-02,3.861309e-02,1.503163e-03
107,3.165046e-02,3.854802e-02,1.490523e-03
108,4.131217e-02,3.857361e-02,1.476941e-03
109,3.373920e-02,3.852926e-02,1.464057e-03
110,4.729221e-02,3.860892e-02,1.452913e-03
111,4.184443e-02,3.863807e-02,1.440116e-03
112,3.894274e-02,3.864079e-02,1.427261e-03
113,2.415965e-02,3.851264e-02,1.420372e-03
114,5.225053e-02,3.863315e-02,1.413015e-03
115,5.803196e-02,3.880183e-02,1.410761e-03
116,3.376627e-02,3.875842e-02,1.399267e-03
117,5.475228e-02,3.889512e-02,1.393969e-03
118,1.315061e-02,3.867695e-02,1.399125e-03
119,6.332877e-02,3.888411e-02,1.402620e-03
120,2.855474e-02,3.879803e-02,1.393570e-03
121,1.622357e-02,3.861146e-02,1.394485e-03
122,3.671103e-02,3.859589e-02,1.383142e-03
123,2.425859e-02,3.847932e-02,1.376800e-03
124,5.115796e-02,3.858157e-02,1.369488e-03
125,4.016223e-02,3.859422e-02,1.358591e-03
126,2.823811e-02,3.851202e-02,1.350292e-03
127,4.193884e-02,3.853901e-02,1.339929e-03
128,4.200697e-02,3.856610e-02,1.329735e-03
129,6.376898e-02,3.876147e-02,1.333702e-03
130,2.789095e-02,3.867785e-02,1.326062e-03
131,4.436387e-02,3.872126e-02,1.316649e-03
132,1.944058e-02,3.857519e-02,1.314752e-03
133,1.247982e-02,3.837899e-02,1.319426e-03
134,6.322655e-02,3.856441e-02,1.322545e-03
135,4.319054e-02,3.859868e-02,1.313192e-03
136,3.639034e-02,3.858244e-02,1.303637e-03
137,6.827905e-02,3.879921e-02,1.312019e-03
138,3.766132e-02,3.879096e-02,1.302537e-03
139,2.257261e-02,3.867428e-02,1.298382e-03
140,2.215402e-02,3.855628e-02,1.294459e-03
141,1.271580e-02,3.837302e-02,1.298186e-03
142,1.006268e-02,3.817365e-02,1.304263e-03
143,3.978035e-02,3.818488e-02,1.295191e-03
144,4.336810e-02,3.822088e-02,1.286697e-03
145,3.864107e-02,3.822378e-02,1.277826e-03
146,5.163556e-02,3.831564e-02,1.272372e-03
147,3.953183e-02,3.832391e-02,1.263743e-03
148,7.263475e-02,3.855574e-02,1.276291e-03
149,4.837231e-02,3.862162e-02,1.269425e-03
150,2.763763e-02,3.854840e-02,1.263072e-03
151,3.287759e-02,3.851084e-02,1.255266e-03
152,2.413817e-02,3.841628e-02,1.250564e-03
153,2.922435e-02,3.835621e-02,1.243833e-03
154,3.032900e-02,3.830408e-02,1.236847e-03
155,3.197856e-02,3.826327e-02,1.229541e-03
156,5.269466e-02,3.835578e-02,1.225134e-03
157,3.521072e-02,3.833575e-02,1.217495e-03
158,3.509696e-02,3.831525e-02,1.209962e-03
159,3.247700e-02,3.827853e-02,1.202909e-03
160,3.718265e-02,3.827168e-02,1.195410e-03
161,3.705638e-02,3.826413e-02,1.188009e-03
162,5.259965e-02,3.835262e-02,1.183967e-03
163,3.926223e-02,3.835821e-02,1.176716e-03
164,5.231581e-02,3.844331e-02,1.172615e-03
165,1.932728e-02,3.832746e-02,1.171217e-03
166,2.768143e-02,3.826333e-02,1.165916e-03
167,3.745534e-02,3.825849e-02,1.158945e-03
168,5.126463e-02,3.833590e-02,1.154629e-03
169,2.797322e-02,3.827459e-02,1.149424e-03
170,3.284190e-02,3.824263e-02,1.143107e-03
171,4.134712e-02,3.826078e-02,1.136566e-03
172,2.352849e-02,3.817513e-02,1.133181e-03
173,1.997960e-02,3.806996e-02,1.131501e-03
174,4.814504e-02,3.812786e-02,1.126479e-03
175,2.171877e-02,3.803409e-02,1.123938e-03
176,5.315226e-02,3.811999e-02,1.120830e-03
177,2.275391e-02,3.803318e-02,1.117854e-03
178,5.270862e-02,3.811562e-02,1.114610e-03
179,2.771540e-02,3.805752e-02,1.109897e-03
180,2.438321e-02,3.798155e-02,1.106327e-03
181,3.743730e-02,3.797855e-02,1.100219e-03
182,3.266469e-02,3.794935e-02,1.094561e-03
183,2.918397e-02,3.790145e-02,1.089628e-03
184,4.366226e-02,3.793276e-02,1.084156e-03
185,4.181434e-02,3.795374e-02,1.078498e-03
186,5.635080e-03,3.777998e-02,1.086607e-03
187,4.707083e-02,3.782967e-02,1.081931e-03
188,5.305087e-02,3.791063e-02,1.079201e-03
189,4.954429e-02,3.797219e-02,1.075245e-03
190,4.910479e-02,3.803078e-02,1.071181e-03
