BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.21256,1.21256,0
2,1.10492,1.15874,0.0380589
3,1.0876,1.13503,0.0319154
4,1.08886,1.12349,0.0259399
5,1.09702,1.11819,0.0212853
6,1.09564,1.11443,0.0180666
7,1.14546,1.11887,0.0160201
8,1.13334,1.12068,0.0141195
9,1.14353,1.12321,0.0127769
10,1.11151,1.12204,0.0115527
11,1.09035,1.11916,0.0108557
12,1.10264,1.11779,0.010038
13,1.0877,1.11547,0.00952899
14,1.09342,1.1139,0.00897759
15,1.08525,1.11199,0.00857986
16,1.09774,1.1111,0.00808968
17,1.11084,1.11108,0.00761383
18,1.115,1.1113,0.00719395
19,1.07757,1.10952,0.00703093
20,1.12163,1.11013,0.00670539
21,1.10674,1.10997,0.00638803
22,1.07425,1.10834,0.00630064
23,1.09718,1.10786,0.00604537
24,1.12574,1.1086,0.00583922
25,1.1059,1.10849,0.00560665
26,1.07879,1.10735,0.00550622
27,1.10323,1.1072,0.0053044
28,1.10964,1.10729,0.00511567
29,1.07977,1.10634,0.00502652
30,1.10887,1.10642,0.00485968
31,1.13489,1.10734,0.0047889
32,1.09371,1.10691,0.00465816
33,1.09293,1.10649,0.00453623
34,1.10167,1.10635,0.00440503
35,1.09494,1.10602,0.00429121
36,1.09683,1.10577,0.0041796
37,1.10784,1.10582,0.00406701
38,1.11073,1.10595,0.00396204
39,1.12312,1.10639,0.00388482
40,1.09836,1.10619,0.00379288
41,1.12099,1.10655,0.00371749
42,1.0804,1.10593,0.00368074
43,1.09109,1.10559,0.0036113
44,1.11553,1.10581,0.00353629
45,1.11478,1.10601,0.00346332
46,1.10948,1.10609,0.00338885
47,1.10313,1.10602,0.00331733
48,1.09332,1.10576,0.00325875
49,1.11201,1.10589,0.00319475
50,1.08638,1.1055,0.00315458
51,1.08203,1.10504,0.00312609
52,1.07753,1.10451,0.00311041
53,1.11052,1.10462,0.00305379
54,1.11144,1.10475,0.00299985
55,1.10463,1.10474,0.00294531
56,1.09518,1.10457,0.00289765
57,1.0916,1.10435,0.00285574
58,1.10555,1.10437,0.00280658
59,1.11082,1.10448,0.00276115
60,1.07186,1.10393,0.00276811
61,1.10281,1.10391,0.00272279
62,1.09409,1.10376,0.00268348
63,1.09225,1.10357,0.0026471
64,1.11019,1.10368,0.00260776
65,1.10699,1.10373,0.00256813
66,1.09295,1.10356,0.00253441
67,1.09626,1.10346,0.00249893
68,1.07139,1.10298,0.00250626
69,1.09714,1.1029,0.00247137
70,1.08066,1.10258,0.00245641
71,1.10949,1.10268,0.00242373
72,1.10657,1.10273,0.00239067
73,1.12053,1.10298,0.00237032
74,1.10942,1.10306,0.00233989
75,1.11678,1.10325,0.00231583
76,1.08926,1.10306,0.00229265
77,1.11342,1.1032,0.00226682
78,1.10113,1.10317,0.00223791
79,1.0999,1.10313,0.00220997
80,1.14273,1.10362,0.00223709
81,1.1094,1.1037,0.00221061
82,1.09895,1.10364,0.0021844
83,1.10193,1.10362,0.00215818
84,1.11334,1.10373,0.00213559
85,1.08865,1.10356,0.00211783
86,1.09154,1.10342,0.00209781
87,1.12201,1.10363,0.00208455
88,1.11731,1.10378,0.00206665
89,1.1104,1.10386,0.00204476
90,1.11047,1.10393,0.00202336
91,1.10338,1.10393,0.00200114
92,1.0898,1.10377,0.00198527
93,1.11304,1.10387,0.00196642
94,1.14224,1.10428,0.00198741
95,1.08722,1.1041,0.00197459
96,1.13746,1.10445,0.00198436
97,1.11899,1.1046,0.00196956
98,1.11701,1.10473,0.00195352
99,1.12956,1.10498,0.00194983
100,1.12583,1.10518,0.00194145
101,1.12434,1.10537,0.00193147
102,1.09679,1.10529,0.00191437
103,1.12726,1.1055,0.00190763
104,1.12681,1.10571,0.00190026
105,1.09011,1.10556,0.00188796
106,1.07231,1.10525,0.00189602
107,1.10854,1.10528,0.00187855
108,1.11411,1.10536,0.00186293
109,1.11767,1.10547,0.00184926
110,1.0741,1.10519,0.00185431
111,1.11141,1.10524,0.00183846
112,1.07877,1.10501,0.00183717
113,1.08613,1.10484,0.00182849
114,1.06111,1.10446,0.00185224
115,1.13253,1.1047,0.00185216
116,1.10309,1.10469,0.00183624
117,1.11054,1.10474,0.00182123
118,1.09685,1.10467,0.00180702
119,1.10829,1.1047,0.00179209
120,1.07246,1.10443,0.00179718
121,1.10767,1.10446,0.00178252
122,1.07094,1.10418,0.00178896
123,1.09347,1.1041,0.00177653
124,1.08568,1.10395,0.0017684
125,1.10923,1.10399,0.00175476
126,1.09591,1.10393,0.001742
127,1.11771,1.10403,0.00173167
128,1.09083,1.10393,0.00172121
129,1.09209,1.10384,0.00171031
130,1.14496,1.10416,0.00172616
131,1.05341,1.10377,0.0017559
132,1.12946,1.10396,0.00175335
133,1.09571,1.1039,0.00174127
134,1.1038,1.1039,0.00172827
135,1.09439,1.10383,0.00171691
136,1.0887,1.10372,0.00170788
137,1.09774,1.10367,0.00169598
138,1.08015,1.1035,0.00169223
139,1.08364,1.10336,0.00168608
140,1.08116,1.1032,0.00168148
141,1.09091,1.10312,0.00167182
142,1.10413,1.10312,0.00166006
143,1.08323,1.10298,0.00165427
144,1.08301,1.10284,0.00164858
145,1.10224,1.10284,0.00163722
146,1.1114,1.1029,0.00162705
147,1.09369,1.10284,0.00161719
148,1.06897,1.10261,0.00162237
149,1.10496,1.10262,0.00161155
150,1.0896,1.10254,0.00160315
151,1.11349,1.10261,0.00159417
152,1.08743,1.10251,0.00158681
153,1.09112,1.10243,0.00157818
154,1.10593,1.10246,0.0015681
155,1.10502,1.10247,0.00155807
156,1.10915,1.10252,0.00154867
157,1.07915,1.10237,0.00154594
158,1.10012,1.10235,0.00153622
159,1.11274,1.10242,0.00152795
160,1.10215,1.10242,0.0015184
161,1.07175,1.10223,0.00152087
162,1.11528,1.10231,0.00151361
163,1.10717,1.10234,0.00150462
164,1.09295,1.10228,0.00149653
165,1.06328,1.10204,0.00150601
166,1.08402,1.10193,0.00150085
167,1.08655,1.10184,0.00149469
168,1.12293,1.10197,0.00149105
169,1.10719,1.102,0.00148255
170,1.13551,1.1022,0.00148687
171,1.12248,1.10231,0.0014829
172,1.11226,1.10237,0.0014754
173,1.12741,1.10252,0.00147395
174,1.09395,1.10247,0.0014663
175,1.12943,1.10262,0.001466
176,1.07838,1.10248,0.00146413
177,1.10627,1.10251,0.00145601
178,1.11443,1.10257,0.00144937
179,1.0825,1.10246,0.00144561
180,1.09839,1.10244,0.00143775
181,1.11476,1.10251,0.00143142
182,1.10451,1.10252,0.0014236
183,1.1067,1.10254,0.001416
184,1.10203,1.10254,0.00140831
185,1.12904,1.10268,0.00140797
186,1.12403,1.1028,0.00140506
187,1.09517,1.10275,0.00139814
188,1.07445,1.1026,0.00139879
189,1.10979,1.10264,0.0013919
190,1.11439,1.1027,0.00138595
191,1.08193,1.1026,0.00138295
192,1.10204,1.10259,0.00137575
193,1.13146,1.10274,0.00137673
194,1.08991,1.10268,0.00137122
195,1.08966,1.10261,0.00136581
196,1.12408,1.10272,0.00136323
197,1.12447,1.10283,0.00136078
198,1.10289,1.10283,0.0013539
199,1.11402,1.10289,0.00134827
200,1.10614,1.1029,0.00134163
201,1.09158,1.10285,0.00133613
202,1.13087,1.10298,0.0013367
203,1.09689,1.10295,0.00133045
204,1.08899,1.10289,0.00132569
205,1.0891,1.10282,0.00132093
206,1.08683,1.10274,0.0013168
207,1.08066,1.10263,0.00131475
208,1.11357,1.10269,0.00130948
209,1.07227,1.10254,0.00131128
210,1.08868,1.10248,0.00130669
211,1.08844,1.10241,0.00130219
212,1.07113,1.10226,0.00130438
213,1.07784,1.10215,0.00130329
214,1.09058,1.10209,0.00129832
215,1.10284,1.1021,0.00129228
216,1.06959,1.10195,0.00129504
217,1.09494,1.10191,0.00128947
218,1.10493,1.10193,0.00128363
219,1.09347,1.10189,0.00127835
220,1.13185,1.10202,0.00127977
221,1.11068,1.10206,0.00127458
