BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.801761e+00,-3.801761e+00,0.000000e+00
2,-3.800873e+00,-3.801317e+00,3.137250e-04
3,-3.800964e+00,-3.801199e+00,2.301406e-04
4,-3.802211e+00,-3.801452e+00,2.788418e-04
5,-3.801500e+00,-3.801462e+00,2.232383e-04
6,-3.801072e+00,-3.801397e+00,1.952717e-04
7,-3.800896e+00,-3.801325e+00,1.800141e-04
8,-3.797633e+00,-3.800864e+00,4.595897e-04
9,-3.800051e+00,-3.800773e+00,4.173006e-04
10,-3.800843e+00,-3.800780e+00,3.756281e-04
11,-3.798896e+00,-3.800609e+00,3.785405e-04
12,-3.801206e+00,-3.800659e+00,3.502551e-04
13,-3.800697e+00,-3.800662e+00,3.233250e-04
14,-3.800073e+00,-3.800620e+00,3.029549e-04
15,-3.798496e+00,-3.800478e+00,3.140871e-04
16,-3.797926e+00,-3.800319e+00,3.324922e-04
17,-3.798010e+00,-3.800183e+00,3.395415e-04
18,-3.799903e+00,-3.800167e+00,3.210332e-04
19,-3.800728e+00,-3.800197e+00,3.054918e-04
20,-3.801015e+00,-3.800238e+00,2.929427e-04
21,-3.798222e+00,-3.800142e+00,2.942979e-04
22,-3.800752e+00,-3.800169e+00,2.822274e-04
23,-3.798729e+00,-3.800107e+00,2.768148e-04
24,-3.798088e+00,-3.800023e+00,2.777717e-04
25,-3.798307e+00,-3.799954e+00,2.750107e-04
26,-3.800532e+00,-3.799976e+00,2.653300e-04
27,-3.800267e+00,-3.799987e+00,2.557218e-04
28,-3.800356e+00,-3.800000e+00,2.469285e-04
29,-3.798967e+00,-3.799965e+00,2.409714e-04
30,-3.800125e+00,-3.799970e+00,2.329984e-04
31,-3.801702e+00,-3.800026e+00,2.320845e-04
32,-3.798763e+00,-3.799986e+00,2.281617e-04
33,-3.800087e+00,-3.799989e+00,2.212681e-04
34,-3.798485e+00,-3.799945e+00,2.191378e-04
35,-3.798224e+00,-3.799896e+00,2.183242e-04
36,-3.798529e+00,-3.799858e+00,2.155350e-04
37,-3.796350e+00,-3.799763e+00,2.296211e-04
38,-3.801163e+00,-3.799800e+00,2.265136e-04
39,-3.799329e+00,-3.799788e+00,2.210278e-04
40,-3.800760e+00,-3.799812e+00,2.168337e-04
41,-3.798558e+00,-3.799782e+00,2.136910e-04
42,-3.800213e+00,-3.799792e+00,2.088492e-04
43,-3.799487e+00,-3.799785e+00,2.041125e-04
44,-3.798289e+00,-3.799751e+00,2.022854e-04
