#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.33266     1.33266           0
           2    0.814659     1.07366    0.183142
           3    0.873411     1.00691    0.133707
           4    0.937072    0.989451    0.101413
           5    0.949135    0.981388   0.0814507
           6    0.878338    0.964213   0.0696629
           7    0.896246    0.954503   0.0603839
           8    0.906983    0.948563   0.0531273
           9     0.93797    0.947386   0.0472373
          10    0.934521      0.9461   0.0425311
          11    0.898979    0.941816   0.0388797
          12    0.912779    0.939396    0.035715
          13    0.927139    0.938453   0.0329801
          14    0.937612    0.938393   0.0306244
          15    0.916821    0.936955   0.0286166
          16    0.891139    0.934092   0.0269709
          17     0.87984      0.9309   0.0255725
          18       0.832    0.925406    0.024735
          19    0.856929    0.921802   0.0236943
          20    0.892442    0.920334    0.022555
          21    0.881384    0.918479   0.0215571
          22    0.877539    0.916618   0.0206574
          23    0.904692      0.9161   0.0197657
          24    0.897382     0.91532   0.0189575
          25    0.865502    0.913327   0.0183037
          26     0.87231    0.911749   0.0176675
          27     0.86724    0.910101   0.0170899
          28    0.905601     0.90994   0.0164803
          29    0.923115    0.910395   0.0159183
          30    0.889407    0.909695   0.0154031
          31    0.873884     0.90854   0.0149494
          32    0.869228    0.907311   0.0145327
          33    0.950034    0.908606   0.0141498
          34     0.92123    0.908977   0.0137385
          35    0.904541    0.908851   0.0133466
          36    0.930125    0.909441   0.0129889
          37    0.907447    0.909388    0.012638
          38    0.903968    0.909245   0.0123062
          39     0.94283    0.910106   0.0120207
          40     0.89018    0.909608   0.0117305
          41    0.975652    0.911219   0.0115545
          42    0.908021    0.911143   0.0112797
          43    0.884053    0.910513   0.0110349
          44    0.881387    0.909851    0.010804
          45    0.854595    0.908623   0.0106334
          46    0.883754    0.908082    0.010416
          47    0.944175     0.90885   0.0102226
          48    0.897472    0.908613   0.0100124
          49    0.914183    0.908727  0.00980873
          50     0.93011    0.909154  0.00962187
          51    0.920933    0.909385  0.00943598
          52    0.924501    0.909676    0.009259
          53    0.914186    0.909761  0.00908469
          54    0.889904    0.909393  0.00892389
          55    0.926791     0.90971  0.00876724
          56    0.929512    0.910063  0.00861781
          57    0.920521    0.910247  0.00846858
          58    0.898006    0.910036   0.0083252
          59    0.912755    0.910082  0.00818422
          60    0.919425    0.910238   0.0080493
          61     0.90838    0.910207   0.0079174
          62    0.912511    0.910244  0.00778979
          63     0.88153    0.909789  0.00767946
          64    0.881614    0.909348  0.00757208
          65    0.879083    0.908883  0.00746989
          66    0.841887    0.907868  0.00742536
          67    0.850753    0.907015   0.0073633
          68    0.917462    0.907169  0.00725662
          69    0.934997    0.907572  0.00716265
          70     0.87083    0.907047  0.00707953
          71    0.921136    0.907246   0.0069826
          72    0.905999    0.907228  0.00688564
          73     0.86087    0.906593  0.00682054
          74    0.832128    0.905587   0.0068022
          75    0.938281    0.906023  0.00672545
          76    0.940312    0.906474  0.00665208
          77    0.859074    0.905858  0.00659411
          78    0.880622    0.905535   0.0065175
          79    0.892363    0.905368  0.00643713
          80     0.92888    0.905662  0.00636338
          81    0.896861    0.905553  0.00628574
          82    0.904735    0.905543   0.0062091
          83    0.916977    0.905681  0.00613581
          84    0.882872     0.90541  0.00606877
          85    0.950817    0.905944  0.00602084
          86    0.910951    0.906002  0.00595112
          87    0.889427    0.905812  0.00588576
          88     0.88479    0.905573  0.00582372
          89    0.890171      0.9054  0.00576086
          90    0.877349    0.905088  0.00570527
          91    0.933099    0.905396  0.00565088
          92    0.912538    0.905473  0.00558999
          93    0.895232    0.905363  0.00553096
          94    0.922145    0.905542    0.005475
          95    0.842018    0.904873  0.00545805
          96    0.950538    0.905349  0.00542189
          97    0.871922    0.905004  0.00537693
          98    0.889202    0.904843  0.00532448
          99    0.911833    0.904914  0.00527117
         100    0.900389    0.904868  0.00521865
